Date,WDC
2015-01-05,-0.01322109212768885
2015-01-06,-0.022300002651605588
2015-01-07,0.015017831959210248
2015-01-08,0.0207141319971762
2015-01-09,0.01666972977895953
2015-01-12,-0.01693132342037662
2015-01-13,-0.008520558592263527
2015-01-14,-0.0055768888495574265
2015-01-15,-0.03741798389419415
2015-01-16,0.015949951089254455
2015-01-20,0.002068326768465134
2015-01-21,0.00037533454529237176
2015-01-22,-0.012566675074558886
2015-01-23,0.007692335838786368
2015-01-26,-0.048255756359748214
2015-01-27,-0.03317479915864929
2015-01-28,0.02253368961120583
2015-01-29,0.012320994931948492
2015-01-30,-0.03789830463245114
2015-02-02,0.012238938239929054
2015-02-03,0.023064338479048097
2015-02-04,0.033270539704365776
2015-02-05,0.0006731369745218707
2015-02-06,-0.006819701447109305
2015-02-09,-0.00773723105376245
2015-02-10,0.01442509770568523
2015-02-11,0.019312308580509363
2015-02-12,0.010368016820876624
2015-02-13,0.003918560699446516
2015-02-17,-0.0078058597538620544
2015-02-18,0.020886210761889457
2015-02-19,0.007706204395283578
2015-02-20,0.01338308388456344
2015-02-23,-0.001976641131311463
2015-02-24,-0.0190834561314166
2015-02-25,-0.025878786271754217
2015-02-26,0.011210531425600578
2015-02-27,-0.0033538476378266457
2015-03-02,0.016825556380339668
2015-03-03,-0.029509026614059852
2015-03-04,-0.0019893455288136908
2015-03-05,0.00018991531399614736
2015-03-06,-0.027045112088739165
2015-03-09,0.00048777583729475715
2015-03-10,-0.0310977433937365
2015-03-11,-0.015092005872037406
2015-03-12,0.006844585466398767
2015-03-13,-0.013900027710395113
2015-03-16,0.010391795573370999
2015-03-17,-0.01608957260883148
2015-03-18,0.013040662986606
2015-03-19,0.014507668903327664
2015-03-20,0.011480344809232657
2015-03-23,-0.007964891571129007
2015-03-24,-0.01706134629521605
2015-03-25,-0.03389856239639244
2015-03-26,-0.01035716366988082
2015-03-27,-0.00971810919773064
2015-03-30,0.0021567825924326822
2015-03-31,-0.015362829487465368
2015-04-01,0.014723806510121173
2015-04-02,0.0070383124180595225
2015-04-06,0.002043088665927728
2015-04-07,0.009872280606170847
2015-04-08,-0.0021256185803913974
2015-04-09,0.0011717686323422516
2015-04-10,0.019889365337647957
2015-04-13,-0.0040674237520388346
2015-04-14,0.0069112995967939295
2015-04-15,0.029949929140428377
2015-04-16,-0.012217460237047617
2015-04-17,0.016457484128853617
2015-04-20,0.02152029100822994
2015-04-21,-0.018704359878919385
2015-04-22,0.006320431067021515
2015-04-23,-0.00039913395035651167
2015-04-24,-0.00518561825110242
2015-04-27,-0.008521364304230117
2015-04-28,-0.010111527989454139
2015-04-29,-0.02114388808195089
2015-04-30,0.019930935081713397
2015-05-01,0.016267547370135027
2015-05-04,0.0018124680004671934
2015-05-05,-0.02733428178016395
2015-05-06,-0.019836810363571877
2015-05-07,-0.00031593211713143443
2015-05-08,0.017819442594366075
2015-05-11,-0.004972450498011094
2015-05-12,-0.0009370247904519902
2015-05-13,0.0
2015-05-14,0.025531481323070482
2015-05-15,-0.007519515184317371
2015-05-18,0.0020476510586324714
2015-05-19,-0.023295875791871645
2015-05-20,-0.007950798227245981
2015-05-21,0.004428890785953765
2015-05-22,-0.00021007439349030044
2015-05-26,-0.021316908795478873
2015-05-27,0.012553821548354271
2015-05-28,0.05149916836234136
2015-05-29,-0.018844732080984028
2015-06-01,-0.002362576028235308
2015-06-02,-0.0018533967886619207
2015-06-03,0.012274696946051655
2015-06-04,-0.02791944135371982
2015-06-05,-0.005555834140479998
2015-06-08,-0.023927219236946295
2015-06-09,-0.006047506004282277
2015-06-10,0.016948951876056162
2015-06-11,0.009188219172929779
2015-06-12,-0.015350356494025164
2015-06-15,-0.013546858597019096
2015-06-16,-0.007629560795819446
2015-06-17,0.010653597212471722
2015-06-18,0.004346947705390791
2015-06-19,-0.01514830541415435
2015-06-22,0.006372188679828694
2015-06-23,-0.032532920723188474
2015-06-24,-0.01004262867650041
2015-06-25,-0.020289626593396726
2015-06-26,-0.01745201427508314
2015-06-29,-0.029484929031063367
2015-06-30,-0.03731899729657917
2015-07-01,0.01300703933307501
2015-07-02,0.01800104468308672
2015-07-06,-0.01298384789542284
2015-07-07,0.0
2015-07-08,-0.018917631376478394
2015-07-09,-0.012258948991729302
2015-07-10,-0.0032319640863474053
2015-07-13,0.007911685748021258
2015-07-14,0.008364331625364096
2015-07-15,0.004211569673539195
2015-07-16,0.002541617291074161
2015-07-17,0.0005068989933605383
2015-07-20,-0.006968063976240946
2015-07-21,0.003955091707958269
2015-07-22,-0.00216047678861897
2015-07-23,-0.007896004676351875
2015-07-24,-0.008215747437458343
2015-07-27,-0.009966445775467347
2015-07-28,0.016342056274860406
2015-07-29,0.012992213230045513
2015-07-30,0.09765072161648503
2015-07-31,-0.00439610324209605
2015-08-03,-0.0024401253439886306
2015-08-04,-0.017006623772508056
2015-08-05,0.003554957209919163
2015-08-06,-0.005903706209318904
2015-08-07,-0.008076991639217046
2015-08-10,0.017363161025227836
2015-08-11,-0.020833274964852877
2015-08-12,-0.00036059498673535195
2015-08-13,-0.019119931029310866
2015-08-14,0.01140140119546773
2015-08-17,0.013333288131426757
2015-08-18,-0.003469036103387335
2015-08-19,-0.019205296404900762
2015-08-20,-0.023497692988074803
2015-08-21,-0.004386530481561457
2015-08-24,-0.03172215474988094
2015-08-25,-0.022880888081009854
2015-08-26,0.04616837535289231
2015-08-27,0.0353553532220503
2015-08-28,-0.0015969384861078684
2015-08-31,0.00836616648503652
2015-09-01,-0.018423541869237225
