Date,HPE
2015-10-20,0.019335299993977317
2015-10-21,-0.023118117900385093
2015-10-22,0.02851958739153093
2015-10-23,0.0029498790227400207
2015-10-26,-0.03411778873250637
2015-10-27,-0.042021601543006604
2015-10-28,0.03496506883167916
2015-10-29,-0.02027053968282
2015-10-30,-0.07711603680581691
2015-11-02,-0.015624952165612993
2015-11-03,-0.008971444921112792
2015-11-04,-0.04874664610432544
2015-11-05,-0.027818648242753263
2015-11-06,0.08433743797927673
2015-11-09,-0.0138886415561561
2015-11-10,0.014788544665757186
2015-11-11,-0.020818764273707324
2015-11-12,-0.029057191389103232
2015-11-13,-0.022628073133361015
2015-11-16,-0.0007468967844895813
2015-11-17,-0.011958318615047037
2015-11-18,0.03177038648293018
2015-11-19,0.010263800437989357
2015-11-20,0.03120487856533294
2015-11-23,-0.02533447881770068
2015-11-24,-0.011552279952505184
2015-11-25,0.031409864537386145
2015-11-27,0.01628867038510462
2015-11-30,0.035540079846781536
2015-12-01,0.050471017728843215
2015-12-02,-0.04228055030900013
2015-12-03,-0.02207380849648599
2015-12-04,0.04104005539407929
2015-12-07,0.01879315628375644
2015-12-08,-0.0181228610798847
2015-12-09,-0.02109402649519443
2015-12-10,-0.008754571086057483
2015-12-11,-0.03668467189184721
2015-12-14,0.018335542846665387
2015-12-15,0.008310545243908063
2015-12-16,0.009615246943181388
2015-12-17,-0.026530916506306013
2015-12-18,-0.01048212563295392
2015-12-21,-0.00988649048387169
2015-12-22,0.0028527099295518887
2015-12-23,0.06045504093491827
2015-12-24,0.007377736751712272
2015-12-28,0.013981481586928135
2015-12-29,-0.0019700943800576853
2015-12-30,0.005263134943766845
2015-12-31,-0.005235579382965483
2016-01-04,-0.004605093616858458
2016-01-05,-0.006609373044732747
2016-01-06,-0.015302862847819676
2016-01-07,-0.07364851374579628
2016-01-08,-0.01239958356924764
2016-01-11,-0.02067941097839232
2016-01-12,0.0
2016-01-13,-0.0384618702591738
2016-01-14,0.019608102903823088
2016-01-15,-0.035384677125028796
2016-01-19,-0.017543928449669233
2016-01-20,-0.021103909345570715
2016-01-21,0.02902155019881536
2016-01-22,0.07574552185517658
2016-01-25,-0.0007491502889974688
