Date,EFX
2015-01-05,-0.008362149770981264
2015-01-06,-0.007935954390175914
2015-01-07,0.016874729033686142
2015-01-08,0.021388791075913183
2015-01-09,-0.004212245800662151
2015-01-12,-0.0014502697017847455
2015-01-13,0.006415027109009097
2015-01-14,-0.0020447816629610704
2015-01-15,-0.00349504666541689
2015-01-16,0.007619007545679013
2015-01-20,0.0033607786449163513
2015-01-21,0.009688843399811908
2015-01-22,0.014808453266290655
2015-01-23,-0.00490276736718831
2015-01-26,-0.0007042141191364593
2015-01-27,0.0029354340338829665
2015-01-28,-0.002458081097301057
2015-01-29,-0.0001177268608003601
2015-01-30,-0.008801713623047491
2015-02-02,0.0
2015-02-03,0.009945648293927523
2015-02-04,-0.0031653483655369463
2015-02-05,0.0048217964387295975
2015-02-06,-0.002106906424631405
2015-02-09,-0.0025803577238928677
2015-02-10,0.005056586820281872
2015-02-11,0.0
2015-02-12,0.08505906920975748
2015-02-13,-0.0019406978043396972
2015-02-17,-0.0004321960018448534
2015-02-18,0.005187499178499921
2015-02-19,-0.00021430387563114994
2015-02-20,0.006882808781802696
2015-02-23,-0.0029908477676887646
2015-02-24,-0.0028928772285125026
2015-02-25,0.0001077972431853258
2015-02-26,0.0013964044965839584
2015-02-27,0.001716729020557528
2015-03-02,0.018908547109739215
2015-03-03,-0.0017925884448083407
2015-03-04,-0.007499813251662046
2015-03-05,0.0026610233152914997
2015-03-06,-0.008810106981466226
2015-03-09,-0.004390880009780163
2015-03-10,-0.010325676068361322
2015-03-11,-0.005325953418220286
2015-03-12,0.005244912686742653
2015-03-13,-0.003695667213156173
2015-03-16,0.005673362941474691
2015-03-17,-0.002169724772736914
2015-03-18,0.007610229152597903
2015-03-19,0.0011869698740196721
2015-03-20,0.003125359799255545
2015-03-23,-0.002793360261167055
2015-03-24,-0.006787368074291478
2015-03-25,-0.010304916642626671
2015-03-26,0.006466619122564854
2015-03-27,0.0015246971416627009
2015-03-30,0.014787395997444719
2015-03-31,-0.0035359285666477502
2015-04-01,-0.00010754328322948314
2015-04-02,0.005161908526410741
2015-04-06,0.0036374549506361653
2015-04-07,-0.012578830267951147
2015-04-08,0.0024831944485217416
2015-04-09,0.0008615527441537818
2015-04-10,0.005057163365154604
2015-04-13,0.0009635509868624048
2015-04-14,0.004278096341220561
2015-04-15,-0.0007456771213582014
2015-04-16,-0.005328701666639124
2015-04-17,-0.01596503454744458
2015-04-20,0.016332862067919285
2015-04-21,0.012213472214242405
2015-04-22,-0.0030693660145459933
2015-04-23,0.04469655035136988
2015-04-24,0.0009146882714821114
2015-04-27,-0.0043657372115800674
2015-04-28,-0.0035693582761721077
2015-04-29,-0.0030703477984180827
2015-04-30,-0.004927340482407838
2015-05-01,0.013824083491335903
2015-05-04,0.01536586155689501
2015-05-05,-0.01252719465105423
2015-05-06,0.00010142194073581301
2015-05-07,-0.006088971085204675
2015-05-08,0.009699489379764392
2015-05-11,0.005157522284817695
2015-05-12,-0.010160990334481812
2015-05-13,-0.001727739059378175
2015-05-14,0.014151660641285257
2015-05-15,-0.007127618628412047
2015-05-18,0.014661210881028675
2015-05-19,-0.001295663453683038
2015-05-20,-0.0032021994036113277
2015-05-21,0.0044173373813582995
2015-05-22,0.002198913212650977
2015-05-26,-0.012466321183662532
2015-05-27,0.0137345004605407
2015-05-28,-0.000896560156000259
2015-05-29,0.0003989217561763958
2015-06-01,-0.0028904855943844288
2015-06-02,-0.017892541206891655
2015-06-03,0.005394050729349953
2015-06-04,-0.012148131554803765
2015-06-05,0.0024596595446482183
2015-06-08,-0.005418191850743548
2015-06-09,0.008633692288935846
2015-06-10,0.007031802694465128
2015-06-11,0.005565536318059339
2015-06-12,-0.008352362373178601
2015-06-15,-0.010046907090600965
2015-06-16,-0.000512615354589685
2015-06-17,0.0015387208883255177
2015-06-18,0.01689700271149097
2015-06-19,0.004128571901973244
2015-06-22,0.008825730692845868
2015-06-23,-0.0036783951989090014
2015-06-24,-0.00917951580824472
2015-06-25,0.003322943288479596
2015-06-26,0.0027101809989062975
2015-06-29,-0.024624590760948917
2015-06-30,-0.0035919275963057773
2015-07-01,0.013492390325748671
2015-07-02,-0.0019307196503275392
2015-07-06,-0.004174992576556291
2015-07-07,0.0015341729426792128
2015-07-08,-0.016947579417353698
2015-07-09,0.00176536756827117
2015-07-10,0.013580688592387036
2015-07-13,0.015649346389852603
2015-07-14,-0.00745219147890086
2015-07-15,0.0007099834956092455
2015-07-16,0.015208366278126606
2015-07-17,-0.01577965524225733
2015-07-20,0.0020299112719828205
2015-07-21,-0.006684091377981205
2015-07-22,0.007646474923712843
2015-07-23,0.01305119982864622
2015-07-24,-0.0008987148377819221
2015-07-27,-0.015294160885775288
2015-07-28,0.01695273442017009
2015-07-29,0.020263698142298114
2015-07-30,-0.000489243982943699
2015-07-31,-0.00029359147251939444
2015-08-03,-0.0012727677269174231
2015-08-04,0.006078555078243397
2015-08-05,0.008770059880043535
2015-08-06,-0.011688952614769432
2015-08-07,0.007624075738453362
2015-08-10,0.015035471341795725
2015-08-11,-0.010607676958135137
2015-08-12,-0.008307024216063663
2015-08-13,0.011590563928139952
2015-08-14,0.005969455128096435
2015-08-17,0.009475795420389677
2015-08-18,-0.0024653219340349253
2015-08-19,-0.001810535718944739
2015-08-20,-0.027786004125296748
2015-08-21,-0.024160250004213624
2015-08-24,-0.05565620878490374
2015-08-25,-0.012043224529718066
2015-08-26,0.039589811980903056
2015-08-27,0.02573454936763131
2015-08-28,-0.0040461675354547255
2015-08-31,-0.005586954153813939
