Date,ES
2015-01-05,-0.00893213391119263
2015-01-06,0.0005632642295161361
2015-01-07,0.014636829720017897
2015-01-08,0.0016644787328001787
2015-01-09,-0.012555397956838021
2015-01-12,-0.0028048376460427793
2015-01-13,0.006563131349686779
2015-01-14,0.008755867341616375
2015-01-15,0.017358831546634423
2015-01-16,0.00834998507856266
2015-01-20,-0.00342024703643673
2015-01-21,0.007225268336525703
2015-01-22,-0.003586670409403636
2015-01-23,0.0050395698507650355
2015-01-26,-0.0007162868360265362
2015-01-27,0.000179175709892343
2015-01-28,-0.002687738657233374
2015-01-29,0.013294990894631376
2015-01-30,-0.014538999264413044
2015-02-02,0.010255398480378153
2015-02-03,-0.001958841383712162
2015-02-04,-0.007673014634627107
2015-02-05,0.01204823164108193
2015-02-06,-0.04566478673263674
2015-02-09,-0.010426309151949864
2015-02-10,0.028786542058369058
2015-02-11,-0.025054935745982276
2015-02-12,-0.018945782871432004
2015-02-13,-0.02447450277232932
2015-02-17,0.004116278774870752
2015-02-18,0.025571267811062892
2015-02-19,-0.0007615865669374777
2015-02-20,0.0007621670231039435
2015-02-23,0.0030453115033926004
2015-02-24,0.01214405662535989
2015-02-25,-0.013686013838900557
2015-02-26,-0.00674409635805151
2015-02-27,-0.001736123032412995
2015-03-02,-0.028985428702717697
2015-03-03,0.006964804072623343
2015-03-04,-0.013438559072495693
2015-03-05,0.012620172439387956
2015-03-06,-0.0354105312305214
2015-03-09,0.0020508635395375396
2015-03-10,0.005116720459585222
2015-03-11,-0.005905127859323289
2015-03-12,0.01741085963122746
2015-03-13,-0.010871721590282823
2015-03-16,0.012823102486457572
2015-03-17,-0.004622267177339823
2015-03-18,0.026246748598305114
2015-03-19,-0.0019671320553712457
2015-03-20,0.0055194426527092055
2015-03-23,0.009017783922528722
2015-03-24,-0.012822742931919873
2015-03-25,-0.013580554091871977
2015-03-26,-0.004189615590152185
2015-03-27,0.004207242318159832
2015-03-30,0.010375198353811399
2015-03-31,-0.002369223546492827
2015-04-01,0.004156548154049089
2015-04-02,-0.0017743229978053332
2015-04-06,0.00809679084969539
2015-04-07,-0.01449556025066201
2015-04-08,0.0013908705333667282
2015-04-09,-0.008336629752128899
2015-04-10,0.010809047926104043
2015-04-13,-0.01623782814376029
2015-04-14,0.011070809756860145
2015-04-15,0.00019907367390259445
2015-04-16,0.0021892672122318935
2015-04-17,-0.005958192176817145
2015-04-20,0.008991396329215418
2015-04-21,-0.01762389303312817
2015-04-22,-0.0030235322588746394
2015-04-23,0.0032346564822731683
2015-04-24,0.013503210966394175
2015-04-27,-0.00934636771331232
2015-04-28,0.011441233389295924
2015-04-29,-0.0075409941345206954
2015-04-30,-0.02499518460592387
2015-05-01,0.002666200030042365
2015-05-04,0.009613239774659554
2015-05-05,-0.023095497762359418
2015-05-06,-0.009124920963247907
2015-05-07,0.002930393006790988
2015-05-08,0.01126897051607001
2015-05-11,0.001031278592911189
2015-05-12,0.004122754713049792
2015-05-13,-0.015807562800966846
2015-05-14,0.012515431374779284
2015-05-15,0.012979301408221566
2015-05-18,0.005491080997064524
2015-05-19,-0.0024270557810466276
2015-05-20,0.003040872821374885
2015-05-21,-0.0008083102227911532
2015-05-22,-0.0028323564260546163
2015-05-26,-0.005883454251186304
2015-05-27,0.0038697508585778806
2015-05-28,0.00984228701049239
2015-05-29,0.0
2015-06-01,-0.0012187836658450468
2015-06-02,-0.014230152551801156
2015-06-03,-0.01670457153311633
2015-06-04,-0.005033420431245661
2015-06-05,-0.015809463133834356
2015-06-08,-0.007710792979897074
2015-06-09,0.0
2015-06-10,-0.0032372096630829406
2015-06-11,0.010393825956218183
2015-06-12,-0.012001619133277797
2015-06-15,-0.0017355428077746593
2015-06-16,0.014342017380488903
2015-06-17,0.005783903336300744
2015-06-18,0.007241549409109815
2015-06-19,-0.011630503821520755
2015-06-22,-0.0038505299684289396
2015-06-23,-0.015249411419072989
2015-06-24,-0.006107054164810832
2015-06-25,-0.0013165028127793965
2015-06-26,0.01054708122258341
2015-06-29,-0.010654434004704227
2015-06-30,-0.0019779682775257212
2015-07-01,0.003523239378320664
2015-07-02,0.02062763588059835
2015-07-06,-0.004299804371433291
2015-07-07,0.02310487497585223
2015-07-08,-0.005276232181754548
2015-07-09,-0.00848727147548134
2015-07-10,0.003423945855859367
2015-07-13,0.0031991172206409235
2015-07-14,0.005527400493888557
2015-07-15,0.008879473766085333
2015-07-16,0.0121541220943433
2015-07-17,-0.007867610946788117
2015-07-20,-0.007095299390656562
2015-07-21,-0.0012613369159811816
2015-07-22,0.006523843695573905
2015-07-23,-0.010035605307557649
2015-07-24,-0.0029566252460559994
2015-07-27,0.013979935459097925
2015-07-28,0.005222559778157443
2015-07-29,0.003532738787138223
2015-07-30,0.00994012052966431
2015-07-31,0.019479206573337127
2015-08-03,0.0026143557470492684
2015-08-04,-0.01504515939958817
2015-08-05,0.002851464945288873
2015-08-06,0.00588947005412277
2015-08-07,0.005451418428996435
2015-08-10,0.004417658047431772
2015-08-11,0.0077964557172047755
2015-08-12,0.009919144340008401
2015-08-13,-0.002356931604657775
2015-08-14,0.007678677278034618
2015-08-17,0.008401489428082165
2015-08-18,-0.002712578947651978
2015-08-19,0.004080143357735988
2015-08-20,-0.0011613728867856388
2015-08-21,-0.011235548833547382
2015-08-24,-0.04153659067333515
2015-08-25,-0.0341368901384248
2015-08-26,0.01756611114701223
2015-08-27,0.01060758819312868
2015-08-28,-0.006174600344684089
2015-08-31,-0.021743376925729474
2015-09-01,-0.02476760279828638
2015-09-02,0.0017369056823304252
2015-09-03,0.006717159398559769
2015-09-04,-0.01549689603989568
2015-09-08,0.01617783825902852
2015-09-09,-0.013123455906665416
2015-09-10,0.0010560829104941938
2015-09-11,0.012966601544849743
2015-09-14,0.00347170168795663
2015-09-15,0.009729592373328488
2015-09-16,0.00021455840623607614
2015-09-17,0.02033795172098829
2015-09-18,-0.009232288428159596
2015-09-21,0.006141779236403133
2015-09-22,-0.0008419284611747013
2015-09-23,0.00526623573702234
2015-09-24,0.009430098990112157
2015-09-25,0.014946852762390161
2015-09-28,0.004091036536455928
2015-09-29,0.004277832898555545
2015-09-30,0.026774651617302192
2015-10-01,-0.013828276887103641
2015-10-02,0.011818944319512692
2015-10-05,0.011680783643818637
2015-10-06,-0.00900201486109109
