Date,A
2015-01-05,-0.01873817313580517
2015-01-06,-0.015577658933248362
2015-01-07,0.01327214522747222
2015-01-08,0.029974857059512416
2015-01-09,-0.007336793725515434
2015-01-12,-0.011825529702585214
2015-01-13,-0.013961467668409333
2015-01-14,-0.012389650826786558
2015-01-15,-0.026881644851914466
2015-01-16,0.006314378524327813
2015-01-20,-0.00836627060736539
2015-01-21,0.006063832330627461
2015-01-22,0.039045881352373746
2015-01-23,-0.021185063487417444
2015-01-26,0.00876067189731744
2015-01-27,-0.010217163602332158
2015-01-28,-0.019354826935971126
2015-01-29,0.012105213321503605
2015-01-30,-0.017940806888536054
2015-02-02,0.02435785918332245
2015-02-03,0.024037342968970643
2015-02-04,-0.012872456586103365
2015-02-05,0.010738997414910356
2015-02-06,-0.004806185186662315
2015-02-09,-0.007625968961510132
2015-02-10,0.016137162793765425
2015-02-11,-0.008570437804005793
2015-02-12,0.017543521941988605
2015-02-13,0.0032484966361279177
2015-02-17,0.009215385270489262
2015-02-18,0.025172986065641556
2015-02-19,-0.009388887648283828
2015-02-20,0.019441171451885175
2015-02-23,-0.00524426637981712
2015-02-24,0.007907920390683998
2015-02-25,0.0033283975388807008
2015-02-26,0.003791785093208988
2015-02-27,-0.003541388821867386
2015-03-02,0.011608685325946055
2015-03-03,-0.010304406437937952
2015-03-04,-0.006152323630944867
2015-03-05,0.005238320298773358
2015-03-06,-0.016343144455004177
2015-03-09,0.005056711593957486
2015-03-10,-0.02659342814597132
2015-03-11,0.0054147464612130936
2015-03-12,0.006119677333324969
2015-03-13,-0.005596137640776377
2015-03-16,0.02300008529180486
2015-03-17,-0.005501204249656166
2015-03-18,0.012986881762792057
2015-03-19,0.0021368625027688992
2015-03-20,0.0
2015-03-23,-0.00023691194542752037
2015-03-24,-0.026302964683672214
2015-03-25,-0.006814343853661642
2015-03-26,-0.002695329322396245
2015-03-27,0.012561742199081127
2015-03-30,0.014837886094058117
2015-03-31,-0.0040748388226143906
2015-04-01,-0.0038510278112697804
2015-04-02,0.015946087115185525
2015-04-06,-0.002853656317466924
2015-04-07,0.012163390912866001
2015-04-08,-0.004241929920208554
