Date,UNP
2015-01-05,-0.03380844826835838
2015-01-06,-0.020680607421908914
2015-01-07,0.005524612034850662
2015-01-08,0.0374832226758115
2015-01-09,-0.017936428507618563
2015-01-12,-0.008784217711781728
2015-01-13,-0.01877696269726148
2015-01-14,-0.004202369102190295
2015-01-15,-0.005029102563869237
2015-01-16,0.009927826127847483
2015-01-20,0.01831990573737108
2015-01-21,0.003949077075335872
2015-01-22,0.047464906549883334
2015-01-23,0.0021695346733012766
2015-01-26,0.010325644050146465
2015-01-27,-0.0038734883152791166
2015-01-28,-0.01414872612207374
2015-01-29,0.007889040347882181
2015-01-30,-0.023981381622032782
2015-02-02,0.015356873553226347
2015-02-03,0.023359305142557574
2015-02-04,-0.011084587698162784
2015-02-05,0.02000973044052068
2015-02-06,-0.008465512138940423
2015-02-09,-0.019374606270381567
2015-02-10,0.01188817102991968
2015-02-11,0.010506869019288878
2015-02-12,0.013836611338811977
2015-02-13,-0.009932899147065855
2015-02-17,-0.0004895194437988248
2015-02-18,0.006610253022038659
2015-02-19,-0.011268868208637817
2015-02-20,0.013939389911778566
2015-02-23,0.000727360570627722
2015-02-24,-0.008565420017147107
2015-02-25,0.0022923687532578896
2015-02-26,-0.01355986515930363
2015-02-27,-0.00414039167518232
2015-03-02,0.004074458468111608
2015-03-03,-0.0189648235241896
2015-03-04,-0.002110593168388797
2015-03-05,0.0010153152112908348
2015-03-06,-0.015887873530179064
2015-03-09,0.006182890047631506
2015-03-10,-0.020653696939528676
2015-03-11,-0.004008600812652419
2015-03-12,0.007349712251831564
2015-03-13,-0.0052984867604576324
2015-03-16,0.019210780945530193
2015-03-17,-0.00257015525610782
2015-03-18,0.011681597006643951
2015-03-19,-0.0019526563809202369
2015-03-20,-0.0008508871886034886
2015-03-23,-0.039761512707278346
2015-03-24,-0.002393958652685435
2015-03-25,-0.015020941484903183
2015-03-26,-0.023912445788274672
2015-03-27,0.0024958952304754423
2015-03-30,0.015215693096805705
2015-03-31,-0.016168589375625042
2015-04-01,-0.008955856323889066
2015-04-02,-0.001956173656318505
2015-04-06,-0.007001154934131226
2015-04-07,0.013724507407855135
2015-04-08,0.002689069702129565
2015-04-09,0.01535206026478697
2015-04-10,0.014846533328562339
2015-04-13,-0.026476175631718113
2015-04-14,-0.002765724078288234
2015-04-15,-0.007118633833246513
2015-04-16,0.008845442654473512
2015-04-17,0.0006457431351893916
2015-04-20,0.018631364015751828
2015-04-21,-0.008510986936501319
2015-04-22,0.011232699515506983
2015-04-23,-0.023571013487999393
2015-04-24,-0.005642016968428032
2015-04-27,0.0
2015-04-28,0.003534575692776265
2015-04-29,-0.008990454619713928
2015-04-30,-0.006453239839574576
2015-05-01,0.01393186796910939
2015-05-04,0.0025994796581731983
2015-05-05,-0.018982976010685104
2015-05-06,0.009344889397441047
2015-05-07,0.003553656439394315
2015-05-08,0.001211179334743795
2015-05-11,-0.006421918364723278
2015-05-12,-0.009180492548852448
2015-05-13,-0.03195597955542373
2015-05-14,-0.002929861566362879
2015-05-15,0.017043808535255334
2015-05-18,0.001155283925271311
2015-05-19,0.0006737231878315431
2015-05-20,-0.00711397832701699
2015-05-21,0.016266246436544618
2015-05-22,-0.007240620614688109
2015-05-26,-0.012475867633642168
2015-05-27,0.0026375372282008147
2015-05-28,-0.012278207598990787
2015-05-29,-0.004439617944012042
2015-06-01,0.010108009707703758
2015-06-02,-0.0032376073480873124
2015-06-03,0.0038386743074663165
2015-06-04,-0.0024507817873995474
2015-06-05,0.005307265166710318
2015-06-08,-0.015350038742437788
2015-06-09,-0.010028851185486576
2015-06-10,-0.000300998325487134
2015-06-11,0.012541347009283665
2015-06-12,-0.004161709883379383
2015-06-15,0.00019906823895721182
2015-06-16,0.0
2015-06-17,0.006566043474541594
2015-06-18,0.011168174446860357
2015-06-19,-0.011240463727026917
2015-06-22,0.002768110991154593
2015-06-23,-0.002858798899466497
2015-06-24,-0.02867080071366479
2015-06-25,-0.01302746612438721
2015-06-26,-0.0020626558691944075
2015-06-29,-0.012814010543015786
2015-06-30,-0.0016749988223602186
2015-07-01,0.008283857097704628
2015-07-02,0.005199133014166746
2015-07-06,-0.004344829433543196
2015-07-07,0.01558642272517985
2015-07-08,-0.019337290923966743
2015-07-09,0.004173416941885888
2015-07-10,0.01631140849633761
2015-07-13,-0.0075646823265126395
2015-07-14,-0.0029873884084211655
2015-07-15,0.001963241610100974
2015-07-16,-0.009692743756688604
2015-07-17,0.014368900089094971
2015-07-20,0.009135366716568782
2015-07-21,0.005187960681394266
2015-07-22,-0.011536407414053373
2015-07-23,-0.05692036606580009
2015-07-24,0.0053190761157033695
2015-07-27,-0.002375379983423409
2015-07-28,0.04578424288902738
2015-07-29,0.01976821292246278
2015-07-30,-0.008424081259667537
2015-07-31,-0.0011257644773976505
2015-08-03,-0.011476609360798307
2015-08-04,-0.007774332708638809
2015-08-05,-0.006790500406140487
2015-08-06,-0.013358798955246276
2015-08-07,-0.013858890757048936
2015-08-10,0.010594134611789485
2015-08-11,-0.012516037258666901
2015-08-12,0.005525064876714891
2015-08-13,-0.0012927206927640933
2015-08-14,0.0004315333709177249
2015-08-17,0.0
2015-08-18,0.00043114118900389187
2015-08-19,-0.0066822284296274015
2015-08-20,-0.030816006193596923
2015-08-21,-0.032132018132308815
2015-08-24,-0.04384015366184668
2015-08-25,-0.025405596899126248
2015-08-26,0.043942731173042704
2015-08-27,0.032674901093158404
2015-08-28,0.007070113128630595
2015-08-31,-0.013235328334696761
2015-09-01,-0.02752479131984431
2015-09-02,0.0207483239067614
