Date,MTD
2015-01-05,-0.02152674196794957
2015-01-06,-0.014655667324222632
2015-01-07,0.01844598518568219
2015-01-08,0.014266960523639627
2015-01-09,-0.004788515680902106
2015-01-12,-0.009890375124135709
2015-01-13,0.0010799382974793215
2015-01-14,0.0018540580023249653
2015-01-15,-0.027255311541351745
2015-01-16,0.010066082185383296
2015-01-20,0.008732834907427156
2015-01-21,0.0041419157062081435
2015-01-22,0.030429050729632978
2015-01-23,-0.005643604300638594
2015-01-26,0.0014849438216730793
2015-01-27,-0.016474464579901205
2015-01-28,0.004254569560039778
2015-01-29,0.019314837232281556
2015-01-30,-0.005268966371338446
2015-02-02,0.010297661587532536
2015-02-03,0.01370985462012686
2015-02-04,-0.002570009600650014
2015-02-05,0.002512154349027851
2015-02-06,-0.007581795337997854
2015-02-09,-0.01317538207234814
2015-02-10,-0.006429574460779186
2015-02-11,0.0017829124941106667
2015-02-12,0.012227247020281773
2015-02-13,-0.0004232894238455076
2015-02-17,0.00693812665411242
2015-02-18,0.002814334110069039
2015-02-19,-0.00251612509450605
2015-02-20,0.014261702492400552
2015-02-23,-0.0036986373881632284
2015-02-24,0.0018241985534352967
2015-02-25,0.012394597421740539
2015-02-26,-0.007131167707527419
2015-02-27,-0.001557205328520772
2015-03-02,0.01066293867256074
2015-03-03,-0.007338078397846282
2015-03-04,-0.007011616605729576
2015-03-05,0.0021726393121346277
2015-03-06,-0.008576172957977968
2015-03-09,-0.0018972773437135881
2015-03-10,-0.013241883512091546
2015-03-11,0.01041565467018013
2015-03-12,0.024655868588815855
2015-03-13,-0.007694983978006609
2015-03-16,0.01932311205397319
2015-03-17,-0.0005924061824521543
2015-03-18,0.012011000189937393
2015-03-19,0.019482649037424915
2015-03-20,0.003416905784553448
2015-03-23,-0.009552745133616924
2015-03-24,-0.010648978784216223
2015-03-25,-0.01466930938977895
2015-03-26,-0.004744035713567962
2015-03-27,0.013829665060780538
2015-03-30,0.004763456916825115
2015-03-31,0.011760020571157881
2015-04-01,-0.010832185074420075
2015-04-02,-0.01113536300091178
2015-04-06,0.014589238260481974
2015-04-07,-0.009995124261165556
2015-04-08,0.011985119821427359
2015-04-09,0.007528298360818253
2015-04-10,0.005831737223481737
2015-04-13,-0.010720180759171138
2015-04-14,-0.009462777917458531
2015-04-15,0.0079814987300173
2015-04-16,-0.0041273231178891034
2015-04-17,-0.015963596258818713
