Date,BBY
2015-01-05,-0.025779511457465154
2015-01-06,-0.008997241884549534
2015-01-07,0.02883860927625781
2015-01-08,0.01505309190315951
2015-01-09,-0.026847402934029096
2015-01-12,0.02706244284350312
2015-01-13,0.0002556404129836487
2015-01-14,0.020716498124208282
2015-01-15,-0.14056644037806487
2015-01-16,0.02011691682581218
2015-01-20,-0.027150765840797675
2015-01-21,0.001762782293000864
2015-01-22,0.023166857770424265
2015-01-23,0.0034397538782109383
2015-01-26,0.023421938151023225
2015-01-27,-0.01200137263965162
2015-01-28,-0.007627101024528349
2015-01-29,0.027326787655062912
2015-01-30,-0.024660277915744322
2015-02-02,-0.006534239187682034
2015-02-03,0.028024291240096755
2015-02-04,0.0072319029757346165
2015-02-05,-0.0033140543378507026
2015-02-06,0.03519028115254863
2015-02-09,-0.007762885093495764
2015-02-10,0.026976174985097856
2015-02-11,0.004728243975083757
2015-02-12,0.024574982279280233
2015-02-13,-0.0020411097837270686
2015-02-17,0.004346788659859602
2015-02-18,-0.004073289226302679
2015-02-19,0.0002553733114798451
2015-02-20,0.00383359646086312
2015-02-23,-0.007382730662163994
2015-02-24,-0.018723282765335303
2015-02-25,0.0010461241973223068
2015-02-26,-0.019582564842898775
2015-02-27,0.014647139218717742
2015-03-02,0.013910839963851895
2015-03-03,0.014237568118568689
2015-03-04,0.015569300164799182
2015-03-05,-0.004021359581385497
2015-03-06,0.002018938268901982
2015-03-09,0.003021676082870517
2015-03-10,0.0035151915532201095
2015-03-11,0.006254608684631124
2015-03-12,0.01566369640336651
2015-03-13,-0.007833615523800352
2015-03-16,0.027140260289004292
2015-03-17,0.00024030973670075007
2015-03-18,0.0031222088296811723
2015-03-19,-0.004069909433228047
2015-03-20,-0.001713157369060303
2015-03-23,0.001716097313819498
2015-03-24,-0.0002447558423607221
2015-03-25,-0.035006183167333615
2015-03-26,-0.025874850565644758
2015-03-27,0.002083128351126007
2015-03-30,0.007016643144340806
2015-03-31,-0.024774295141130165
2015-04-01,-0.015348076285744416
2015-04-02,0.027143009738055834
2015-04-06,-0.000261448022341626
2015-04-07,-0.0039256730852295085
2015-04-08,0.007882576163736443
2015-04-09,0.009123751223175436
2015-04-10,-0.003357985338465208
2015-04-13,-0.006221006524632422
2015-04-14,-0.014084531093621289
2015-04-15,-0.006613658479977191
2015-04-16,-0.009587184269712279
2015-04-17,-0.01962910518901817
2015-04-20,0.0032915167351315056
2015-04-21,-0.003554111379308833
2015-04-22,-0.0074071213472097774
2015-04-23,-0.0013819280188016592
2015-04-24,-0.02048186457844292
2015-04-27,-0.0016949774432102327
2015-04-28,0.011038337060831793
2015-04-29,-0.024076212599004276
2015-04-30,-0.0060239073480510275
2015-05-01,0.015295662313546732
2015-05-04,0.013075628643895998
2015-05-05,-0.004770190644590722
2015-05-06,-0.004228925896199165
2015-05-07,0.02265046878246313
2015-05-08,0.013565815655050883
2015-05-11,0.009833569468953529
2015-05-12,-0.0045985075658805386
2015-05-13,-0.016304342588675413
2015-05-14,-0.03812144408283402
2015-05-15,-0.00660532843354511
2015-05-18,0.014454827205965248
2015-05-19,-0.0031345569196510326
2015-05-20,-0.03430545510468819
2015-05-21,0.03937218986385371
2015-05-22,-0.022215562665068744
2015-05-26,-0.01252535963178103
2015-05-27,0.01356885143162656
2015-05-28,-0.005238712164746362
2015-05-29,0.015213722391308027
2015-06-01,-0.009509911008547256
2015-06-02,0.011638262988137749
2015-06-03,0.008627729858149635
2015-06-04,-0.015397725372265914
2015-06-05,0.0
2015-06-08,-0.006950507359860358
2015-06-09,-0.006752611795109331
2015-06-10,0.011527983670545305
2015-06-11,-0.0005842970658452851
2015-06-12,0.0
2015-06-15,-0.0023391885145558344
2015-06-16,0.007913073331709652
2015-06-17,-0.011049681095856578
2015-06-18,0.029403211606719548
2015-06-19,-0.0017138788272809125
2015-06-22,-0.0008581780358523083
2015-06-23,-0.0014318873467110693
2015-06-24,-0.026957041772718293
2015-06-25,-0.0029474124031860782
2015-06-26,0.004138271085991407
2015-06-29,-0.03650274915268026
2015-06-30,-0.0036664550040276245
2015-07-01,0.026372277524883803
2015-07-02,0.0008964492981538008
2015-07-06,-0.00507460161004436
2015-07-07,0.014101004845370912
2015-07-08,-0.008283730890419672
2015-07-09,0.004474671149583331
2015-07-10,0.007722516375510802
2015-07-13,0.012672907021345381
2015-07-14,0.006402892499904667
2015-07-15,-0.004627200851045732
2015-07-16,0.013945504327440128
2015-07-17,-0.05787952534995677
2015-07-20,-0.00030434318241601144
2015-07-21,-0.004259051566550265
2015-07-22,0.009471254585448952
2015-07-23,-0.005447877301875348
2015-07-24,-0.012173140061243815
2015-07-27,-0.012322483693150588
2015-07-28,0.0021835395349123488
2015-07-29,-0.00031136301267165045
2015-07-30,0.0
2015-07-31,0.005292457724705546
2015-08-03,-0.009910053097422322
2015-08-04,-0.000312751833030811
2015-08-05,0.0012512291431427958
2015-08-06,-0.027812297833280875
2015-08-07,-0.011250132718015338
2015-08-10,0.0172298227308183
2015-08-11,0.006072463764350777
2015-08-12,0.007306205148558842
2015-08-13,0.0
2015-08-14,0.02932799204275316
2015-08-17,-0.007965463675493223
2015-08-18,0.0012353342758315566
2015-08-19,-0.005860806962961651
2015-08-20,-0.02482134092545074
2015-08-21,-0.039770911905521844
2015-08-24,-0.0301525557567206
2015-08-25,0.12572612314004217
2015-08-26,0.06980245325719392
2015-08-27,0.015603081228035887
2015-08-28,0.004748655932595547
2015-08-31,0.021406680141936363
2015-09-01,-0.0353836662461543
2015-09-02,0.02793427648232183
