Date,WM
2015-01-05,-0.010048248728347753
2015-01-06,0.0007809852148195073
2015-01-07,0.0007799177321450301
2015-01-08,0.011498986274662393
2015-01-09,-0.007129336962794275
2015-01-12,-0.0011641564495752377
2015-01-13,0.0007770696917270836
2015-01-14,0.005823770956658203
2015-01-15,0.00019290198648258539
2015-01-16,0.008105305621346703
2015-01-20,0.012825508214100667
2015-01-21,-0.0034021772407586415
2015-01-22,0.0009484832595687553
2015-01-23,0.004168161588204544
2015-01-26,0.0039622007835256046
2015-01-27,-0.0013157566068290327
2015-01-28,-0.009409002239211706
2015-01-29,-0.0017095464442397068
2015-01-30,-0.021313200599692106
2015-02-02,0.002527806695523438
2015-02-03,0.013188494628621816
2015-02-04,-0.00038298785910506616
2015-02-05,0.007276949111811204
2015-02-06,-0.003041683456522448
2015-02-09,0.001716245346331302
2015-02-10,0.0032364412610810245
2015-02-11,-0.0026565332993494506
2015-02-12,0.00266360926606124
2015-02-13,-0.026755511867687543
2015-02-17,0.05166731970239158
2015-02-18,0.012791859043752574
2015-02-19,-0.004393414898305137
2015-02-20,0.002206401084549059
2015-02-23,0.0011009441168761125
2015-02-24,-0.0018327455121618375
2015-02-25,0.001101666381413402
2015-02-26,-0.004584923753701564
2015-02-27,0.0036848163795613065
2015-03-02,0.006791284321615132
2015-03-03,0.006016545886501579
2015-03-04,-0.001993606297014394
2015-03-05,-0.003382673367766764
2015-03-06,-0.015596305074468297
2015-03-09,0.00037248836571479593
2015-03-10,-0.014160757733750473
2015-03-11,-0.004157852975018694
2015-03-12,0.007591698503797151
2015-03-13,0.004332095269727887
2015-03-16,0.020255311139240284
2015-03-17,0.001286807098100029
2015-03-18,0.011015074223813537
2015-03-19,-0.006173765312569857
2015-03-20,-0.0032888833595079436
2015-03-23,0.006782600280044848
2015-03-24,-0.005644602747208127
2015-03-25,-0.013733739030434733
2015-03-26,-0.008540498050826462
2015-03-27,0.0
2015-03-30,0.011422860690671222
2015-03-31,0.004073689596889807
2015-04-01,-0.010695145776013382
2015-04-02,0.004659712101699354
2015-04-06,0.01205945773409911
2015-04-07,0.0034827789801117337
2015-04-08,-0.0023747956431011685
2015-04-09,0.006592307463040736
2015-04-10,0.0030925403525143835
2015-04-13,-0.005440996900923922
2015-04-14,-0.010940506108111925
2015-04-15,0.00018426129920290357
2015-04-16,-0.004792490195029919
2015-04-17,-0.020559631491684383
2015-04-20,0.0026475033485153787
2015-04-21,-0.003394781392228041
2015-04-22,-0.004353032718707239
2015-04-23,0.0013307670650575254
2015-04-24,-0.0003797012037475289
2015-04-27,-0.0070261220119497425
2015-04-28,0.00344253083722057
2015-04-29,-0.04936191514517585
2015-04-30,-0.007016605920596053
2015-05-01,0.011306086826008643
2015-05-04,-0.004791082170252814
2015-05-05,-0.019859830461713024
2015-05-06,-0.007981953744108483
2015-05-07,0.008046177964437407
2015-05-08,0.00961959820488123
2015-05-11,0.0020270550060723647
2015-05-12,0.0016183823630004923
2015-05-13,-0.0028277107553046354
2015-05-14,0.007089181747685469
2015-05-15,0.0022124493541200163
2015-05-18,0.00040160522290810796
2015-05-19,0.0002003010034790087
2015-05-20,-0.0028078616009235002
2015-05-21,0.008045185106324126
2015-05-22,-0.0011969138734722051
2015-05-26,-0.009788575343522399
2015-05-27,0.0054470502608368054
2015-05-28,-0.0010031096398835926
2015-05-29,-0.00281227660272787
2015-06-01,0.0018127894507846687
2015-06-02,-0.0036188308595997976
2015-06-03,0.0015253050163046566
2015-06-04,-0.011573873976128413
2015-06-05,-0.005546041181943795
2015-06-08,0.0010326520901144942
2015-06-09,-0.0028889778438488944
2015-06-10,0.0024834413302787794
2015-06-11,0.001032585924160001
2015-06-12,-0.0010315207903115464
2015-06-15,-0.01507017552909884
2015-06-16,0.0018862981602287832
2015-06-17,0.0016739291369676224
2015-06-18,0.008771533061173953
2015-06-19,-0.01117954081181971
2015-06-22,-0.0012565703738512957
2015-06-23,-0.007546967733060406
2015-06-24,-0.00359103895168289
2015-06-25,-0.004875974277599782
2015-06-26,0.0019167473321248796
2015-06-29,-0.014458649302039994
2015-06-30,0.0
2015-07-01,0.003452092421071251
2015-07-02,-0.0030099033700828892
2015-07-06,0.003450303071611982
2015-07-07,0.01053102874817391
2015-07-08,-0.004466277742993463
2015-07-09,0.007263199643483098
2015-07-10,0.012726020411568228
2015-07-13,0.003769143109885631
2015-07-14,0.013978704119569585
2015-07-15,-0.004115222027273435
2015-07-16,0.011157013059539311
2015-07-17,-0.005312905844347737
2015-07-20,-0.0030809649957660445
2015-07-21,-0.0061817361782223745
2015-07-22,-0.008915890262571002
2015-07-23,0.02677860658347586
2015-07-24,-0.005094001141407789
2015-07-27,0.004710404198263296
2015-07-28,0.022421310639492376
2015-07-29,0.010765448053089877
2015-07-30,0.009862198653393106
2015-07-31,-0.0013671860171947658
2015-08-03,-0.006454039000995948
2015-08-04,0.0033461794535618594
2015-08-05,0.012360382244446466
2015-08-06,-0.012016118704606282
2015-08-07,-0.004315143540541744
2015-08-10,0.012411611957943602
2015-08-11,0.0025297625747497943
2015-08-12,0.006405003141873644
2015-08-13,0.0009644978747489485
2015-08-14,0.006743820505026976
2015-08-17,0.007463841207123734
2015-08-18,0.0011400804517562868
2015-08-19,-0.001897706823437928
2015-08-20,-0.0005703417035648473
2015-08-21,-0.017690682544529546
2015-08-24,-0.042021471736777616
2015-08-25,-0.006468653088416376
2015-08-26,0.007121050610818358
2015-08-27,0.010707059696674515
2015-08-28,0.0035977451404958227
2015-08-31,-0.0029870812950427705
