Date,SW
2015-12-09,-0.0211211993039796
2015-12-10,0.0
2015-12-11,0.0
2015-12-14,0.0
2015-12-15,0.0
2015-12-16,0.0
2015-12-17,0.0
2015-12-18,0.0
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,0.0
2015-12-28,-0.010200235171391125
2015-12-29,0.017043229001557414
2015-12-30,0.0
2015-12-31,0.0
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,0.0
2016-01-08,0.0
2016-01-11,0.0
2016-01-12,0.0
2016-01-13,0.0
2016-01-14,-0.0467654812521614
2016-01-15,0.0
2016-01-19,0.0
2016-01-20,0.0
2016-01-21,-0.05968902743014248
2016-01-22,0.0
2016-01-25,0.0
2016-01-26,0.0
2016-01-27,0.0
2016-01-28,0.0
2016-01-29,0.0
2016-02-01,0.0
2016-02-02,-0.06652185421971257
2016-02-03,0.0
2016-02-04,0.0
2016-02-05,0.0
2016-02-08,-0.009315201461488676
2016-02-09,0.0
2016-02-10,0.08415591850265036
2016-02-11,0.0
2016-02-12,0.028187273731743012
2016-02-16,0.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,0.0
2016-02-22,0.0
2016-02-23,-0.0016868787247360517
2016-02-24,-0.02365869505798046
2016-02-25,0.0008654480820886601
2016-02-26,0.0
2016-02-29,0.0
2016-03-01,0.0
2016-03-02,0.0
2016-03-03,0.0
2016-03-04,0.0
2016-03-07,0.060527542103195
2016-03-08,0.0
2016-03-09,0.026090322723398174
2016-03-10,0.0
2016-03-11,0.0
2016-03-14,0.008740582106697037
2016-03-15,0.0
2016-03-16,0.0
2016-03-17,0.0
2016-03-18,0.0
2016-03-21,-0.0023629932309732204
2016-03-22,-0.013028054664158795
2016-03-23,0.013999943060521547
2016-03-24,0.0
2016-03-28,-0.004339360053971841
2016-03-29,0.02535681413408586
2016-03-30,0.0
2016-03-31,0.004636703818993837
2016-04-01,0.0
2016-04-04,-0.00961543006322585
2016-04-05,-0.021359464434001607
2016-04-06,0.0
2016-04-07,0.0
2016-04-08,0.03174633330993237
2016-04-11,0.0
2016-04-12,0.0
2016-04-13,0.0
2016-04-14,0.02124989562145796
2016-04-15,0.029230622966955222
2016-04-18,0.0
2016-04-19,0.005605426642067979
2016-04-20,0.0
2016-04-21,0.0
2016-04-22,-0.002972759886615939
2016-04-25,0.0
2016-04-26,0.0
2016-04-27,0.0
2016-04-28,0.0
2016-04-29,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,-0.008945244366520888
2016-05-20,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.04099282995532261
2016-05-27,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-06,-0.016257265122998854
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-13,-0.0268086863863356
2016-06-14,-0.08754706928318468
2016-06-15,0.029776580263435548
2016-06-16,0.0
2016-06-17,0.0
2016-06-20,0.023293246199998396
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.03139706412641585
2016-06-24,-0.13242013226960048
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-11,-0.019298175397654993
