Date,WYNN
2015-01-05,-0.017019493453663048
2015-01-06,-0.02133099794795179
2015-01-07,0.029367877013962485
2015-01-08,0.012030809743188042
2015-01-09,0.012498589398678428
2015-01-12,-0.003957665132634514
2015-01-13,0.009093138265101386
2015-01-14,-0.008076852872915374
2015-01-15,-0.006392971229633226
2015-01-16,-0.004470125445271811
2015-01-20,-0.03374359030586338
2015-01-21,0.006054746535228306
2015-01-22,0.0303730758016183
2015-01-23,-0.008286293107943599
2015-01-26,0.0672555502279697
2015-01-27,-0.005069568767292143
2015-01-28,-0.01006183338911626
2015-01-29,-0.003323068415999053
2015-01-30,-0.032816778505385225
2015-02-02,0.012098386837863018
2015-02-03,0.04047021676992624
2015-02-04,-0.062195005365984435
2015-02-05,0.0036276598884610323
2015-02-06,-0.002727879510734166
2015-02-09,0.015112044051267093
2015-02-10,0.041765028875615284
2015-02-11,-0.012471499000818786
2015-02-12,0.02300966213770761
2015-02-13,0.029860462849133462
2015-02-17,-0.014685609951432532
2015-02-18,0.009681328521713883
2015-02-19,0.0003158770073403705
2015-02-20,-0.0006307802861639233
2015-02-23,-0.02612478805774565
2015-02-24,-0.04749557641801794
2015-02-25,-0.02687074002063594
2015-02-26,-0.0019577554911989203
2015-02-27,-0.0018908982715770684
2015-03-02,-0.0004912664662420907
2015-03-03,-0.016569413811994615
2015-03-04,-0.008924081635106274
2015-03-05,0.0012962570136538787
2015-03-06,-0.014388310835713791
2015-03-09,-0.030364824813000624
2015-03-10,-0.025067813024193475
2015-03-11,-0.02223768151426786
2015-03-12,-0.002447971685549888
2015-03-13,0.005937269802799294
2015-03-16,-0.01117492854182256
2015-03-17,-0.008516044327734229
2015-03-18,-0.013324327967538463
2015-03-19,0.05849338537945381
2015-03-20,-0.0009997330989636177
2015-03-23,0.015848872432411287
2015-03-24,-0.019236780985055435
2015-03-25,-0.0021617222594213503
2015-03-26,-0.018263551706430237
2015-03-27,-0.004808470306982171
2015-03-30,0.009584153018597386
2015-03-31,-0.012396001944854018
2015-04-01,-0.0027803642513331006
2015-04-02,0.030829254130182226
2015-04-06,0.01020087159157157
2015-04-07,-0.02172579807034747
2015-04-08,0.010947726827927662
2015-04-09,0.05685317001563317
2015-04-10,-0.004464631843894673
