Date,PPL
2015-01-05,-0.02310231800285667
2015-01-06,-0.0002816640765562761
2015-01-07,0.004506040141483814
2015-01-08,-0.00392477533936364
2015-01-09,-0.005066208098165714
2015-01-12,-0.0050918189374263845
2015-01-13,-0.010520598062421893
2015-01-14,0.012069348123663115
2015-01-15,0.002839509462771783
2015-01-16,0.0002826061640217592
2015-01-20,0.007359479741436692
2015-01-21,0.012081992323976332
2015-01-22,-0.008884018896059831
2015-01-23,0.001960692248434759
2015-01-26,-0.0016774361998833642
2015-01-27,-0.0002798887527512006
2015-01-28,-0.0050422676542787315
2015-01-29,0.010698321085550688
2015-01-30,-0.011141985135886268
2015-02-02,0.011267527762736762
2015-02-03,0.013370345470155032
2015-02-04,-0.015667722122562622
2015-02-05,0.014241820436913466
2015-02-06,-0.030286179145450287
2015-02-09,-0.016184306305725094
2015-02-10,0.018759105571837686
2015-02-11,-0.01614725870047795
2015-02-12,0.0034549556225571543
2015-02-13,-0.0045910931564315804
2015-02-17,-0.0034590352522180234
2015-02-18,0.024587934660166733
2015-02-19,-0.00734059254142172
2015-02-20,-0.005119428191585285
2015-02-23,0.005431783786837174
2015-02-24,0.002274238009007945
2015-02-25,-0.017871975555845965
2015-02-26,-0.009821443944124653
2015-02-27,-0.00525027475272255
2015-03-02,-0.020528150093657827
2015-03-03,0.0029940412013436113
2015-03-04,-0.007462562586562971
2015-03-05,0.004811917836087032
2015-03-06,-0.03925883241917194
2015-03-09,0.0
2015-03-10,-0.0034654116480593578
2015-03-11,-0.007271816040103296
2015-03-12,0.016241974968070894
2015-03-13,-0.003447256063772386
2015-03-16,0.01572329749015844
2015-03-17,-0.0003096121621222192
2015-03-18,0.054506297531512926
2015-03-19,-0.010572993429870725
2015-03-20,0.019887375529313633
2015-03-23,-0.005820617397140793
2015-03-24,-0.010246288813714921
2015-03-25,-0.020703857373105983
2015-03-26,-0.0027180458237977545
2015-03-27,0.0039367993749088726
2015-03-30,0.012368119787635967
2015-03-31,0.002979975912564825
2015-04-01,0.00029681229592348757
2015-04-02,0.005345968549746782
2015-04-06,0.01565709223863143
2015-04-07,-0.012797801014340915
2015-04-08,0.004125121456206138
2015-04-09,-0.010563591236900427
2015-04-10,0.009786746824360426
2015-04-13,-0.0152718997217266
2015-04-14,0.009842203854951492
2015-04-15,-0.008860332314635677
2015-04-16,-0.0029800729454166897
2015-04-17,-0.005080351717106524
2015-04-20,0.015319956470171148
2015-04-21,-0.005621278658323181
2015-04-22,0.010711216771243315
2015-04-23,0.00794789341521196
2015-04-24,0.009929902264516732
2015-04-27,-0.01619425306342004
2015-04-28,0.010287883265003073
2015-04-29,0.0011639557441003312
2015-04-30,-0.011043635685698883
2015-05-01,0.004702149660759769
2015-05-04,0.007604541733068126
2015-05-05,-0.020319131298010995
2015-05-06,-0.010963094270472706
2015-05-07,0.0005990919673970474
2015-05-08,0.014970086735888621
2015-05-11,-0.0044246040684916554
2015-05-12,-0.0032593165508442157
2015-05-13,-0.01040438490212725
2015-05-14,0.008711345878727794
2015-05-15,0.010422976106315707
2015-05-18,0.0103152663811803
2015-05-19,0.009334760788799024
2015-05-20,0.007225493912748293
2015-05-21,-0.008321304348151148
2015-05-22,-0.004050929088576738
2015-05-26,-0.002905425055833133
2015-05-27,0.010198334366305017
2015-05-28,0.0037493469779330546
2015-05-29,-0.0025859555337296447
2015-06-01,0.0017285025701905266
2015-06-02,-0.017748580384235435
2015-06-03,-0.011002537888355257
2015-06-04,-0.00031776454187337766
2015-06-05,-0.015898292282772286
2015-06-08,-0.014945740584960565
2015-06-09,-0.0006642590715832952
2015-06-10,0.003986909469708921
2015-06-11,0.010258029287152581
2015-06-12,-0.012446917528730839
2015-06-15,-0.007628448559453993
2015-06-16,0.0036765950389452406
2015-06-17,0.010988683131164967
2015-06-18,0.015151465802385689
2015-06-19,-0.009409158842958454
