Date,T
2015-01-05,-0.009447836345523375
2015-01-06,0.0014904807613429494
2015-01-07,0.00583051037729021
2015-01-08,0.009948646703727082
2015-01-09,-0.0029852146342819186
2015-01-12,0.002694737540795966
2015-01-13,0.0
2015-01-14,-0.004777689345192848
2015-01-15,-0.0021003088589782726
2015-01-16,0.016235998906016347
2015-01-20,0.004437679890209711
2015-01-21,0.001472823377451471
2015-01-22,-0.006176365250356808
2015-01-23,-0.012429818123099734
2015-01-26,-0.0056935207690110845
2015-01-27,-0.011151412264364113
2015-01-28,-0.003962228488044839
2015-01-29,0.00856800421122439
2015-01-30,-0.0012134042106146659
2015-02-02,0.019440832318755374
2015-02-03,0.023241762025553614
2015-02-04,0.0020388485140176993
2015-02-05,0.003777913304559899
2015-02-06,0.009554352972187541
2015-02-09,-0.00659638892592429
2015-02-10,0.006062485189415767
2015-02-11,-0.013199658646422252
2015-02-12,0.00639750977944975
2015-02-13,0.0014445813042431865
2015-02-17,0.001442575123900447
2015-02-18,-0.006338218239031024
2015-02-19,-0.01159756218186725
2015-02-20,-0.00029319706259955947
2015-02-23,-0.006748746974803099
2015-02-24,0.005908138786458572
2015-02-25,0.004699508707120659
2015-02-26,0.008476424443151664
2015-02-27,0.0017392902014630174
2015-03-02,0.002314689751544252
2015-03-03,-0.0066394135090236395
2015-03-04,-0.011915462563332757
2015-03-05,0.0
2015-03-06,-0.01529404521853961
2015-03-09,-0.0038830170399516417
2015-03-10,-0.01709120937312336
2015-03-11,-0.004881007137700344
2015-03-12,0.015634321424426778
2015-03-13,-0.011168001018690976
2015-03-16,0.009157610086002244
2015-03-17,-0.0048395863646192305
2015-03-18,0.020972397032177348
2015-03-19,-0.011610903067301614
2015-03-20,0.0009039813022144738
2015-03-23,0.0015048159616393164
2015-03-24,-0.006310310165293931
2015-03-25,-0.013607324451236469
2015-03-26,0.006130917224245858
2015-03-27,-0.0021325363032868028
2015-03-30,0.0067175426527401605
2015-03-31,-0.009705838959078728
2015-04-01,0.00735086837004717
2015-04-02,0.007296654798017332
2015-04-06,0.006036783645591681
2015-04-07,-0.005100507919727937
2015-04-08,0.0034509555868271757
2015-04-09,0.0012249823630838819
2015-04-10,0.002447532540424513
2015-04-13,0.0033567276581887295
2015-04-14,-0.005778886261668226
2015-04-15,0.006118467940085637
2015-04-16,-0.004256873935560734
2015-04-17,-0.0073282579108265855
2015-04-20,0.009843522600279098
2015-04-21,-0.005178553507832917
2015-04-22,0.0061238447366096516
2015-04-23,0.0416915687728352
2015-04-24,-0.006426880248674771
2015-04-27,0.0023524608233691513
2015-04-28,0.022587184714674136
2015-04-29,-0.0028686855407191736
2015-04-30,-0.003452250338617513
2015-05-01,-0.006350962125072912
2015-05-04,0.0031957389737955477
2015-05-05,-0.023457810651231426
2015-05-06,-0.010082885299047217
2015-05-07,-0.00029998311458079296
2015-05-08,0.009589761343365533
2015-05-11,-0.005936542258575428
2015-05-12,0.005076105318503998
2015-05-13,0.007130216349607865
2015-05-14,0.006784666165408293
2015-05-15,0.005859777011954614
2015-05-18,0.01573005868319588
2015-05-19,-0.014339159530133982
2015-05-20,0.007273266622357166
2015-05-21,0.012998582097644373
2015-05-22,-0.010265128538433421
2015-05-26,-0.0011522810525292915
2015-05-27,0.008075957664099631
2015-05-28,-0.004291419510145333
2015-05-29,-0.00747144006985323
2015-06-01,-0.005500769598703492
2015-06-02,0.0002907434077601412
2015-06-03,0.019499731699476275
2015-06-04,0.006850904925371548
2015-06-05,-0.01984684828653993
2015-06-08,0.0005787029082227058
2015-06-09,-0.002312709599324725
2015-06-10,0.006084801513577265
2015-06-11,0.004608329970629432
2015-06-12,-0.006593741281749166
2015-06-15,-0.006926190626393325
2015-06-16,0.007555737401931939
2015-06-17,0.0037498808316716037
2015-06-18,0.006321684305712338
2015-06-19,-0.0008568243883912974
2015-06-22,0.0014288628792620273
2015-06-23,0.024828683911815697
2015-06-24,-0.003620027993628483
2015-06-25,0.011179549536122213
2015-06-26,-0.001658268305564481
2015-06-29,-0.009690078857284234
2015-06-30,-0.006989042207402818
2015-07-01,0.0014076911368079426
2015-07-02,0.004497834134257861
2015-07-06,-0.0033583814866606776
2015-07-07,0.004493227501891406
2015-07-08,-0.01017760774259846
2015-07-09,-0.011497784766497654
2015-07-10,0.007560617204878994
2015-07-13,0.006637702130131595
2015-07-14,0.0068809302769039515
2015-07-15,-0.011104858239757487
2015-07-16,0.01238123606808439
2015-07-17,-0.004266314339998356
2015-07-20,-0.0031419810907642454
2015-07-21,-0.009455429770065193
2015-07-22,-0.008678253228775912
2015-07-23,-0.009920980201866714
2015-07-24,0.010609998052741432
2015-07-27,0.0008749722457683795
2015-07-28,0.00029107491448976397
2015-07-29,0.01048660424922776
2015-07-30,0.0031712635618459384
2015-07-31,-0.0017245219492472152
2015-08-03,-0.0023026876063541035
2015-08-04,-0.0023080022144487122
2015-08-05,-0.0002892614463627652
2015-08-06,-0.009545838431203046
2015-08-07,-0.0008758710886855869
2015-08-10,0.016661447223850434
2015-08-11,-0.0037378057025720945
2015-08-12,-0.01818179231957151
2015-08-13,-0.006173110149351624
2015-08-14,0.007098541676273218
2015-08-17,0.005285923562089678
2015-08-18,0.0035064806233791046
2015-08-19,0.00029066964047363975
2015-08-20,-0.011932337819271832
2015-08-21,-0.016789207277648543
2015-08-24,-0.030257999302605865
2015-08-25,-0.017608461755079463
2015-08-26,0.027987119149660344
2015-08-27,0.022943114879359072
2015-08-28,-0.004485675858119653
2015-08-31,-0.002704000223170966
2015-09-01,-0.026505980228320403
