Date,MU
2015-01-05,-0.027913718291692535
2015-01-06,-0.02693897664424616
2015-01-07,-0.0234256483987203
2015-01-08,0.04890953051223623
2015-01-09,-0.004158105446241178
2015-01-12,-0.05577066822040122
2015-01-13,-0.02590018086332535
2015-01-14,-0.025616149903541885
2015-01-15,-0.024958338757001264
2015-01-16,-0.010580288966444362
2015-01-20,0.02345644208270725
2015-01-21,0.027637269160130318
2015-01-22,0.013119098911396065
2015-01-23,0.0019423509185294563
2015-01-26,0.0022615779280896753
2015-01-27,-0.04416484434649304
2015-01-28,-0.018549856006480958
2015-01-29,0.020962218614938743
2015-01-30,-0.014809877256666937
2015-02-02,-0.0283566908642926
2015-02-03,0.017932463955443234
2015-02-04,0.0027634619695300344
2015-02-05,0.015845628478526885
2015-02-06,-0.01966758450626016
2015-02-09,-0.01937052318150989
2015-02-10,0.09664897234867298
2015-02-11,-0.002251582533508323
2015-02-12,0.02965838673545651
2015-02-13,-0.0028177468773579184
2015-02-17,0.01507057068150619
2015-02-18,-0.004949040879827837
2015-02-19,-0.011190528048982684
2015-02-20,0.0069161184967816425
2015-02-23,-0.01966917223920661
2015-02-24,-0.020063562019239978
2015-02-25,-0.009424748333941024
2015-02-26,0.004593159120896528
2015-02-27,0.0016330686256176286
2015-03-02,0.018584820783315692
2015-03-03,-0.05057613315355158
2015-03-04,-0.013149114487366553
2015-03-05,0.0003416645622593695
2015-03-06,-0.02663933305525734
2015-03-09,0.005613985223743567
2015-03-10,-0.036636431403064273
2015-03-11,0.009779080900781612
2015-03-12,0.00502143261951038
2015-03-13,0.024982346330838512
2015-03-16,-0.007312086575779531
2015-03-17,-0.029814081023156858
2015-03-18,0.018076670295363195
2015-03-19,-0.0039061763175326503
2015-03-20,0.022459879124097748
2015-03-23,-0.0230127296508309
2015-03-24,-0.0021411607737004124
2015-03-25,-0.049713883012270976
2015-03-26,0.0033872349032633142
2015-03-27,0.0007501534221601158
2015-03-30,0.0
2015-03-31,0.016866641804727855
2015-04-01,0.0
2015-04-02,-0.014743802595189703
2015-04-06,0.026187853053686094
2015-04-07,-0.02041566912323156
2015-04-08,0.009676214314422005
2015-04-09,0.025433057677176407
2015-04-10,0.007188956188663331
2015-04-13,-0.004996343815696025
2015-04-14,-0.005738970257840759
2015-04-15,0.016234051231906133
2015-04-16,-0.0056800965150552996
2015-04-17,0.0003570340198830735
2015-04-20,0.008565479431279943
2015-04-21,0.01026183606713249
2015-04-22,0.033274843733038795
2015-04-23,0.0006780677102540267
2015-04-24,-0.010840144256530904
2015-04-27,0.002397251570636083
2015-04-28,-0.009566073996631341
2015-04-29,-0.004139372132242469
2015-04-30,-0.02563226330660906
2015-05-01,0.03057248299503912
2015-05-04,-0.011038325685979844
2015-05-05,-0.02197424573471507
2015-05-06,-0.0017831207559211304
2015-05-07,-0.025723419724828056
2015-05-08,-0.0033003588666736805
2015-05-11,0.020971246757471862
2015-05-12,-0.031711608270015956
2015-05-13,0.011909013540551516
2015-05-14,-0.018388782348630617
2015-05-15,-0.013488386352210613
2015-05-18,0.016331216823692873
2015-05-19,-0.016816216964913422
2015-05-20,0.010642525507977396
2015-05-21,0.011658316582857431
2015-05-22,0.015985238520480616
2015-05-26,-0.00036591733998025955
2015-05-27,0.02964843851357024
2015-05-28,0.005332664103600004
2015-05-29,-0.012376259673160805
2015-06-01,0.017543653571276963
2015-06-02,-0.02216740847771359
2015-06-03,-0.025548755537131873
2015-06-04,-0.0033235150207922004
2015-06-05,-0.014820136347540758
2015-06-08,-0.025197651209812877
2015-06-09,-0.02816346854302576
2015-06-10,0.0
2015-06-11,-0.006748828816089625
2015-06-12,0.004396478227996381
2015-06-15,-0.03541574434927852
2015-06-16,0.0
2015-06-17,0.009900781113987067
2015-06-18,-0.00040827878979721177
2015-06-19,0.0
2015-06-22,0.0065384806304393805
2015-06-23,-0.005683946324416267
2015-06-24,-0.01755822413400998
2015-06-25,-0.001662515855708313
2015-06-26,-0.18151551369792573
2015-06-29,-0.04730405985283137
2015-06-30,0.005872715976308562
2015-07-01,-0.003184465463911268
2015-07-02,0.01544193212313072
2015-07-06,-0.03932868814871693
2015-07-07,-0.00655066567290441
2015-07-08,-0.03131828590331631
2015-07-09,-0.02722629621904571
2015-07-10,0.024489817762533672
2015-07-13,0.0022765039825483058
2015-07-14,0.11357198708172267
2015-07-15,-0.036716077332666464
2015-07-16,0.038115530082760696
2015-07-17,0.026007196547935374
2015-07-20,-0.061133366404873546
2015-07-21,-0.0005294082072228035
2015-07-22,-0.04661032376687324
2015-07-23,0.03888907814615927
2015-07-24,-0.019251504656909613
2015-07-27,-0.011995200301381348
2015-07-28,0.08995544776350228
2015-07-29,0.006075969943778903
2015-07-30,0.0015098925826859677
2015-07-31,-0.06984915692525573
2015-08-03,0.0264717605505862
2015-08-04,0.0005267545036224952
2015-08-05,-0.005260457249282591
2015-08-06,-0.01004760047368114
2015-08-07,-0.014957313327240374
2015-08-10,0.020607389973473556
2015-08-11,-0.04994676888148242
2015-08-12,0.017337835216569175
2015-08-13,-0.026938096743665763
2015-08-14,-0.042372886030943024
2015-08-17,0.015929228417485453
2015-08-18,-0.0487803107814081
2015-08-19,-0.02930418149680447
2015-08-20,-0.072956093955446
2015-08-21,-0.014246963036831373
2015-08-24,-0.006194069047677941
2015-08-25,-0.011772724737003193
2015-08-26,0.010511494965435908
2015-08-27,0.08668514827778862
2015-08-28,0.018506732394604875
2015-08-31,0.028195553006143292
2015-09-01,-0.03595365675356654
2015-09-02,0.02970917170719667
2015-09-03,0.018416327466165727
