Date,ITW
2015-01-05,-0.02471491460097508
2015-01-06,-0.013753303774151404
2015-01-07,0.010870914378775742
2015-01-08,0.024114404570678483
2015-01-09,-0.0075305519758783745
2015-01-12,-0.004595438720367273
2015-01-13,-0.0011813135880671677
2015-01-14,-0.0020421688595855247
2015-01-15,-0.007216692975503758
2015-01-16,0.012151447032297646
2015-01-20,0.001286377373295844
2015-01-21,0.003425515332143858
2015-01-22,0.009282171205276635
2015-01-23,-0.010993911305391846
2015-01-26,0.0018170832699291317
2015-01-27,-0.0028804766457969366
2015-01-28,-0.014337637335453679
2015-01-29,0.01769418631379782
2015-01-30,-0.007040309336216022
2015-02-02,0.019551510603935895
2015-02-03,0.010114849202347287
2015-02-04,-0.00020867731717200133
2015-02-05,0.012727906570315417
2015-02-06,0.0002064992346377803
2015-02-09,-0.002780891131730412
2015-02-10,0.0023752859149772654
2015-02-11,-0.003400357818252542
2015-02-12,0.010959579284664178
2015-02-13,0.004908831921040857
2015-02-17,-0.0007123578668536412
2015-02-18,0.002546289128714019
2015-02-19,-0.0001016641541002894
2015-02-20,0.010768882893360976
2015-02-23,-0.0024120348255280977
2015-02-24,0.002317032352738835
2015-02-25,0.0028149767696092898
2015-02-26,-0.004511129690143334
2015-02-27,-0.0045310815789951775
2015-03-02,0.007080540657120604
2015-03-03,0.0011047468781870684
2015-03-04,-0.014748476917576192
2015-03-05,0.009368619916251042
2015-03-06,-0.01361998838341949
2015-03-09,0.009409725579156314
2015-03-10,-0.019859809969628328
2015-03-11,-0.005582684088745848
2015-03-12,0.019648785046123107
2015-03-13,-0.0042820899667112
2015-03-16,0.01454023540174143
2015-03-17,-0.003229976574531168
2015-03-18,0.01063186223602508
2015-03-19,-0.004408406717282043
2015-03-20,-0.008453395072412606
2015-03-23,-0.0063938508895304835
2015-03-24,-0.002961736219441069
2015-03-25,-0.011372288944571318
2015-03-26,0.00031092203783900096
2015-03-27,0.0072361040403969845
2015-03-30,0.011887772595372326
2015-03-31,-0.007662011371832533
2015-04-01,-0.0063824900684382735
2015-04-02,0.0009325082231093074
2015-04-06,0.01190376906019619
2015-04-07,0.0018410622640652186
2015-04-08,-0.006942848807320323
2015-04-09,0.00020575809646650178
2015-04-10,0.0026725109612917297
2015-04-13,0.005126303730339954
2015-04-14,0.0147896791481823
2015-04-15,-0.004523060376794397
2015-04-16,-0.008077607529950237
2015-04-17,-0.024124601483714758
2015-04-20,0.011995448143647947
2015-04-21,-0.026798533704734062
2015-04-22,0.00021163890767206262
2015-04-23,0.002859241345225305
2015-04-24,-0.0008453966320904893
2015-04-27,0.00348752215434156
2015-04-28,0.002106601037209055
2015-04-29,-0.006620437617070429
2015-04-30,-0.010050123948280754
2015-05-01,0.015708823137524863
2015-05-04,0.005997085459921392
2015-05-05,-0.008785290446117089
2015-05-06,0.0008445679834261366
2015-05-07,0.0016862796243699574
2015-05-08,0.0094717783351832
2015-05-11,-0.0014598214028497258
2015-05-12,-0.0016698808701561818
2015-05-13,0.001777520360111584
2015-05-14,0.01743403542436961
2015-05-15,-0.003488819541607624
2015-05-18,-0.0018533946372851773
2015-05-19,-0.002784804049532963
2015-05-20,0.0001029051446252982
2015-05-21,0.008585277072675979
2015-05-22,-0.006460985305727918
2015-05-26,-0.01548278312994733
2015-05-27,0.008387364091237304
2015-05-28,-0.006654262527486687
2015-05-29,-0.017898174896623598
2015-06-01,-0.000532889248626156
2015-06-02,0.008850864057229124
2015-06-03,0.004967367925259314
2015-06-04,-0.01714367876749312
2015-06-05,-0.0023539572274516862
2015-06-08,-0.007079678229534481
2015-06-09,0.0017288340634564747
2015-06-10,0.020058488196494695
2015-06-11,0.002536947176147164
2015-06-12,-0.011916074421020495
2015-06-15,-0.011419363196945698
2015-06-16,0.0003238547041675144
2015-06-17,-0.0006476043504697326
2015-06-18,0.010043063389292284
2015-06-19,-0.007163020659641028
2015-06-22,0.009691992318158427
2015-06-23,-0.0046928636023086945
2015-06-24,0.009108105137189959
2015-06-25,-0.013379771094933601
2015-06-26,0.003840836888146848
2015-06-29,-0.014334749367732824
2015-06-30,0.0037173595925774627
2015-07-01,0.017867104661307698
2015-07-02,-0.0003209541122336512
2015-07-06,-0.00299763497876937
2015-07-07,0.007624340133610907
2015-07-08,-0.020249653173819326
2015-07-09,-0.0007613923207966389
2015-07-10,0.007838016221393573
2015-07-13,0.012529932703832847
2015-07-14,0.003200367120302472
2015-07-15,-0.007124623422652077
2015-07-16,0.0025704187087394192
2015-07-17,-0.0063030844559121
2015-07-20,0.004730495416276126
2015-07-21,-0.01390970246716794
2015-07-22,-0.027994974815469753
2015-07-23,-0.002009350554041056
2015-07-24,-0.012639665738690464
2015-07-27,-0.011442279954893886
2015-07-28,0.016960790393059977
2015-07-29,0.006761380483295998
2015-07-30,-0.0006714027967666958
2015-07-31,0.002127915404532388
2015-08-03,-0.009053301501243949
2015-08-04,-0.0036091492411931547
2015-08-05,0.014149988568643579
2015-08-06,-0.004130108483307193
2015-08-07,0.0008969482462914957
2015-08-10,0.02329187112628417
2015-08-11,-0.023637455021273013
2015-08-12,0.0013449358963617541
2015-08-13,0.001007374094971869
2015-08-14,0.003690239469751333
2015-08-17,0.0031189815267020915
2015-08-18,-0.0012213895496744342
2015-08-19,-0.012009394814404772
2015-08-20,-0.016207200843518232
2015-08-21,-0.02505441598729896
2015-08-24,-0.03555460585526449
2015-08-25,-0.025550637736182047
2015-08-26,0.03958071526247742
2015-08-27,0.018735845362723547
2015-08-28,0.0028295222777545703
2015-08-31,-0.006230675839190347
