Date,DAL
2015-01-05,-0.016673513093395154
2015-01-06,-0.023573308361346745
2015-01-07,-0.005294064272627574
2015-01-08,0.025973680146629263
2015-01-09,-0.027183958385029183
2015-01-12,-0.017491449065974884
2015-01-13,0.01194078935005094
2015-01-14,-0.0278908670405158
2015-01-15,-0.005738255469471709
2015-01-16,0.017536228152726485
2015-01-20,0.07264388612827521
2015-01-21,0.00020341016123093247
2015-01-22,0.030907040661086738
2015-01-23,-0.002761462480773247
2015-01-26,-0.008109253044971565
2015-01-27,-0.019341939627300353
2015-01-28,-0.014640529156625837
2015-01-29,0.03611279332384476
2015-01-30,-0.05775770657563539
2015-02-02,-0.01690974847470683
2015-02-03,-0.010750134739587858
2015-02-04,0.02064757380402149
2015-02-05,-0.017461650861908096
2015-02-06,-0.013654323894246034
2015-02-09,-0.02329112363980579
2015-02-10,0.019572035876126437
2015-02-11,-0.0075018440190944835
2015-02-12,-0.003779514073472545
2015-02-13,-0.006918196837621959
2015-02-17,0.0058427048467335485
2015-02-18,0.013431828510099386
2015-02-19,0.014358257667812513
2015-02-20,0.033101078396810646
2015-02-23,-0.005269660874379523
2015-02-24,0.01780024417547943
2015-02-25,-0.024776196175798515
2015-02-26,-0.019641368102595202
2015-02-27,-0.030487857642440885
2015-03-02,0.01954194829625222
2015-03-03,0.008592063945189743
2015-03-04,-0.013761293912594508
2015-03-05,-0.016832746062203086
2015-03-06,-0.013741995358003356
2015-03-09,0.018044855089771383
2015-03-10,-0.025802323990313902
2015-03-11,0.013818513880088146
2015-03-12,0.029759691265708987
2015-03-13,0.003749841235600071
2015-03-16,0.014505623730713957
2015-03-17,0.010615241022618127
2015-03-18,-0.018006479751401794
2015-03-19,0.03165231033806504
2015-03-20,0.00338550196527998
2015-03-23,-0.017713914824269872
2015-03-24,-0.011807577809479608
2015-03-25,-0.03280475052678122
2015-03-26,-0.009658338483270024
2015-03-27,0.017917683514602656
2015-03-30,0.015151593891590043
2015-03-31,-0.013169347004590937
2015-04-01,-0.037811433540542616
2015-04-02,-0.02334729920022749
2015-04-06,-0.011597724597360193
2015-04-07,-0.002873438391420624
2015-04-08,0.0396252417077716
2015-04-09,-0.0034649027935529375
2015-04-10,0.002086390315480635
2015-04-13,-0.0037013047284003564
2015-04-14,0.00023235391361908775
2015-04-15,0.025997741767889826
2015-04-16,0.017873782916466352
2015-04-17,-0.005112615300251311
2015-04-20,0.02167143227687074
2015-04-21,0.010933609880125372
2015-04-22,0.006489103265647556
2015-04-23,-0.002148903112595635
2015-04-24,0.011845908030930552
2015-04-27,-0.011281653458371177
2015-04-28,-0.005382160650828416
2015-04-29,-0.025324556036136925
2015-04-30,-0.008660946799480151
2015-05-01,0.022849628566181668
2015-05-04,-0.008103381228401263
2015-05-05,-0.030691556848811863
2015-05-06,0.005706698166011215
2015-05-07,0.02950550693287357
2015-05-08,0.01785686117812957
2015-05-11,0.01386204740322805
2015-05-12,-0.015168001791523111
2015-05-13,0.014750673846886775
2015-05-14,0.013253852296736923
2015-05-15,-0.008438911418437667
2015-05-18,0.007872074705014942
2015-05-19,-0.02448791405094397
2015-05-20,-0.05604864025932321
2015-05-21,0.0029804515697371414
2015-05-22,-0.013028830736233732
2015-05-26,-0.030800886536557104
2015-05-27,0.01624823288018029
2015-05-28,-0.006583520665373377
2015-05-29,0.015857824766343454
2015-06-01,0.03331806517291769
2015-06-02,-0.025704938145980072
2015-06-03,0.0006946757453325514
2015-06-04,-0.007400876314633931
2015-06-05,-0.0004657776453041995
2015-06-08,-0.05011673478582079
2015-06-09,-0.0007359772949205867
2015-06-10,0.008349512836586026
2015-06-11,-0.006332237282381525
2015-06-12,0.008333671396165698
2015-06-15,-0.010695284653698733
2015-06-16,-0.003194387756290773
2015-06-17,0.005669262728111635
2015-06-18,0.013480572374181543
2015-06-19,0.015477782981641708
2015-06-22,0.022386458658179897
2015-06-23,0.003959390618307523
2015-06-24,-0.010208713589079932
2015-06-25,-0.0014064554080382985
2015-06-26,-0.0058684846287693215
2015-06-29,-0.02904338503217352
2015-06-30,-0.0009731716370153798
2015-07-01,-0.019717633317409278
2015-07-02,-0.006704567773783587
2015-07-06,0.011999768105847242
2015-07-07,0.017292741114129706
2015-07-08,-0.02452663368802077
2015-07-09,0.00945969943779379
2015-07-10,0.047102398621553965
2015-07-13,0.02143222594667238
2015-07-14,0.006686480595948341
2015-07-15,0.007558525707398678
2015-07-16,0.010911653448347769
2015-07-17,0.010569006085790367
2015-07-20,-0.018914291797866745
2015-07-21,0.012700965667564734
2015-07-22,0.012766215422017613
2015-07-23,-0.0013267375505521262
2015-07-24,-0.02347223679085375
2015-07-27,-0.003854835722324812
2015-07-28,0.022308184027162836
2015-07-29,-0.016254660734428716
2015-07-30,-0.003395263899059753
2015-07-31,0.007040483834415134
2015-08-03,0.03134883849338155
2015-08-04,0.013557888712432353
2015-08-05,0.0018393404598824326
2015-08-06,-0.005615473369293356
2015-08-07,0.006733103112094074
2015-08-10,-0.0006471190776063951
2015-08-11,0.01683914555773458
2015-08-12,-0.010615616130765337
2015-08-13,0.01824015048382388
2015-08-14,0.003793520120927374
2015-08-17,0.007558277191029639
2015-08-18,-0.013127515545188317
2015-08-19,-0.005912031790975658
2015-08-20,-0.029099878023643444
2015-08-21,-0.046160398766242894
2015-08-24,-0.03325676904897179
2015-08-25,-0.01850538982185712
2015-08-26,0.05632073049008235
2015-08-27,0.003661837913367938
2015-08-28,0.00182355297494885
2015-08-31,-0.0036413476497663133
2015-09-01,-0.000227943541859843
2015-09-02,0.050719378862459585
