Date,TEL
2015-01-05,-0.019471103524843714
2015-01-06,-0.012108523165856644
2015-01-07,0.030070172848820853
2015-01-08,0.020149063824805857
2015-01-09,-0.0059097351581332
2015-01-12,-0.01501867448247185
2015-01-13,-0.0054003163954418065
2015-01-14,0.004471484178512952
2015-01-15,-0.008744041150549497
2015-01-16,0.011226596260230703
2015-01-20,-0.015225545943228447
2015-01-21,0.010468615555881744
2015-01-22,0.0009562471741939582
2015-01-23,0.0014330744466970469
2015-01-26,0.004293218814005018
2015-01-27,0.023274032740695283
2015-01-28,0.04363335301526439
2015-01-29,0.0017789457390551267
2015-01-30,-0.017463484251135974
2015-02-02,0.007230307143005099
2015-02-03,0.019590266208076246
2015-02-04,-0.003080367678683249
2015-02-05,0.018832169510580643
2015-02-06,-0.008664334339761881
2015-02-09,0.008448346754338809
2015-02-10,0.004766722102356624
2015-02-11,0.0018689336390620426
2015-02-12,0.009901158432136237
2015-02-13,0.005399202788714419
2015-02-17,0.003956836351150406
2015-02-18,-0.003519045049833247
2015-02-19,0.0029665996468200007
2015-02-20,0.006056352268923426
2015-02-23,-0.0009798979758640636
2015-02-24,0.007286707581375618
2015-02-25,0.007962249724852377
2015-02-26,0.003048281320734647
2015-02-27,-0.0034539637625993214
2015-03-02,0.01136902635148651
2015-03-03,0.0012333349594255694
2015-03-04,-0.004518030400035955
2015-03-05,-0.002613370149598726
2015-03-06,-0.006204710852995343
2015-03-09,0.0008319847906732569
2015-03-10,-0.009427096769723198
2015-03-11,-0.005458423434302806
2015-03-12,0.00914730223940885
2015-03-13,-0.009342914505840239
2015-03-16,0.02322612728747675
2015-03-17,-0.008804604860737308
2015-03-18,0.017626830070529342
2015-03-19,-0.01268427339700784
2015-03-20,0.01422863808839736
2015-03-23,-0.004767189423121154
2015-03-24,-0.0087588166708783
2015-03-25,-0.025403556782908288
2015-03-26,0.00028333941925251516
2015-03-27,-0.0009914070626824145
2015-03-30,0.016869727287667002
2015-03-31,-0.0015336000407738526
2015-04-01,-0.007539564053793302
2015-04-02,-0.0057685469105659415
2015-04-06,0.006933763846687535
2015-04-07,-0.0030915089376916116
2015-04-08,-0.002678314161808748
2015-04-09,0.002261524158049033
2015-04-10,0.0012690125920375994
2015-04-13,-0.009859094891523368
2015-04-14,-0.0022760665441389216
2015-04-15,0.009552309550250992
2015-04-16,-0.003954036918635273
2015-04-17,-0.010633744032966241
2015-04-20,0.012180780177143191
2015-04-21,-0.008777962297736974
2015-04-22,0.0018568322881393762
2015-04-23,-0.019817248575928703
2015-04-24,0.0013086807021696067
2015-04-27,0.00014580899962179927
2015-04-28,-0.007698184287267318
2015-04-29,-0.009806437086871456
2015-04-30,-0.01626057470927056
2015-05-01,0.02284013484106784
2015-05-04,0.016600312687785834
2015-05-05,-0.016184994214366588
2015-05-06,-0.004406311351239367
2015-05-07,0.008409542845341011
2015-05-08,0.008193573538773036
2015-05-11,0.008416291361295514
2015-05-12,-0.010073262756584822
2015-05-13,0.00973963571859926
2015-05-14,0.009501982230711636
2015-05-15,0.0012832437953340659
2015-05-18,0.0066943849951917045
2015-05-19,-0.001980588919112458
2015-05-20,-0.0021266175883529748
2015-05-21,-0.0017048671880716126
2015-05-22,-0.004411432423442219
2015-05-26,-0.013722303815586145
2015-05-27,0.01936821513216258
2015-05-28,-0.006142909796745699
2015-05-29,-0.00819330818595998
2015-06-01,0.0
2015-06-02,0.0027535308544903714
2015-06-03,0.004625274610287056
2015-06-04,-0.020573004216505097
2015-06-05,0.00910696414188683
2015-06-08,-0.0053855695027739126
2015-06-09,-0.001756156269666631
2015-06-10,0.010995573088070199
2015-06-11,0.003625350727287424
2015-06-12,-0.005779754456093911
2015-06-15,-0.012643200406944888
2015-06-16,0.01780974033981031
2015-06-17,-0.0034703955069347314
2015-06-18,0.011028436029410171
2015-06-19,-0.010765017915915331
2015-06-22,0.006384248680509241
2015-06-23,0.0028835281327259654
2015-06-24,-0.020845503566768064
2015-06-25,-0.023050983155279647
2015-06-26,-0.006311792630503965
2015-06-29,-0.032062977348212396
2015-06-30,0.004687751642281857
2015-07-01,0.0007775032740373611
2015-07-02,0.00015537984646818437
2015-07-06,-0.010099552166242476
2015-07-07,-0.00439484670518786
2015-07-08,-0.026328136776225475
2015-07-09,-0.0004859860838104524
2015-07-10,0.011016066751163178
2015-07-13,0.002242936749095037
2015-07-14,0.008633218219830097
2015-07-15,-0.003170098263118204
2015-07-16,-0.001590382801339496
2015-07-17,-0.009395909454119056
2015-07-20,0.0028935860927199464
2015-07-21,-0.00016013920371615864
2015-07-22,-0.010742416888360973
2015-07-23,-0.009076109106489483
2015-07-24,-0.013902509704352362
2015-07-27,-0.00729817495972318
2015-07-28,0.013700822738853313
2015-07-29,-0.0006590665758963166
2015-07-30,0.0011544689830083055
2015-07-31,0.003624288033438061
2015-08-03,0.0006565886917508923
2015-08-04,0.0009841990235222031
2015-08-05,0.025729609799737707
2015-08-06,-0.01533833497656778
2015-08-07,0.004543471499485419
2015-08-10,0.03472768327303033
2015-08-11,-0.019981536016235535
2015-08-12,-0.003185533191116696
2015-08-13,-0.011664945771565738
2015-08-14,0.010994171886313797
2015-08-17,0.0001602706570720258
2015-08-18,-0.0028782972557532815
2015-08-19,0.00032067653147049846
2015-08-20,-0.02420649141870934
2015-08-21,-0.034499487841125887
2015-08-24,-0.04304934330859367
2015-08-25,-0.012624864889476561
2015-08-26,0.030435178910276584
2015-08-27,0.020921203590378523
2015-08-28,0.02014818486976644
2015-08-31,0.000843922225920668
2015-09-01,-0.023275547409324138
