Date,GRMN
2015-01-05,-0.02757718124601627
2015-01-06,-0.012126075261163494
2015-01-07,0.01861046541297351
2015-01-08,0.0
2015-01-09,-0.00019471706241724895
2015-01-12,0.00019475498453580542
2015-01-13,0.0017490054471083205
2015-01-14,0.00504489554104004
2015-01-15,-0.018919492534856808
2015-01-16,0.03955146531495024
2015-01-20,-0.00397493909837443
2015-01-21,-0.00038008113091048124
2015-01-22,0.010266588472248817
2015-01-23,-0.0024466946939776246
2015-01-26,0.024335213949910894
2015-01-27,-0.026519636548343106
2015-01-28,-0.01626938356093388
2015-01-29,0.009615522586348568
2015-01-30,-0.002666847683272411
2015-02-02,0.004583721604857649
2015-02-03,0.019962392082577107
2015-02-04,-0.007828560991564593
2015-02-05,0.003944969416562083
2015-02-06,-0.00037424897564841686
2015-02-09,0.007300440749629988
2015-02-10,0.005575232377306838
2015-02-11,0.0036961500445986673
2015-02-12,0.02946050277751633
2015-02-13,0.0003575287567536556
2015-02-17,0.015734319067178815
2015-02-18,-0.1073752882837622
2015-02-19,0.0001968382609951469
2015-02-20,-0.02563084894767298
2015-02-23,-0.0004047973447659503
2015-02-24,0.004048662106820977
2015-02-25,-0.0030241209067670693
2015-02-26,-0.0004045517452704317
2015-02-27,0.00404620469989303
2015-03-02,0.016522364724617322
2015-03-03,-0.014866155166179729
2015-03-04,-0.007646033047526202
2015-03-05,0.028183581015338133
2015-03-06,-0.021100794051512772
2015-03-09,-0.0048347791280831665
2015-03-10,0.002024489488962944
2015-03-11,0.0004039322679796342
2015-03-12,-0.00754496225780299
2015-03-13,-0.013766056036942476
2015-03-16,0.015416764853078968
2015-03-17,-0.005334632951512153
2015-03-18,0.004950440701775971
2015-03-19,-0.011904578825304712
2015-03-20,0.028043459290109762
2015-03-23,-0.0018189200891532975
2015-03-24,-0.006679853225442067
2015-03-25,-0.021398471986006418
2015-03-26,-0.011453356448514751
2015-03-27,0.004002619864972745
2015-03-30,0.00986121977070753
2015-03-31,-0.0126736292467442
2015-04-01,-0.009469998676657654
2015-04-02,-0.012321884364377977
2015-04-06,0.0047323147284390465
2015-04-07,-0.017769374801292148
2015-04-08,0.009808284130295775
2015-04-09,0.005612019389003908
2015-04-10,0.001502146470149901
2015-04-13,0.0030007835016154782
2015-04-14,0.00128176081629916
2015-04-15,0.016432158105462058
2015-04-16,-0.00042006144917516863
2015-04-17,-0.019743696077645034
2015-04-20,0.019283956708169958
2015-04-21,0.0
2015-04-22,-0.013033013063210475
2015-04-23,0.0040466206623304135
2015-04-24,-0.020152544134147243
2015-04-27,0.005196095902693543
2015-04-28,0.022829976449749267
2015-04-29,-0.041061497039639905
2015-04-30,-0.007685381911842759
2015-05-01,0.014826495753469393
2015-05-04,-0.0034892903866377
2015-05-05,-0.008971653590849282
2015-05-06,0.00022076838350315597
2015-05-07,0.00242825841241312
2015-05-08,0.011671738886774197
2015-05-11,0.016978648436551946
2015-05-12,-0.016695186730472544
2015-05-13,0.003917941987733764
2015-05-14,0.0010843126468409459
2015-05-15,0.0006496814602288126
2015-05-18,-0.0017316945967617015
2015-05-19,-0.001300659797187187
2015-05-20,-0.00021707765018996739
2015-05-21,-0.0023888214511655903
2015-05-22,0.00021753221956988256
