Date,NRG
2015-01-05,-0.03818185251008965
2015-01-06,-0.012854021048379183
2015-01-07,0.004595820459141642
2015-01-08,0.0221117891772018
2015-01-09,0.012308840930224108
2015-01-12,-0.01658040138966088
2015-01-13,0.007118631772592865
2015-01-14,0.003347992459164173
2015-01-15,-0.014831184323095492
2015-01-16,-0.010161712418662372
2015-01-20,-0.061597119879702844
2015-01-21,0.03200993538910213
2015-01-22,-0.014919794104097939
2015-01-23,-0.00199262980330539
2015-01-26,0.019968117829927357
2015-01-27,-0.007831031209272754
2015-01-28,-0.028808187244360406
2015-01-29,-0.001430603458134616
2015-01-30,0.009414971880568501
2015-02-02,0.02270845137524269
2015-02-03,0.03251409174777642
2015-02-04,0.0
2015-02-05,0.011520456038814908
2015-02-06,-0.040243018457139734
2015-02-09,0.02966805620592816
2015-02-10,0.01997696839770624
2015-02-11,-0.02862554123369032
2015-02-12,-0.012795554316902713
2015-02-13,-0.0035351174643101224
2015-02-17,-0.015372269355114376
2015-02-18,0.03763008491141995
2015-02-19,-0.022376546081894433
2015-02-20,0.0019731488047363133
2015-02-23,-0.001969263155494838
2015-02-24,0.021310007091152272
2015-02-25,-0.01931969013043322
2015-02-26,-0.024034474254785
2015-02-27,-0.03189412300947769
2015-03-02,-0.024603243653180895
2015-03-03,0.032064614091667165
2015-03-04,0.010356572057977687
2015-03-05,0.027880244987776193
2015-03-06,-0.02313522237790877
2015-03-09,-0.03144153849093301
2015-03-10,-0.013912095429997051
2015-03-11,-0.011543401314246138
2015-03-12,0.006920461791147359
2015-03-13,0.008160925506495165
2015-03-16,0.013208864528055253
2015-03-17,0.023128791482533773
2015-03-18,0.04151228529568307
2015-03-19,-0.02841343797145457
2015-03-20,0.0337126380242363
2015-03-23,0.011001681252049478
2015-03-24,-0.01710061338168345
2015-03-25,-0.020956916817329696
2015-03-26,-0.0040385439460269845
2015-03-27,-0.018653727072727944
2015-03-30,0.029751315729804606
2015-03-31,0.01083497420419377
2015-04-01,-0.06312025690123324
2015-04-02,0.016525494706549626
2015-04-06,0.021258785271157654
2015-04-07,0.015918238843873667
2015-04-08,0.0012050999488733005
2015-04-09,-0.012439420699672965
2015-04-10,-0.001625244318333885
2015-04-13,0.0008137977693891685
2015-04-14,-0.009759888479716095
2015-04-15,0.03285423649705366
2015-04-16,-0.0019880551737577745
2015-04-17,-0.0055779314289294835
2015-04-20,0.03806117196319958
2015-04-21,-0.016981998859656233
2015-04-22,-0.01570462278791529
2015-04-23,-0.014359577560671855
2015-04-24,0.03318476116738811
2015-04-27,-0.00861733579748969
2015-04-28,0.011852924250208119
2015-04-29,0.007657567677808785
2015-04-30,-0.016367611304701102
2015-05-01,0.0
2015-05-04,0.011093121848269494
2015-05-05,-0.016065520619682916
2015-05-06,-0.020708840414392693
2015-05-07,0.01545329670329676
2015-05-08,0.05726863995984477
2015-05-11,-0.015151544056494215
2015-05-12,0.01653859042867456
2015-05-13,-0.013999264089710306
2015-05-14,-0.010360858480071178
2015-05-15,0.012019986783845305
2015-05-18,-0.0019155062000338896
2015-05-19,-0.0095970168065177
2015-05-20,-0.0027130397599852696
2015-05-21,0.014379844170041123
2015-05-22,-0.004980536652318901
2015-05-26,-0.026183903844656742
2015-05-27,0.002372208245649876
2015-05-28,0.0027614838238108064
2015-05-29,-0.008654967516039558
2015-06-01,-0.002380967109667953
2015-06-02,-0.016706070521309013
2015-06-03,-0.0004046624565989809
2015-06-04,-0.012950267320250952
2015-06-05,-0.0004099410054675401
2015-06-08,-0.014355786832575435
2015-06-09,-0.0070744971981062665
2015-06-10,0.03185218511477994
2015-06-11,-0.0036553915978888574
2015-06-12,-0.014268293147928324
2015-06-15,-0.009925616396032844
2015-06-16,0.011278262149244211
2015-06-17,0.008260965353714234
2015-06-18,0.022941520693064765
2015-06-19,-0.002002286488806626
2015-06-22,0.006821548011452405
2015-06-23,-0.0039856118037426835
2015-06-24,-0.004001656440275281
2015-06-25,-0.02129349895425403
2015-06-26,-0.006568313920432556
2015-06-29,-0.03140478307736572
2015-06-30,-0.0238910940261573
2015-07-01,-0.018793436867114877
2015-07-02,0.006681233012354459
2015-07-06,0.0070794063579462385
2015-07-07,0.014939145537018028
2015-07-08,-0.04329022127052107
2015-07-09,-0.009502101431495436
2015-07-10,-0.005938745843809157
2015-07-13,0.021598910102045066
2015-07-14,-0.006747679092918624
2015-07-15,-0.00860472653870581
2015-07-16,0.01644552174410352
2015-07-17,-0.000449369072456518
2015-07-20,-0.03012600823246736
2015-07-21,-0.02364387214645991
2015-07-22,0.04368482217539271
2015-07-23,-0.015013519554499033
2015-07-24,-0.011547558754157916
2015-07-27,0.007009275881866728
2015-07-28,0.028306473807970356
2015-07-29,-0.007220295138695376
2015-07-30,0.023106955339089463
2015-07-31,0.0040249640470286785
2015-08-03,-0.00801818793091591
2015-08-04,-0.10013429407138696
2015-08-05,-0.000498965570781218
2015-08-06,-0.029955258614486002
2015-08-07,0.008749332494621731
2015-08-10,0.012755267318599328
2015-08-11,-0.03123395801529416
2015-08-12,0.06760214819630606
2015-08-13,-0.009741596561614663
2015-08-14,0.022626766000353404
2015-08-17,0.021644699680880564
2015-08-18,-0.011770173157225727
2015-08-19,-0.001429374885430379
2015-08-20,-0.03148841859644591
2015-08-21,-0.035467390471321525
2015-08-24,-0.018386764707671754
2015-08-25,-0.016649226750498958
2015-08-26,0.008994494263989017
2015-08-27,0.03932867756311298
2015-08-28,0.020181852320298788
2015-08-31,-0.014836834236837904
2015-09-01,-0.03413645384107766
2015-09-02,-0.029105765485520463
