Date,XYZ
2015-11-20,-0.016832388560928058
2015-11-23,-0.05680937542720521
2015-11-24,-0.008250777948814902
2015-11-25,-0.009983430504438173
2015-11-27,0.012605090505298344
2015-11-30,-0.0008298944998793578
2015-12-01,-0.010797351731960503
2015-12-02,0.0016792995818566414
2015-12-03,-0.000838242131267819
2015-12-04,0.010067104428777007
2015-12-07,0.02657804782708406
2015-12-08,-0.019417457749564604
2015-12-09,-0.010726082150859795
2015-12-10,0.005004205234534709
2015-12-11,-0.008298786712602424
2015-12-14,0.03179917326411119
2015-12-15,0.011354448028307429
2015-12-16,-0.01603847674277481
2015-12-17,0.0040749172938221445
2015-12-18,0.001623413819731967
2015-12-21,-0.008103758527811311
2015-12-22,0.017973878361331908
2015-12-23,0.00321026980181105
2015-12-24,0.008000030517578027
2015-12-28,0.01825393137087339
2015-12-29,-0.007014820976077862
2015-12-30,0.003139714487570666
2015-12-31,0.02425668435789774
2016-01-04,-0.07104662294384467
2016-01-05,-0.05345391666831367
2016-01-06,0.0008688295988685812
2016-01-07,-0.03125005174014095
2016-01-08,0.013440911671640743
2016-01-11,0.046861159443631006
2016-01-12,0.02111486459274725
2016-01-13,-0.03970227376778812
2016-01-14,-0.06804478770149447
2016-01-15,-0.05083172389770407
2016-01-19,-0.07789680185750114
2016-01-20,0.002111879992124921
2016-01-21,0.055848335029312635
2016-01-22,-0.01696607470334255
2016-01-25,-0.004060909675524194
2016-01-26,-0.027522981265501456
2016-01-27,-0.051362659651728926
2016-01-28,-0.0342541892909648
2016-01-29,0.0034325729326272203
2016-02-01,-0.0011402768939405838
2016-02-02,-0.03310501761140294
2016-02-03,-0.0047225455244358505
2016-02-04,0.05575317868801566
2016-02-05,-0.030337024231686716
2016-02-08,-0.03012748846280633
2016-02-09,0.029868578664060674
2016-02-10,0.03016243994589951
2016-02-11,-0.02927930467692408
2016-02-12,0.0788863473554069
2016-02-16,0.06774194640001796
2016-02-17,-0.009063459196570256
2016-02-18,0.014227580028199238
2016-02-19,-0.0010019314294756887
2016-02-22,0.041123353704211496
2016-02-23,-0.06454721280415254
2016-02-24,0.01853762146947746
2016-02-25,0.037411513924657136
2016-02-26,0.005847901033519065
2016-02-29,0.011627896231359847
2016-03-01,0.026819990220270373
2016-03-02,0.11660447470739244
2016-03-03,0.02339179003549785
2016-03-04,-0.019591818050462395
2016-03-07,0.020815986281065735
2016-03-08,-0.0636215882613117
2016-03-09,0.047909426190423154
2016-03-10,-0.0606815925552836
2016-03-11,-0.017699097866309854
2016-03-14,0.04594587907032044
2016-03-15,0.029285113061338075
2016-03-16,-0.006694554391877827
2016-03-17,0.006739673502725196
2016-03-18,0.007531393642208339
2016-03-21,0.11295678247393726
2016-03-22,-0.02537307526810706
2016-03-23,-0.03598776814148086
2016-03-24,0.023034150781437335
2016-03-28,0.04037263194635665
2016-03-29,0.02537314643783417
2016-03-30,0.09315871237029438
2016-03-31,0.017310204213284663
2016-04-01,-0.06937169400959575
2016-04-04,0.004219371646672965
2016-04-05,-0.0014005255226425817
2016-04-06,0.04978962319432201
2016-04-07,-0.010688032368610378
2016-04-08,0.021607001063981057
2016-04-11,0.015201555882131457
2016-04-12,0.007812492724042164
2016-04-13,-0.030361713646833488
2016-04-14,-0.01265826323520125
2016-04-15,-0.033063413036998446
2016-04-18,0.012561082074955765
2016-04-19,-0.028945559591235903
2016-04-20,-0.03264726991947442
2016-04-21,-0.02861337784653062
2016-04-22,0.007552899033115512
2016-04-25,0.018740629470795023
2016-04-26,0.04341428594285479
2016-04-27,0.03596609761858516
2016-04-28,0.04492857862077648
2016-04-29,-0.029967428450508482
2016-05-02,-0.059771680510528946
2016-05-03,-0.03928572790963314
2016-05-04,-0.0044609268991254725
2016-05-05,-0.02539209438911183
2016-05-06,-0.21685822853207892
2016-05-09,-0.03620351036122327
2016-05-10,0.015228387078284777
2016-05-11,-0.0319999694824219
2016-05-12,-0.04132237185888454
2016-05-13,0.008620681681899223
2016-05-16,-0.021367501773620345
2016-05-17,0.0021834561241091954
2016-05-18,0.02396506601753101
2016-05-19,0.021276677771900232
2016-05-20,-0.021875003104408486
2016-05-23,0.007454706311485371
2016-05-24,0.07188163873506492
2016-05-25,-0.013806739505185961
2016-05-26,-0.025000000000000022
2016-05-27,-0.012307680570162294
2016-05-31,-0.010384255480928695
2016-06-01,0.007345293857286439
2016-06-02,0.005208253653516293
2016-06-03,-0.0196890764657085
2016-06-06,0.005285432403090873
2016-06-07,0.006309091955662094
2016-06-08,-0.002089812406177227
2016-06-09,-0.02198953235107881
2016-06-10,-0.02141325546014272
2016-06-13,-0.024070050193108594
2016-06-14,-0.003363198734820605
2016-06-15,0.01912261751729094
2016-06-16,-0.001103777971155906
2016-06-17,-0.0011049976432125908
2016-06-20,0.017699098239742916
2016-06-21,0.016304410360261867
2016-06-22,-0.06096263371584343
2016-06-23,0.03986337040027266
2016-06-24,-0.039430410970952234
2016-06-27,-0.017103827180738773
2016-06-28,0.03248256806131389
2016-06-29,0.04494388644374414
2016-06-30,-0.026881719878786958
2016-07-01,0.024309421258801533
2016-07-05,-0.03559879839099611
2016-07-06,0.0067114566479797855
2016-07-07,0.008888880411783928
2016-07-08,0.02422910450191007
2016-07-11,-0.00645165789098312
2016-07-12,0.01731600123110688
2016-07-13,-0.011702091610770182
2016-07-14,0.008611401941286623
2016-07-15,-0.02134469708728315
2016-07-18,0.010905166917963838
2016-07-19,0.008629980556155603
2016-07-20,0.024598880518994726
2016-07-21,-0.012526084187343023
2016-07-22,0.028541173678710008
