Date,SPGI
2015-01-05,-0.017708198833027544
2015-01-06,-0.014467641430076505
2015-01-07,0.013281830351902002
2015-01-08,0.008968614667933306
2015-01-09,-0.008547016794324458
2015-01-12,-0.014252921174375488
2015-01-13,0.05981827265223583
2015-01-14,-0.021894555739070398
2015-01-15,-0.00686176089606827
2015-01-16,0.028089344008151107
2015-01-20,0.0020932740139527617
2015-01-21,-0.0028585554055489126
2015-01-22,0.010805112613859524
2015-01-23,0.001527034391891835
2015-01-26,0.004247303384701917
2015-01-27,-0.008892651730491363
2015-01-28,-0.025714072089161433
2015-01-29,0.014038392374702502
2015-01-30,-0.009414013859423975
2015-02-02,0.009615569404560542
2015-02-03,0.04075271118065826
2015-02-04,0.009151060292809765
2015-02-05,0.010965634352077425
2015-02-06,0.01741787000764683
2015-02-09,-0.006663267011116858
2015-02-10,0.009391027217821923
2015-02-11,0.003578502494918423
2015-02-12,0.041055422508610384
2015-02-13,0.0
2015-02-17,0.00988352992207564
2015-02-18,0.017538658982854338
2015-02-19,-0.0012380451916329527
2015-02-20,-0.0023836521426024992
2015-02-23,-0.0016299355907980484
2015-02-24,-0.0011520826043146526
2015-02-25,-0.0031728755416075005
2015-02-26,-0.0018326242779121982
2015-02-27,-0.003768626079818982
2015-03-02,0.0037828823488958996
2015-03-03,0.0012562630663632834
2015-03-04,-0.010326260938697707
2015-03-05,0.0024378578358252856
2015-03-06,-0.013326961825141481
2015-03-09,0.020112245179874977
2015-03-10,-0.018555960124304605
2015-03-11,0.009945786449729432
2015-03-12,0.023498401420023685
2015-03-13,-0.006477887167156027
2015-03-16,0.015150035040374377
2015-03-17,0.010578782305930456
2015-03-18,0.006916975934758485
2015-03-19,-0.0020424180167155637
2015-03-20,0.010045508306944173
2015-03-23,-0.01924666932552166
2015-03-24,-0.011080021319469058
2015-03-25,-0.014621680857768493
2015-03-26,0.003950688253406165
2015-03-27,-0.0035513084558924657
2015-03-30,0.014351632641911527
2015-03-31,-0.018137087136789742
2015-04-01,0.014603886059616045
2015-04-02,-0.004289575124004297
2015-04-06,0.00047851115641250885
2015-04-07,-0.006984682125204755
2015-04-08,0.006455461205339352
2015-04-09,0.00765958086411489
2015-04-10,-0.001330127319633112
2015-04-13,0.002759117015100898
2015-04-14,-0.014990643260617054
2015-04-15,-0.0019263314402266918
2015-04-16,-0.004921894664302262
2015-04-17,-0.0024247813124925743
2015-04-20,0.007097216995507916
