Date,ORLY
2015-01-05,-0.01764612759617623
2015-01-06,-0.0033912491385246213
2015-01-07,0.009091901310833261
2015-01-08,0.01817794947164386
2015-01-09,-0.0280997345736429
2015-01-12,-0.01187375517666367
2015-01-13,-0.01524946230558244
2015-01-14,-0.0015869088357546302
2015-01-15,-0.013701659866915183
2015-01-16,0.016392616442695518
2015-01-20,0.019189781967249964
2015-01-21,-0.007778185245627567
2015-01-22,0.02351732437043408
2015-01-23,0.004014378559797027
2015-01-26,0.0063131253266683895
2015-01-27,-0.001620692938031132
2015-01-28,0.0015709633948750579
2015-01-29,0.00721493242484228
2015-01-30,-0.0274590633502364
2015-02-02,0.015584908593406332
2015-02-03,0.015766224291690722
2015-02-04,-0.002949097755640784
2015-02-05,0.08058743687091297
2015-02-06,-0.0070111824313625615
2015-02-09,-0.008269613030647105
2015-02-10,0.00468133782086233
2015-02-11,0.006892186594018357
2015-02-12,-0.004242023372812986
2015-02-13,-0.004937782062395035
2015-02-17,0.0007297661783509657
2015-02-18,0.0003889572579576228
2015-02-19,-0.004227787639471958
2015-02-20,0.004538527956231997
2015-02-23,0.013019780935210168
2015-02-24,-0.004699722925861183
2015-02-25,0.005541112280879279
2015-02-26,0.0031146474456675843
2015-02-27,-0.005780129967848047
2015-03-02,0.018594175502519406
2015-03-03,-0.0016037248359871414
2015-03-04,-0.01809509758208694
2015-03-05,0.000914211298308043
2015-03-06,-0.018411663269070067
2015-03-09,0.011704776741014777
2015-03-10,-0.01703948393008259
2015-03-11,0.006008134458223902
2015-03-12,0.025797945365918062
2015-03-13,0.0032450184512424762
2015-03-16,0.022974805224391437
2015-03-17,-0.004742851483222843
2015-03-18,0.0013082055915865087
2015-03-19,0.003032828475988625
2015-03-20,-0.0008373320045687027
2015-03-23,0.0023278862362736685
2015-03-24,-0.0035765776456954113
2015-03-25,-0.025825093099609342
2015-03-26,0.010575161028371971
2015-03-27,0.02002932822858594
2015-03-30,0.01838269058484765
2015-03-31,-0.014313005285093827
2015-04-01,-0.0043470374176913795
2015-04-02,0.001300483084982762
2015-04-06,0.002875953193249625
2015-04-07,-0.00032375082500879504
