Date,TGT
2015-01-05,-0.017920473417874283
2015-01-06,-0.0001354201140569833
2015-01-07,0.03785274673650507
2015-01-08,0.004689419765865566
2015-01-09,-0.009075484927353772
2015-01-12,0.002616859622659229
2015-01-13,-0.008874033121052727
2015-01-14,-0.021329915779476738
2015-01-15,0.01802796467309009
2015-01-16,-0.009647094483031804
2015-01-20,-0.016947137542179358
2015-01-21,0.0038007187024897693
2015-01-22,0.024611131578104795
2015-01-23,-0.0063348989928665445
2015-01-26,-0.0005307485027047365
2015-01-27,-0.006511668785143643
2015-01-28,-0.006688355784148392
2015-01-29,0.0165631028424309
2015-01-30,-0.024903490338783252
2015-02-02,0.00869419506054836
2015-02-03,0.02181841627742931
2015-02-04,-0.003426754907231766
2015-02-05,0.00449636066405934
2015-02-06,0.0053987723894053374
2015-02-09,-0.012703230611413208
2015-02-10,0.016712887590639935
2015-02-11,-0.0030005831158090857
2015-02-12,0.00588833356319074
2015-02-13,-0.003012061938333921
2015-02-17,0.006831169946648785
2015-02-18,0.00926406984870387
2015-02-19,-0.00866207385927975
2015-02-20,0.0024778884771101684
2015-02-23,-0.0023415165318946274
2015-02-24,0.003389898454044138
2015-02-25,0.0025994396535535813
2015-02-26,-0.00324017775251062
2015-02-27,-0.0009103748821552848
2015-03-02,0.011063100722667807
2015-03-03,0.004119502715146384
2015-03-04,-0.0035893580002283043
2015-03-05,0.006175378942359311
2015-03-06,-0.012659837724327105
2015-03-09,0.017614515487343052
2015-03-10,-0.011454268909635634
2015-03-11,0.0014159163831546362
2015-03-12,0.019542427445236044
2015-03-13,-0.0015135856019079519
2015-03-16,0.01654447951119109
2015-03-17,0.006708943362905284
2015-03-18,0.0003705548749401988
2015-03-19,-0.005675227696213536
2015-03-20,0.008808851762851067
2015-03-23,-0.000983378353640041
2015-03-24,0.009478867304688832
2015-03-25,-0.0046336316652118015
2015-03-26,-0.014457719233441635
2015-03-27,0.013923456786191446
2015-03-30,0.007111077772665952
2015-03-31,-0.0008519252062442195
2015-04-01,0.00024386447653146348
2015-04-02,0.007065289748785286
2015-04-06,0.008104589309461563
2015-04-07,-0.008759324419812309
2015-04-08,0.006415885195847348
2015-04-09,0.001804211692610691
2015-04-10,0.0033618169400335685
2015-04-13,-0.007299456248664571
2015-04-14,0.0012053147245669749
2015-04-15,-0.013243364237333743
2015-04-16,-0.00048794583119837753
2015-04-17,-0.023193339080624042
2015-04-20,0.011372021741418825
2015-04-21,0.003953944032422774
2015-04-22,0.0011079607442994188
2015-04-23,0.007253460852533866
2015-04-24,0.009398068453120745
2015-04-27,-0.015961476694493104
2015-04-28,0.0015975516087620711
2015-04-29,-0.03238857260104189
2015-04-30,-0.0005072576894399328
2015-05-01,0.010402565187387136
2015-05-04,0.006653798915702058
2015-05-05,-0.015091093973787162
2015-05-06,0.0018996129466437583
2015-05-07,0.012512495657767131
2015-05-08,0.007864301259503437
2015-05-11,-0.001610024008205868
2015-05-12,0.0024807783852172083
2015-05-13,-0.012374591715893057
2015-05-14,-0.03195064209257492
2015-05-15,0.016437529251355665
2015-05-18,0.004486953462473409
2015-05-19,-0.005614882253825559
2015-05-20,0.0033362426029028835
2015-05-21,0.015477539406594465
2015-05-22,-0.0012598942345365405
2015-05-26,-0.0026485955234697434
2015-05-27,0.015427352652613635
2015-05-28,-0.0031129966898698624
2015-05-29,-0.009119663335793171
2015-06-01,0.0023955982902774675
2015-06-02,0.0061627639818491176
2015-06-03,0.004249935150584472
2015-06-04,-0.004730176385192575
2015-06-05,-0.009504423394091521
2015-06-08,-0.00391426508814996
2015-06-09,0.00012678153051814967
2015-06-10,0.009759263039166077
2015-06-11,0.00502058892509849
2015-06-12,-0.0074932627954442665
2015-06-15,0.012331667313027372
2015-06-16,0.006463599270890796
2015-06-17,0.013955901120151992
2015-06-18,0.013276516609858513
2015-06-19,0.0019232245904512446
2015-06-22,0.010557766807622437
2015-06-23,0.006292276059819191
2015-06-24,-0.004954915975527996
2015-06-25,0.0018973025690049994
2015-06-26,-0.004971063071168347
2015-06-29,-0.023667708068987325
2015-06-30,-0.005603991271960318
2015-07-01,0.016660981002482256
2015-07-02,-0.008675767160330694
2015-07-06,0.008022505507124134
2015-07-07,0.01832843710826304
2015-07-08,-0.011486099523814852
2015-07-09,-0.0052705724542135846
2015-07-10,0.010477042015496263
2015-07-13,0.0022643727525513135
2015-07-14,0.0
2015-07-15,0.004280296022033614
2015-07-16,0.006512223436157871
2015-07-17,-0.0037646384560976465
2015-07-20,-0.005431407794263432
2015-07-21,-0.02315070045276757
2015-07-22,0.006563204410087398
2015-07-23,-0.014127462008527103
2015-07-24,-0.01763642527254261
2015-07-27,-0.008976145726155238
2015-07-28,0.013082935860086575
2015-07-29,0.01626718411255723
2015-07-30,0.00110027770957144
2015-07-31,-0.0009764319993111892
2015-08-03,-0.017837534098452013
2015-08-04,-0.004229317030230106
2015-08-05,-0.00012494431552956264
2015-08-06,-0.00624723331404986
2015-08-07,-0.007040019638053896
2015-08-10,-0.00012695924865901986
2015-08-11,-0.001266208695943627
2015-08-12,0.0016484486299768175
2015-08-13,-0.00012686268766692876
2015-08-14,0.004557583861946712
2015-08-17,0.002411755057594389
2015-08-18,0.016713172490693262
2015-08-19,0.007098200160835733
2015-08-20,-0.0025968326665950503
2015-08-21,-0.028018897108107343
2015-08-24,-0.03979600204018585
2015-08-25,-0.01780048907739684
2015-08-26,0.03922126042885199
2015-08-27,0.013144675090128066
2015-08-28,0.0023114236289507595
2015-08-31,-0.0041003043053421395
2015-09-01,-0.029854980487835636
