Date,LYV
2015-01-05,-0.02293579453247141
2015-01-06,-0.028951478348197224
2015-01-07,0.011684162735417614
2015-01-08,0.028673807082970404
2015-01-09,-0.02090588500866064
2015-01-12,-0.011467018783273053
2015-01-13,0.010800018310546777
2015-01-14,-0.023347848907799507
2015-01-15,-0.00891414983722616
2015-01-16,0.023303418786090324
2015-01-20,-0.007191382350693165
2015-01-21,-0.0028168890844934014
2015-01-22,0.022195287401947317
2015-01-23,0.0055270189526299696
2015-01-26,0.009030288801946229
2015-01-27,-0.011284081981255745
2015-01-28,-0.03384496715922447
2015-01-29,0.005295359354593687
2015-01-30,-0.03687195446352032
2015-02-02,0.0033655835997228323
2015-02-03,0.011739990558424562
2015-02-04,0.010774978778473221
2015-02-05,0.0028700162597761203
2015-02-06,-0.003270642955863323
2015-02-09,0.0004101816745722964
2015-02-10,0.014760172995508691
2015-02-11,-0.00646464029947913
2015-02-12,0.0036600305827334534
2015-02-13,0.014586734436792703
2015-02-17,0.011581429615638905
2015-02-18,-0.0011843934755574326
2015-02-19,0.004743116318265184
2015-02-20,0.016522426240495047
2015-02-23,-0.0058049387633324345
2015-02-24,0.0015569874405290118
2015-02-25,0.014380133922118121
2015-02-26,-0.009578543921305527
2015-02-27,-0.010058035785106334
2015-03-02,0.046502560647201596
2015-03-03,-0.022031371824501433
2015-03-04,-0.0015273354223619418
2015-03-05,0.00229443467753887
2015-03-06,-0.01716897639486792
2015-03-09,-0.01086959177630653
2015-03-10,-0.008634196126644955
2015-03-11,0.004354735128853537
2015-03-12,0.002759152247088892
2015-03-13,-0.014150967090964306
2015-03-16,0.017942614206872598
2015-03-17,-0.005092090271005656
2015-03-18,0.012598413371265105
2015-03-19,-0.008164816877099135
2015-03-20,-0.0003920121047475966
2015-03-23,-0.0027450860715380054
2015-03-24,0.0019661516500402154
2015-03-25,-0.02040818159755875
2015-03-26,-0.001201874214632359
2015-03-27,0.0028078497379595557
2015-03-30,0.010000000000000009
2015-03-31,-0.0007920973371751128
2015-04-01,0.0031708254125066837
2015-04-02,0.015013871044389893
2015-04-06,0.00856361653487836
2015-04-07,-0.0065611762753802205
2015-04-08,-0.0003885092840232307
2015-04-09,0.0077730573842857975
2015-04-10,-0.005013539012156731
2015-04-13,0.005814012802893176
2015-04-14,0.003082848607091737
2015-04-15,0.005762566829559557
2015-04-16,0.0022918053950717887
2015-04-17,-0.020579230674120597
2015-04-20,0.008171170359476676
2015-04-21,0.0023156876223746625
2015-04-22,0.0007701370154979958
2015-04-23,-0.00038477218045029904
2015-04-24,0.0003849202870684909
2015-04-27,-0.0157752924595147
2015-04-28,-0.0027365009786159966
2015-04-29,0.004703995719643528
2015-04-30,-0.022239551833335702
2015-05-01,0.08060656427822122
2015-05-04,0.024741509534031536
2015-05-05,-0.030991012985641886
2015-05-06,-0.00966903067249325
2015-05-07,-0.0026286029677142775
2015-05-08,0.010918709388500147
2015-05-11,-0.008193713876255893
2015-05-12,-0.0015020281426685322
2015-05-13,0.0022564673034251026
2015-05-14,0.013133222757210294
2015-05-15,0.005925920274522545
2015-05-18,0.012150218172313432
2015-05-19,-0.008730439182117244
2015-05-20,-0.0022018152639406985
2015-05-21,0.0029422553194087264
2015-05-22,0.0033003355730516493
2015-05-26,0.035087685053246886
2015-05-27,0.018361598282739644
2015-05-28,-0.01525660650934968
2015-05-29,0.007042280479784058
2015-06-01,0.0017482250487290685
2015-06-02,-0.004188444449652051
2015-06-03,0.015422313919359443
2015-06-04,-0.00966512895869498
2015-06-05,0.011153701250174342
2015-06-08,-0.007928284743939584
2015-06-09,-0.006254353748480157
2015-06-10,0.011538458716940037
2015-06-11,0.00967849209620586
2015-06-12,-0.00958571681180631
2015-06-15,-0.004147972276790091
2015-06-16,-0.004512293064089734
2015-06-17,0.0010459825306019521
2015-06-18,0.008011196688242128
2015-06-19,-0.00725642667401305
2015-06-22,0.0093978580600651
2015-06-23,0.005517236117658975
2015-06-24,-0.008230444868793874
2015-06-25,0.0027662490835065334
2015-06-26,-0.014482761251515375
2015-06-29,-0.03498950324245931
2015-06-30,-0.0032632397692841097
2015-07-01,0.0036377003383896156
2015-07-02,-0.0007249169138476841
2015-07-06,-0.0174102120982772
2015-07-07,-0.006275381149368653
2015-07-08,-0.019316510263370668
2015-07-09,0.0053030795083346405
2015-07-10,0.013941180072390091
2015-07-13,0.018580453468418856
2015-07-14,0.00802624277924835
2015-07-15,-0.020991673591131632
2015-07-16,0.009981532916043534
2015-07-17,-0.020497784487474746
2015-07-20,0.0
2015-07-21,-0.019805705609579283
2015-07-22,0.0011437547529193903
2015-07-23,-0.0026656395359521134
2015-07-24,-0.011454797185630361
2015-07-27,-0.014291191216972421
2015-07-28,0.021159835364126467
2015-07-29,0.005755933292566073
2015-07-30,-0.003433737061539044
2015-07-31,0.0038284253793319234
2015-08-03,0.0011441909775424808
2015-08-04,-0.0007619222005208481
2015-08-05,-0.026305704870407176
2015-08-06,-0.011746324731992885
2015-08-07,-0.0015847467726398667
2015-08-10,0.022222200356674104
2015-08-11,-0.00854034593943176
2015-08-12,0.010180043547889372
2015-08-13,0.0170542847701165
2015-08-14,0.002286565032993071
2015-08-17,0.009885940548449046
2015-08-18,-0.012048181523292234
2015-08-19,-0.01905487821498919
2015-08-20,-0.013986037822560693
2015-08-21,-0.03940110453375578
2015-08-24,-0.016406875812119415
2015-08-25,-0.001668015385415722
2015-08-26,0.013366737163141629
2015-08-27,0.024319874155874333
2015-08-28,-0.0020121184564031447
2015-08-31,-0.007258000135667908
