Date,TER
2015-01-05,-0.0187815813680422
2015-01-06,-0.030522622670322686
2015-01-07,0.008003947080083673
2015-01-08,0.03123370069419318
2015-01-09,-0.003080126849049125
2015-01-12,-0.04788862764331758
2015-01-13,-0.0167665042297509
2015-01-14,0.0038510067849408802
2015-01-15,-0.005479194567269197
2015-01-16,0.023691119663220572
2015-01-20,0.004843768129113135
2015-01-21,0.014462025726317274
2015-01-22,0.011087588355944034
2015-01-23,-0.007310703563859655
2015-01-26,0.018411412794960613
2015-01-27,-0.024793533642182508
2015-01-28,-0.007415145008751511
2015-01-29,-0.006403398232999291
2015-01-30,-0.027926922666759446
2015-02-02,-0.00607743544904249
2015-02-03,0.033352116808841314
2015-02-04,0.004841271144804704
2015-02-05,0.012848258665534518
2015-02-06,0.0010566639852933601
2015-02-09,0.002112179198313191
2015-02-10,0.02739689200375417
2015-02-11,-0.009230798008630248
2015-02-12,0.0036233471216606805
2015-02-13,0.0020628429969233864
2015-02-17,-0.006690781181397432
2015-02-18,-0.00310895968821423
2015-02-19,0.013513712136203893
2015-02-20,0.01692279690478915
2015-02-23,-0.011093948814377197
2015-02-24,0.019887785643241784
2015-02-25,-0.015546536071883832
2015-02-26,0.0005092563826436525
2015-02-27,-0.016293422878554287
2015-03-02,0.03364370191545585
2015-03-03,-0.015522982720719614
2015-03-04,-0.010681600351830745
2015-03-05,-0.007711956968166622
2015-03-06,-0.00777210519251148
2015-03-09,-0.0010443622999398716
2015-03-10,-0.011500102259917488
2015-03-11,0.006874671486751804
2015-03-12,0.007352662660305098
2015-03-13,0.014598736858969064
2015-03-16,0.020041012426563753
2015-03-17,-0.009571824553534225
2015-03-18,0.003052019425928476
2015-03-19,-0.002535593520964885
2015-03-20,0.021860975368582114
2015-03-23,-0.0044782695977658715
2015-03-24,-0.004997183513327452
2015-03-25,-0.05524868001330707
2015-03-26,-0.02020188196376449
2015-03-27,0.017362926365947384
2015-03-30,0.01919999337502931
2015-03-31,-0.013605235628402101
2015-04-01,-0.006366008128677603
2015-04-02,0.0069407387659949915
2015-04-06,0.0015902518859325365
2015-04-07,-0.003705525527903042
2015-04-08,0.007970223828254186
2015-04-09,0.011597530662094346
2015-04-10,0.009379560691613165
2015-04-13,-0.01084131150916201
2015-04-14,-0.01513561572684552
2015-04-15,-0.0010598587980947816
2015-04-16,-0.006896662351849492
2015-04-17,-0.02564141461985725
2015-04-20,0.01644789052048945
2015-04-21,-0.0043152248679668714
2015-04-22,0.015168134864265381
2015-04-23,-0.0005335510273855038
2015-04-24,-0.018152818858389708
2015-04-27,-0.014681941084704997
2015-04-28,0.02483425769127856
2015-04-29,-0.002153852416496571
2015-04-30,-0.01511039262742242
2015-05-01,0.11232832822343952
2015-05-04,-0.0009849977803079168
2015-05-05,-0.02268252464469056
2015-05-06,0.004540814501578838
2015-05-07,0.0070317882471877535
2015-05-08,0.02294272292815136
2015-05-11,0.008288397090783217
2015-05-12,-0.011121847837480492
2015-05-13,-0.001466908930261468
2015-05-14,0.014691239444511117
2015-05-15,-0.004343283470240933
2015-05-18,0.0043622298711336605
2015-05-19,-0.0004823679335365094
2015-05-20,-0.0009655960533283547
2015-05-21,0.005316602540783144
2015-05-22,-0.004327067910302129
2015-05-26,-0.007242660957009428
2015-05-27,0.028696175727967566
2015-05-28,0.0018914991790075497
2015-05-29,0.0009464226986410917
2015-06-01,0.0028369687895866136
2015-06-02,-0.01272986003685539
2015-06-03,0.005730449947341176
2015-06-04,-0.014719572036285933
2015-06-05,0.01975893564404063
2015-06-08,-0.015595472238151165
2015-06-09,0.0009597600101169945
2015-06-10,0.013429619227370404
2015-06-11,0.003786173241264734
2015-06-12,-0.008958544148927716
2015-06-15,-0.00903855592454439
2015-06-16,0.000479928907535232
2015-06-17,0.0033587706262125927
2015-06-18,0.007651921880772683
2015-06-19,-0.014712973494215409
2015-06-22,-0.006743428993800649
2015-06-23,-0.006304296105895779
2015-06-24,-0.01756979636380418
2015-06-25,-0.002980719746863536
2015-06-26,-0.017937278451157557
2015-06-29,-0.02384575979598702
2015-06-30,0.002599011263899831
2015-07-01,0.003109883792833168
2015-07-02,0.004134674293983176
2015-07-06,-0.002573281698537877
2015-07-07,-0.0010318841262245693
2015-07-08,-0.016528673412691708
2015-07-09,0.004726503106739832
2015-07-10,0.01097744266416667
2015-07-13,0.009824755155370957
2015-07-14,0.0
2015-07-15,-0.01382531455214131
2015-07-16,0.0015577872756693534
2015-07-17,-0.004147321424328054
2015-07-20,-0.01457570547483511
2015-07-21,0.003169671713187494
2015-07-22,-0.020537339026694412
2015-07-23,0.011827928487621708
2015-07-24,-0.024442024681366914
2015-07-27,-0.0038125713768309977
2015-07-28,0.014762295201571796
2015-07-29,0.0026939035366950748
2015-07-30,0.031165850113774374
2015-07-31,0.003647777562855614
2015-08-03,-0.02284532537941908
2015-08-04,-0.0063762886023205345
2015-08-05,0.013369007843627712
2015-08-06,-0.0026387850988252026
2015-08-07,0.001587783402629439
2015-08-10,0.019017492171065742
2015-08-11,-0.0191811371596472
2015-08-12,-0.0026426460314438183
2015-08-13,-0.01589853646402506
2015-08-14,0.004308233893985269
2015-08-17,0.005361699227057981
2015-08-18,-0.01599985744487098
2015-08-19,-0.010840083862961092
2015-08-20,-0.027396974313445788
2015-08-21,-0.02760573467652061
2015-08-24,-0.02723040542996935
2015-08-25,-0.0005960763795588297
2015-08-26,0.0435041372644458
2015-08-27,0.027413313302621756
2015-08-28,0.001667418990774383
2015-08-31,0.001110101391295526
2015-09-01,-0.026607356760738665
