Date,TTD
2016-09-22,-0.03986707174062598
2016-09-23,-0.04290659791632068
2016-09-26,0.003976832196334268
2016-09-27,0.079582268663144
2016-09-28,0.11374252526318496
2016-09-29,-0.13177599849651345
2016-09-30,0.007588849576459555
2016-10-03,-0.09688462581342694
2016-10-04,-0.09666418246197273
2016-10-05,0.03986572921371101
2016-10-06,0.05246171038876768
2016-10-07,0.006901797235423279
2016-10-10,-0.03731904565016819
2016-10-11,0.009493642533042523
2016-10-12,0.054075238624108124
2016-10-13,-0.03457255449459784
2016-10-14,0.01501734157855883
2016-10-17,-0.003414197573575306
2016-10-18,-0.014845844288078225
2016-10-19,-0.016228769070146365
2016-10-20,0.04045558737591426
2016-10-21,0.03737258578681413
2016-10-24,0.03784574057125201
2016-10-25,0.009817712611147389
2016-10-26,-0.021527789505543016
2016-10-27,-0.09439319554409398
2016-10-28,0.003526670368756646
2016-10-31,-0.016790401962908152
2016-11-01,0.0023828602977846725
2016-11-02,-0.03209185954500404
2016-11-03,-0.06262796211652844
2016-11-04,0.04235813261403809
2016-11-07,-0.04063683228317294
2016-11-08,-0.004366808135300104
2016-11-09,0.006578993461579419
2016-11-10,0.020914970483884687
2016-11-11,0.08621431785522171
2016-11-14,0.012573605293510592
2016-11-15,-0.02017842814149795
2016-11-16,0.004356402997445441
2016-11-17,0.02247630973920156
2016-11-18,0.122252278676662
2016-11-21,0.007903780491052226
2016-11-22,-0.020456931266031098
2016-11-23,0.05081801309269074
2016-11-25,-0.03676716100416633
2016-11-28,-0.08184316255195112
2016-11-29,0.015730268050339724
2016-11-30,-0.019911468637406116
2016-12-01,-0.018811118306923058
2016-12-02,0.0046011676842270255
2016-12-05,0.01603055616322968
2016-12-06,0.05559729721814244
2016-12-07,-0.0185053547456413
2016-12-08,-0.006163872581775975
2016-12-09,0.0021889974824702563
2016-12-12,0.06880237755487384
2016-12-13,-0.002384266907965338
2016-12-14,-0.044042319177124534
2016-12-15,0.05428569749909973
2016-12-16,-0.009823782657874536
2016-12-19,-0.00034217102499023433
2016-12-20,0.0643394826071928
2016-12-21,-0.02379417499694314
2016-12-22,-0.0013175060882728573
2016-12-23,-0.005606846827861278
2016-12-27,-0.006965222598727672
2016-12-28,-0.04843018802896637
2016-12-29,-0.0038609751043803264
2016-12-30,-0.02501765246754406
2017-01-03,-0.026743723460638358
2017-01-04,0.006312647401419014
2017-01-05,0.012915072663999494
2017-01-06,0.009107503245793236
2017-01-09,0.026714845008126042
2017-01-10,0.014767867581453986
2017-01-11,0.03083852708863888
2017-01-12,-0.012773065415488616
2017-01-13,-0.0006809987863138911
2017-01-17,-0.012265762880168007
2017-01-18,0.0006899253221015478
2017-01-19,-0.0003446837341822828
2017-01-20,0.008965524839022354
2017-01-23,0.018113455623752994
2017-01-24,-0.00469962301213811
2017-01-25,0.02563237011956554
2017-01-26,0.012167109712848623
2017-01-27,0.0016243911341133899
2017-01-30,-0.035030827762564165
2017-01-31,-0.00302515119745439
2017-02-01,-0.0023600705641806385
2017-02-02,-0.019263318041992883
2017-02-03,-0.003445896152357908
2017-02-06,-0.004149324229238971
2017-02-07,-0.008680588324311511
2017-02-08,-0.0073554845208304576
2017-02-09,0.024700046051632008
2017-02-10,0.00034432765345959737
2017-02-13,0.03476766663222386
2017-02-14,0.009647386381968825
2017-02-15,0.043492575205741124
2017-02-16,0.053362774677282454
2017-02-17,-0.028477227094699464
2017-02-21,0.07991362788413103
2017-02-22,-0.019999980926513672
2017-02-23,0.060932906163245315
2017-02-24,0.025556519683586743
2017-02-27,-0.013129695422829823
2017-02-28,0.14607659353653268
2017-03-01,0.01990040983592678
2017-03-02,-0.014169540704449646
2017-03-03,0.050895401094321
2017-03-06,-0.050672607672716086
2017-03-07,0.04109583795736205
2017-03-08,-0.017468271614580533
2017-03-09,0.024705692594710893
2017-03-10,0.03177102018542488
2017-03-13,-0.05328673471098555
2017-03-14,-0.049134906305624115
2017-03-15,0.008005820143095033
2017-03-16,-0.032972341036213604
2017-03-17,-0.01667499964694119
2017-03-20,-0.03568717623634754
2017-03-21,-0.01443565069937991
2017-03-22,0.029027953196561374
2017-03-23,-0.04192551134891542
2017-03-24,-0.02701240066455801
2017-03-27,0.03331479334331622
2017-03-28,-0.01961309954475632
2017-03-29,0.04083315174797275
2017-03-30,-0.03291205813546261
2017-03-31,0.014157311729005917
2017-04-03,-0.006174497314414662
2017-04-04,-0.01863857577933803
2017-04-05,0.01981833986900816
2017-04-06,0.017813761430578445
2017-04-07,-0.019093086303607842
2017-04-10,-0.002433042663327001
2017-04-11,0.017615191385504048
2017-04-12,-0.009054635758645957
2017-04-13,-0.009674822299345687
2017-04-17,-0.011126157397672531
2017-04-18,-0.0343029632733326
2017-04-19,0.019039474636301623
2017-04-20,0.01031788656620991
2017-04-21,-0.006900319512491593
2017-04-24,0.01361868374657238
2017-04-25,-0.007403396840362286
2017-04-26,0.0035911634958751826
2017-04-27,0.03743467114182231
2017-04-28,-0.00902100234230907
2017-05-01,0.006425747930593806
2017-05-02,0.018355946945112223
2017-05-03,-0.005747145765927719
2017-05-04,0.04703097768969644
2017-05-05,0.005520721446861554
2017-05-08,0.007986040702163244
2017-05-09,0.011636526599638763
2017-05-10,-0.019823752302349784
2017-05-11,-0.0039950142241532705
2017-05-12,0.3010779519958038
2017-05-15,0.03217722833397607
2017-05-16,-0.025574031574151057
2017-05-17,-0.08524898710922757
2017-05-18,0.07602092331450061
2017-05-19,-0.025496310173197312
2017-05-22,0.04873176743069818
2017-05-23,0.01847269537406193
