Date,FANG
2015-01-05,-0.044218116376861016
2015-01-06,0.0015708903104483252
2015-01-07,0.01533934328902875
2015-01-08,0.04875515432365263
2015-01-09,0.012277111327127166
2015-01-12,-0.038324709167940285
2015-01-13,0.029762626309720375
2015-01-14,0.06629677850023641
2015-01-15,-0.02833073566514377
2015-01-16,0.034357666468029846
2015-01-20,-0.0429680895999639
2015-01-21,0.09122775740491784
2015-01-22,-0.008170659888289022
2015-01-23,-0.014415999465337337
2015-01-26,0.022537152505343272
2015-01-27,0.006714583040006605
2015-01-28,-0.04190231960780577
2015-01-29,0.038740644716763306
2015-01-30,0.005099056789299228
2015-02-02,0.010871480428014335
2015-02-03,-0.0008604319527432125
2015-02-04,-0.03659607994583325
2015-02-05,0.02875035062331066
2015-02-06,0.02563028317575511
2015-02-09,-0.009883203622151893
2015-02-10,-0.010409125016178633
2015-02-11,-0.008933918400166885
2015-02-12,0.060919216610169524
2015-02-13,0.006714751454602874
2015-02-17,0.0014975105501158215
2015-02-18,0.003126482502217476
2015-02-19,0.027913017394108675
2015-02-20,-0.010150036065776247
2015-02-23,-0.0097217523861447
2015-02-24,-0.0037656786892547034
2015-02-25,0.01187909690260569
2015-02-26,-0.023879343523924623
2015-02-27,-0.02678672691883599
2015-03-02,-0.0032300978503926325
2015-03-03,0.010002947525884043
2015-03-04,0.001673648570847508
2015-03-05,-0.008773023751285969
2015-03-06,-0.018544640321902173
2015-03-09,-0.0035784882949738694
2015-03-10,-0.021836014417070615
2015-03-11,0.02878563806443868
2015-03-12,-0.0015704776860369085
2015-03-13,-0.0037173901582809865
2015-03-16,0.0045923638338363215
2015-03-17,0.0067143219387491015
2015-03-18,0.030935203876840456
2015-03-19,-0.01596689435003107
2015-03-20,0.011889910868705167
2015-03-23,-0.010506009183075093
2015-03-24,0.03059472524046325
2015-03-25,0.015589044524735085
2015-03-26,0.025761022701589642
2015-03-27,-0.0218609942462773
2015-03-30,0.03272589543686788
2015-03-31,-0.010176396512335484
2015-04-01,0.007287904777387277
2015-04-02,0.019121328772498947
2015-04-06,0.007479852720415403
2015-04-07,0.006165968895384788
2015-04-08,-0.02376209157945053
2015-04-09,0.03407644907694629
2015-04-10,0.0003717558143416788
2015-04-13,-0.01102190640644396
2015-04-14,0.006636667243898886
2015-04-15,0.025127698835994527
2015-04-16,0.011042133194315129
2015-04-17,-0.009001486742213016
2015-04-20,0.018166734631190673
2015-04-21,-0.014987750329602978
2015-04-22,-0.010022860825750546
2015-04-23,-0.0002441071617386159
2015-04-24,-0.025988151324043862
2015-04-27,-0.0012528591646394638
2015-04-28,0.006271299805908237
2015-04-29,0.03402736060986955
2015-04-30,-0.004701337260144101
2015-05-01,-0.008356278478677037
2015-05-04,0.012945874749253017
2015-05-05,-0.038340852516027035
2015-05-06,-0.013666443920997917
2015-05-07,-0.04232856544850949
2015-05-08,0.02216633171315574
2015-05-11,0.01714040886493895
2015-05-12,0.016085679003682296
2015-05-13,-0.0021359350164323887
2015-05-14,-0.027952823833297225
2015-05-15,0.02240950366804295
2015-05-18,0.003800942177608624
2015-05-19,-0.022213585962353122
2015-05-20,0.013682444078281009
2015-05-21,0.026614143573994387
2015-05-22,0.00942682033772968
2015-05-26,-0.026419215983640276
2015-05-27,-0.000630897202005265
2015-05-28,-0.020838894387570583
2015-05-29,0.0036117733295077947
2015-06-01,0.014779322601773393
2015-06-02,0.0008868062512232822
2015-06-03,-0.017335534710154032
2015-06-04,-0.015452026616716186
2015-06-05,0.023541681338904663
2015-06-08,0.007283711968176121
2015-06-09,0.014715207330958657
2015-06-10,0.018002020657310824
2015-06-11,-0.004789135506412023
2015-06-12,-0.004812301744578695
2015-06-15,-0.009423373135491464
2015-06-16,0.01076469227209631
2015-06-17,-0.016842249838030954
2015-06-18,-0.010328778472780131
2015-06-19,-0.024818302212455734
2015-06-22,0.028582544163482604
2015-06-23,0.013703852020321872
2015-06-24,-0.0241586497479237
2015-06-25,-0.020138358008209734
2015-06-26,-0.014923516025204697
2015-06-29,-0.0011959497118045892
2015-06-30,0.0029274077057899195
2015-07-01,-0.033961402115130324
2015-07-02,0.004256800393101834
2015-07-06,-0.039928657182449645
2015-07-07,0.01210639946801928
2015-07-08,-0.024908502640100583
2015-07-09,0.022658612923061483
2015-07-10,0.0004232100907564096
2015-07-13,0.0059244247635314995
2015-07-14,0.02846735927117927
2015-07-15,-0.036132970477468995
2015-07-16,-0.021219310222578947
2015-07-17,-0.0422027209523228
2015-07-20,-0.021729305752527517
2015-07-21,0.01758456531961472
2015-07-22,0.004092550949689633
2015-07-23,0.0007551334830431244
2015-07-24,-0.036053732448579345
2015-07-27,-0.009389930827382709
2015-07-28,0.026698251341613632
2015-07-29,0.04092956784213264
2015-07-30,0.0004434353201014929
2015-07-31,-0.005614621316543444
2015-08-03,-0.007132369017825657
2015-08-04,0.01750959619401926
2015-08-05,0.0055891657997799715
2015-08-06,0.030861720110525903
2015-08-07,-0.023269333326339625
2015-08-10,0.0196109217655418
2015-08-11,0.009688004305625775
2015-08-12,0.022717652552249223
2015-08-13,-0.011175504438947326
2015-08-14,0.03111489139661594
2015-08-17,-0.02286899029948808
2015-08-18,0.016202823919392983
2015-08-19,-0.020986610461784405
2015-08-20,-0.022410712496214957
2015-08-21,-0.05239941295435935
2015-08-24,-0.07212624982722626
2015-08-25,-0.01506071408708931
2015-08-26,0.02088108265775457
2015-08-27,0.058141637402783664
2015-08-28,0.01308967197153943
2015-08-31,0.025991860848797232
2015-09-01,-0.055205971294897904
2015-09-02,0.04541224666984367
