Date,ENPH
2015-01-05,-0.023223076905008022
2015-01-06,-0.067723380857874
2015-01-07,-0.11901082007665797
2015-01-08,0.028947362697245405
2015-01-09,-0.01705028278517795
2015-01-12,-0.05377275801543435
2015-01-13,0.01099907307400616
2015-01-14,-0.01994554113150737
2015-01-15,-0.04995374106305306
2015-01-16,0.049659128770727756
2015-01-20,-0.016697528382206506
2015-01-21,-0.01603774246943701
2015-01-22,0.05560881176755439
2015-01-23,0.07538600421903441
2015-01-26,0.022804011875822594
2015-01-27,0.0016515655103792604
2015-01-28,-0.0032976060573491894
2015-01-29,0.07361450607243625
2015-01-30,-0.045454485340599926
2015-02-02,0.0629539718609895
2015-02-03,0.037205753096400285
2015-02-04,-0.026354294341038975
2015-02-05,0.021052611199678495
2015-02-06,0.020618537153480165
2015-02-09,0.044011589138653884
2015-02-10,-0.0006911008083823056
2015-02-11,0.022821571427073417
2015-02-12,-0.000676147999163601
2015-02-13,0.025033822208649026
2015-02-17,-0.0811880906407344
2015-02-18,0.010775834605470047
2015-02-19,-0.03482585513476699
2015-02-20,-0.020618537153480165
2015-02-23,0.01578947632596761
2015-02-24,0.019245020316580375
2015-02-25,0.007262122329054099
2015-02-26,-0.018745510528268894
2015-02-27,0.012490821497599391
2015-03-02,0.0021771180861291928
2015-03-03,-0.03186100801507652
2015-03-04,0.017950618786271466
2015-03-05,0.0529022986915042
2015-03-06,0.05373345860873768
2015-03-09,-0.06092715583126351
2015-03-10,-0.07616360369977204
2015-03-11,-0.04503817827535794
2015-03-12,0.06075141606530288
2015-03-13,-0.0015071934494147454
2015-03-16,-0.012075460182045972
2015-03-17,0.012223059247289392
2015-03-18,-0.04377357914762681
2015-03-19,0.015785304503615816
2015-03-20,-0.030303057248691756
2015-03-23,0.009615452214343234
2015-03-24,-0.02777780721216938
2015-03-25,-0.031020417505381093
2015-03-26,0.030328530762263828
2015-03-27,0.07031894051848075
2015-03-30,0.009931253852217603
2015-03-31,-0.0022693408501912593
2015-04-01,-0.009097792977761032
2015-04-02,0.02218821489092071
2015-04-06,-0.030688612121871905
2015-04-07,0.024710475151481504
2015-04-08,-0.02712890715395133
2015-04-09,0.0240124262804573
2015-04-10,0.0007563748113121882
2015-04-13,0.009070358532538014
2015-04-14,-0.024719094702357225
2015-04-15,0.04838703061572791
2015-04-16,0.024908436783128485
2015-04-17,-0.024303084928550822
2015-04-20,-0.024908366916876368
2015-04-21,0.0030052562428228846
2015-04-22,0.0022471709448661503
2015-04-23,0.038863938687722754
2015-04-24,-0.030935205992971948
2015-04-27,-0.03489237251013655
2015-04-28,0.0161538490882287
2015-04-29,-0.027252055687938093
2015-04-30,-0.021789936057066694
2015-05-01,0.014319833694975914
2015-05-04,-0.044705858417585786
2015-05-05,-0.005747179535684377
2015-05-06,-0.12303879548804142
2015-05-07,0.02824860583499622
2015-05-08,-0.06043954604404189
2015-05-11,0.0311890533806638
2015-05-12,-0.035916835272320924
2015-05-13,-0.03725491387713031
2015-05-14,0.027494955820210443
2015-05-15,0.044598592909804946
2015-05-18,0.016129039554954483
2015-05-19,-0.031746045880193696
2015-05-20,-0.027000938868004254
2015-05-21,-0.007928634538775126
2015-05-22,-0.0059940477767003175
2015-05-26,-0.016080386982834205
2015-05-27,0.011235920031242408
2015-05-28,-0.008080800685720813
2015-05-29,-0.035641490699829914
2015-06-01,-0.019007423453036076
2015-06-02,0.051668514303728985
2015-06-03,0.01228248515216035
2015-06-04,-0.06370071714570402
2015-06-05,-0.01403888890147642
2015-06-08,-0.015334100938434347
2015-06-09,-0.014460524777605066
2015-06-10,-0.00790064306283178
2015-06-11,0.027303728345815514
2015-06-12,0.013289024264411253
2015-06-15,-0.019672061093525706
2015-06-16,0.011148207895040896
2015-06-17,-0.0022050170630951715
2015-06-18,-0.005524882837687928
2015-06-19,0.010000016954210045
2015-06-22,-0.022002178867752575
2015-06-23,-0.0022497701902446376
2015-06-24,-0.021420471570989807
2015-06-25,-0.020737361618345718
2015-06-26,-0.051764656515682406
2015-06-29,-0.027295317068888103
2015-06-30,-0.029336736555746867
2015-07-01,0.0
2015-07-02,0.0013140278408982908
2015-07-06,-0.022309721633476443
2015-07-07,0.016107431606508626
2015-07-08,-0.18097758670137098
2015-07-09,-0.05322579578355957
2015-07-10,0.020442911055977397
2015-07-13,0.056761296423959884
2015-07-14,0.05529224468420724
2015-07-15,-0.056886174755826135
2015-07-16,0.004761862232212533
2015-07-17,0.018957328120918104
2015-07-20,-0.044961235725380244
2015-07-21,0.008116914281397047
2015-07-22,-0.053140084006267574
2015-07-23,-0.027210938968575293
2015-07-24,0.006993083943600098
2015-07-27,-0.020833395421502532
2015-07-28,-0.0017730057236523544
2015-07-29,0.06039070494486043
2015-07-30,0.0033500806749393597
2015-07-31,-0.013355580427863889
2015-08-03,-0.07445009620653842
2015-08-04,0.03107862574305309
2015-08-05,0.23758868516124165
2015-08-06,-0.020057287407311386
2015-08-07,-0.08771935205918358
2015-08-10,-0.016025626330215204
2015-08-11,-0.07654719876413751
2015-08-12,-0.01763666724638402
2015-08-13,-0.023339337600440824
2015-08-14,0.011029401130226768
2015-08-17,0.018181800842285156
2015-08-18,-0.10535708674970845
2015-08-19,-0.00798411913428454
2015-08-20,-0.09255524763152478
2015-08-21,-0.01995568692248262
2015-08-24,0.09954752253972532
2015-08-25,-0.10699587790967546
2015-08-26,0.032258032618297294
2015-08-27,0.033482164001966463
2015-08-28,-0.010799176997623228
2015-08-31,0.004366808135300104
2015-09-01,-0.039130398276171485
2015-09-02,0.0
