Date,APTV
2015-01-05,-0.04366999064950661
2015-01-06,-0.006338280301948718
2015-01-07,0.007973317790880063
2015-01-08,0.024593633634202083
2015-01-09,-0.015160135928157459
2015-01-12,-0.018101370183697507
2015-01-13,-0.01799940473568795
2015-01-14,-0.007538989885087832
2015-01-15,0.0
2015-01-16,-0.008191757457149507
2015-01-20,0.013214935741400202
2015-01-21,0.017192910933078398
2015-01-22,0.00903400840193802
2015-01-23,0.006065022949547583
2015-01-26,-0.0014353807426430443
2015-01-27,0.0033061560305316373
2015-01-28,-0.023352608497850258
2015-01-29,0.014669292272045498
2015-01-30,-0.006361188661603068
2015-02-02,0.03026347723882994
2015-02-03,0.02725578734172518
2015-02-04,0.0001375798493687963
2015-02-05,0.04302397491335763
2015-02-06,0.016868862017943353
2015-02-09,0.0006479920931417027
2015-02-10,0.01787342640735612
2015-02-11,-0.008652695810953848
2015-02-12,0.0019252007190231346
2015-02-13,0.011438373552403291
2015-02-17,-0.0025411392853121884
2015-02-18,-0.0007644867191555216
2015-02-19,0.012365921062640783
2015-02-20,-0.0017629362784368219
2015-02-23,-0.0008829031515669161
2015-02-24,-0.004545527355661161
2015-02-25,0.012810703771901188
2015-02-26,-0.009893542311984915
2015-02-27,-0.002782653453206607
2015-03-02,0.01648908523511028
2015-03-03,-0.001497443818018307
2015-03-04,0.009497872867826773
2015-03-05,-0.008046541554639575
2015-03-06,-0.012979022157742381
2015-03-09,-0.0013908293213217293
2015-03-10,-0.016966416214234448
2015-03-11,-0.009788774725658755
2015-03-12,0.013787769356927715
2015-03-13,-0.01462658241636361
2015-03-16,0.019270674805564658
2015-03-17,-0.0008941924079484131
2015-03-18,0.01227486409507117
2015-03-19,0.000126122928179484
2015-03-20,0.009850847070622226
2015-03-23,-0.0015005133525659575
2015-03-24,-0.007765480905786326
2015-03-25,-0.02221681108674678
2015-03-26,-0.007358361306307293
2015-03-27,0.0078031866954231255
2015-03-30,0.022196450759075503
2015-03-31,0.006691066540404522
2015-04-01,-0.011161217812433288
2015-04-02,0.02954970629295328
2015-04-06,0.03227393550489421
2015-04-07,-0.010978453629183593
2015-04-08,0.003981568729931384
2015-04-09,0.01225826199066904
2015-04-10,0.005698467763660675
2015-04-13,-0.008735473525485982
2015-04-14,0.0017863424993491694
2015-04-15,-0.004398370248479111
2015-04-16,0.0032235861820304468
2015-04-17,-0.008926399004064667
2015-04-20,0.0007204047520761314
2015-04-21,-0.0035998938115840984
2015-04-22,-0.0018065661265598276
2015-04-23,0.0037402650615452337
2015-04-24,0.003846587839197335
2015-04-27,-0.009459648046195257
2015-04-28,-0.0004837739781848871
2015-04-29,-0.009071068449110986
2015-04-30,0.01305996775456153
2015-05-01,0.016144202776756877
2015-05-04,0.02015690160117045
2015-05-05,-0.02219920608917625
2015-05-06,0.004397848218218314
2015-05-07,-0.007692077592789448
2015-05-08,0.017650363653454848
2015-05-11,-0.0028208712817778814
2015-05-12,0.009193936167740002
2015-05-13,-0.0030368757221160836
2015-05-14,0.013941119190866935
2015-05-15,0.008087818925147205
2015-05-18,-0.0005728538706664121
2015-05-19,-0.00011472469382844963
2015-05-20,-0.0038995425931197536
2015-05-21,0.005065792840106775
2015-05-22,-0.0030929418729251923
2015-05-26,-0.00965294178444287
2015-05-27,0.01148759814
2015-05-28,0.00493309522703389
2015-05-29,-0.007077816782977697
2015-06-01,-0.0017246704850875094
2015-06-02,0.007716541748534755
2015-06-03,0.009713988013016595
2015-06-04,-0.014827220269645447
2015-06-05,0.0032166497486612045
2015-06-08,-0.0054969066336654215
2015-06-09,-0.0031090796468489224
2015-06-10,0.0199837016499691
2015-06-11,-0.0061152361705625324
2015-06-12,-0.002165202518886633
2015-06-15,-0.002968811822784745
2015-06-16,0.004123233165667983
2015-06-17,0.013345453827281917
2015-06-18,0.002363878054989277
2015-06-19,0.0012349982495278855
2015-06-22,-0.0037011799412575153
2015-06-23,-0.0032645595979481357
2015-06-24,-0.007002566032225821
2015-06-25,0.009326557861748297
2015-06-26,-0.0014644553066343047
2015-06-29,-0.046044931898486796
2015-06-30,0.006625238631491115
2015-07-01,0.01069419391830806
2015-07-02,-0.00011621368867509307
2015-07-06,-0.013722415896927131
2015-07-07,-0.00907922880146561
2015-07-08,-0.0691337281977834
2015-07-09,-0.0037070848991115346
2015-07-10,0.016166509637369764
2015-07-13,0.009974601966609375
2015-07-14,0.002875365839359878
2015-07-15,0.006232831803354433
2015-07-16,-0.04856291351979203
2015-07-17,0.014843668782980046
2015-07-20,0.0016681225919534803
2015-07-21,0.003970718224828529
2015-07-22,-0.011227298770186023
2015-07-23,0.004128944045460381
2015-07-24,-0.005910966530171757
2015-07-27,-0.025723843300876514
2015-07-28,0.026270298948336768
2015-07-29,0.013574674138614462
2015-07-30,-0.011479576812954195
2015-07-31,0.007483943805600246
2015-08-03,-0.011782873097930024
2015-08-04,0.008553581213736727
2015-08-05,-0.004240457179021551
2015-08-06,-0.0015485848479258602
2015-08-07,0.023523277295158795
2015-08-10,0.028122419137583288
2015-08-11,-0.042508448735985915
2015-08-12,-0.01775832941869504
2015-08-13,0.009170657313561925
2015-08-14,-0.010515255223861875
2015-08-17,0.01967980360328192
2015-08-18,0.0016727450390117138
2015-08-19,-0.01091861135108918
2015-08-20,-0.03103888942575428
2015-08-21,-0.03404372627605656
2015-08-24,-0.02150674546375242
2015-08-25,-0.004112385440545596
2015-08-26,0.046134248118375965
2015-08-27,0.021233244296737563
2015-08-28,0.004264760056525985
2015-08-31,0.0022560224014065433
2015-09-01,-0.04621285745230397
