Date,GLW
2015-01-05,-0.013906769884131198
2015-01-06,-0.017187938881874865
2015-01-07,0.01434964803199823
2015-01-08,0.03227231137643338
2015-01-09,-0.001713006437405129
2015-01-12,-0.0012868236683476475
2015-01-13,-0.005584689214535032
2015-01-14,0.004319569888570074
2015-01-15,-0.00989234566567987
2015-01-16,0.006516604873929577
2015-01-20,-0.0008637576593357732
2015-01-21,0.006047594645298915
2015-01-22,0.018462888060481797
2015-01-23,0.005480990093135851
2015-01-26,0.0025151634108036003
2015-01-27,0.03429549442775226
2015-01-28,-0.02062274877665171
2015-01-29,-0.01775363553197573
2015-01-30,-0.0008408215176258782
2015-02-02,0.015986497200901617
2015-02-03,0.008281409453630983
2015-02-04,-0.0032852108756123988
2015-02-05,0.008652610936404681
2015-02-06,-0.011030061777858147
2015-02-09,0.0012397191029442922
2015-02-10,0.025164958951346295
2015-02-11,-0.012072706561087054
2015-02-12,0.012627582607670051
2015-02-13,0.00563181272183888
2015-02-17,-0.015999782124422546
2015-02-18,0.0012189319986781744
2015-02-19,0.0008122485936969959
2015-02-20,0.012575836219948622
2015-02-23,-0.007211153802861414
2015-02-24,0.0
2015-02-25,-0.0024331280480492934
2015-02-26,-0.005284925741238622
2015-02-27,-0.002860571484332941
2015-03-02,0.009426397215582139
2015-03-03,-0.001217892641776741
2015-03-04,0.006097298129710715
2015-03-05,-0.0052525919483460415
2015-03-06,-0.02396424780912254
2015-03-09,-0.011235558153229741
2015-03-10,-0.029882426201125023
2015-03-11,-0.015184313036404773
2015-03-12,0.018942679071864976
2015-03-13,-0.005620259505491165
2015-03-16,0.03086930143113098
2015-03-17,-0.014339673954902321
2015-03-18,0.016688161649745625
2015-03-19,-0.026515405701004635
2015-03-20,0.011240736808289409
2015-03-23,0.003420283624766318
2015-03-24,-0.002556281058052834
2015-03-25,-0.029901934729170798
2015-03-26,-0.010568088991865121
2015-03-27,0.01201582096358389
2015-03-30,0.021987894789252005
2015-03-31,-0.02409640904696464
2015-04-01,-0.0189594982071688
2015-04-02,0.0031464386794828325
2015-04-06,0.002240084466419212
2015-04-07,-0.016540250596686956
2015-04-08,0.0027273163383547683
2015-04-09,0.008159580765028984
2015-04-10,0.008093314351532488
2015-04-13,-0.0026761128281523883
2015-04-14,-0.0008942059106807898
2015-04-15,-0.0004476158648591966
2015-04-16,0.013882418551010689
2015-04-17,-0.007950435192899952
2015-04-20,0.009795160893104393
2015-04-21,-0.003086228484193043
2015-04-22,-0.007518600152288113
2015-04-23,0.015596848774514172
2015-04-24,-0.01184743452212933
2015-04-27,-0.006216534953972119
2015-04-28,-0.013851629223422757
2015-04-29,-0.03216998274027938
2015-04-30,-0.020131613315574226
2015-05-01,0.024366785383250322
2015-05-04,0.0
2015-05-05,-0.029850562154160598
2015-05-06,0.012499977294235798
2015-05-07,-0.0009497625145205024
2015-05-08,0.005227941518453738
2015-05-11,0.007565174496943161
2015-05-12,-0.015016094603860441
2015-05-13,0.004287343645158259
2015-05-14,0.013757477617333258
2015-05-15,-0.003743821392268254
2015-05-18,0.0028180331881704213
2015-05-19,0.006557916265935271
2015-05-20,0.004653204956448498
2015-05-21,0.010653151728983179
2015-05-22,-0.014665752870878346
2015-05-26,-0.013488608636575639
2015-05-27,0.0018972551316500663
2015-05-28,-0.003786257956736372
2015-05-29,-0.006175711236880543
2015-06-01,-0.0019120730153053822
2015-06-02,-0.0014367720441440524
2015-06-03,-0.0023981456294475123
2015-06-04,-0.007211611258860273
2015-06-05,0.002905610679460935
2015-06-08,0.002414236436503403
2015-06-09,-0.006262041808071772
2015-06-10,0.018904870446192046
2015-06-11,-0.010466488327931955
2015-06-12,-0.002403910557043365
2015-06-15,-0.01783118860206978
2015-06-16,0.025515204478642195
2015-06-17,0.00047838581696302285
2015-06-18,0.014825504409597512
2015-06-19,-0.013195050572470057
2015-06-22,0.0057305010346022645
2015-06-23,-0.004273238469469032
2015-06-24,-0.009537568560791576
2015-06-25,-0.010592410980867273
2015-06-26,-0.010705872272983363
2015-06-29,-0.030988495149431583
2015-06-30,0.0015230871985856265
2015-07-01,0.0035481058372786034
2015-07-02,-0.005050955444629079
2015-07-06,-0.004060591154893545
2015-07-07,-0.002548551830372614
2015-07-08,-0.021972241063772602
2015-07-09,0.0010448814190444633
2015-07-10,0.006263006126600912
2015-07-13,-0.006742737073200056
2015-07-14,0.005222071780599302
2015-07-15,-0.009870496571302234
2015-07-16,0.025183731847985946
2015-07-17,-0.023541406854884483
2015-07-20,-0.008909751015285017
2015-07-21,-0.008460986972103846
2015-07-22,0.0015999223114324668
2015-07-23,0.0
2015-07-24,-0.010649777812333894
2015-07-27,-0.0069967021969020715
2015-07-28,-0.004335901393860531
2015-07-29,0.00925431502301044
2015-07-30,0.004854065306712396
2015-07-31,0.0026838479901623025
2015-08-03,-0.026231336272008132
2015-08-04,0.004947741255741045
2015-08-05,0.004923724166769672
2015-08-06,-0.005988142331559976
2015-08-07,-0.007119453415590171
2015-08-10,0.018201685994927885
2015-08-11,-0.03087730699775182
2015-08-12,0.002794652081425708
2015-08-13,-0.0072462366973221615
2015-08-14,0.00842217883552454
2015-08-17,0.011135598277281833
2015-08-18,-0.013215499656344831
2015-08-19,-0.010044645586912981
2015-08-20,-0.02874882218618624
2015-08-21,-0.025536495940276294
2015-08-24,-0.029779601902402697
2015-08-25,-0.019643921444301604
2015-08-26,0.03443923289759443
2015-08-27,0.034146519326278435
2015-08-28,0.01297162731862267
2015-08-31,0.001746401186285107
2015-09-01,-0.0296338835590364
2015-09-02,0.017365215791113053
