Date,BK
2015-01-05,-0.025704535219658098
2015-01-06,-0.02891902729288942
2015-01-07,0.020637395040065565
2015-01-08,0.013821758334856105
2015-01-09,-0.014643153247469454
2015-01-12,-0.014347991141962835
2015-01-13,-0.0018195255686414002
2015-01-14,-0.02526030422783687
2015-01-15,-0.004809208225745376
2015-01-16,0.00563762226049791
2015-01-20,-0.0058727489842475
2015-01-21,0.008324147037075402
2015-01-22,0.031158601417028198
2015-01-23,-0.04700414550396259
2015-01-26,0.014091807214081431
2015-01-27,-0.01817191705868404
2015-01-28,-0.02939561543394187
2015-01-29,0.02187297410143363
2015-01-30,-0.007443843396605865
2015-02-02,0.018611185339555858
2015-02-03,0.019906972198395767
2015-02-04,-0.00614944359032743
2015-02-05,0.01506592670039053
2015-02-06,0.01961279868815602
2015-02-09,0.0002600652208217813
2015-02-10,0.015592503322854556
2015-02-11,0.0012797116171459066
2015-02-12,0.007155005887712562
2015-02-13,-0.0053281473471678
2015-02-17,0.00663241924857183
2015-02-18,-0.011910618127524919
2015-02-19,0.0033340390645797413
2015-02-20,0.008180067695099158
2015-02-23,-0.0068459181652660295
2015-02-24,0.015573188587806097
2015-02-25,0.002011321348968531
2015-02-26,-0.010537104929393304
2015-02-27,-0.00760667362961287
2015-03-02,0.013030197324562565
2015-03-03,0.0
2015-03-04,-0.005296208068008568
2015-03-05,-0.00633908348002743
2015-03-06,0.0022970794899319635
2015-03-09,0.012983244810970351
2015-03-10,-0.01507928181230822
2015-03-11,0.005868822454647038
2015-03-12,0.025875733241896404
2015-03-13,0.012363800085628318
2015-03-16,0.002686911326894359
2015-03-17,0.0021924524904639586
2015-03-18,-0.0075351729585863
2015-03-19,-0.012980560859239376
2015-03-20,0.0066996405619188515
2015-03-23,-0.003697462993099365
2015-03-24,-0.007916916221990533
2015-03-25,-0.01446396671796013
2015-03-26,0.007338121707124223
2015-03-27,-0.0015068089447430877
2015-03-30,0.013584617782264496
2015-03-31,-0.0012412790903610915
2015-04-01,-0.0007454463534283251
2015-04-02,0.008455826142787615
2015-04-06,-0.0014794945676377402
2015-04-07,0.001975807044815925
2015-04-08,0.002957713452032218
2015-04-09,0.003686376218249965
2015-04-10,0.0004900073267124494
2015-04-13,0.0022021611112827966
2015-04-14,0.002686377068717327
2015-04-15,0.0017047182772009783
2015-04-16,-0.001701817158386576
2015-04-17,-0.013638652918343208
2015-04-20,0.006913894679236421
2015-04-21,0.006375753658474981
2015-04-22,0.033869246805180886
2015-04-23,0.0035349682366445645
2015-04-24,-0.011977324675951473
2015-04-27,-0.0023766940272215153
2015-04-28,0.018823014580000796
2015-04-29,0.002338225435253971
2015-04-30,-0.008198400647088544
2015-05-01,0.009447685366130276
2015-05-04,0.012634066691075363
2015-05-05,-0.008779830243211495
2015-05-06,0.0009317904067422944
2015-05-07,0.008617111320081028
2015-05-08,0.0023089652602672484
2015-05-11,-0.0036858795119905086
2015-05-12,-0.0016182665205852764
2015-05-13,0.002083591916895333
2015-05-14,0.0023113295023706737
2015-05-15,-0.006455841213894198
2015-05-18,0.008819117615505023
2015-05-19,0.0016100759178774293
2015-05-20,0.001837323512472011
2015-05-21,0.00045803509856878755
2015-05-22,-0.003894744796612115
2015-05-26,-0.0002307745152142493
2015-05-27,0.00966427810914161
2015-05-28,0.0015954834297891018
2015-05-29,-0.013424248018356622
2015-06-01,-0.010147799023977777
2015-06-02,-0.00046573581708875267
2015-06-03,0.011887962950584363
2015-06-04,-0.010366407995267446
2015-06-05,0.009311222713559886
2015-06-08,-0.0004615797567173452
2015-06-09,0.0013845801779956979
2015-06-10,0.007834042741768021
2015-06-11,0.0032006147350582825
2015-06-12,-0.004557831936327639
2015-06-15,-0.008928415790547262
2015-06-16,-0.0020793257164485324
2015-06-17,-0.0011570792938084828
2015-06-18,0.002780436388494234
2015-06-19,-0.003466080142619621
2015-06-22,0.008117216863144483
2015-06-23,0.0043704985320967005
2015-06-24,-0.008474549399935971
2015-06-25,-0.010163866536207267
2015-06-26,0.003033785172287029
2015-06-29,-0.02768725819691742
2015-06-30,0.004307328930764465
2015-07-01,0.005003095274978886
2015-07-02,-0.009245693608706418
2015-07-06,-0.005743144677839429
2015-07-07,-0.00024060558354888073
2015-07-08,-0.024073549713852116
2015-07-09,0.01110078190624142
2015-07-10,0.017564671803087295
2015-07-13,0.016063362522779956
2015-07-14,0.003539568207677757
2015-07-15,0.00329144117181035
2015-07-16,0.009374391679566996
2015-07-17,-0.00580412121189855
2015-07-20,0.003736549961590674
2015-07-21,0.027221827525151232
2015-07-22,0.013137448396714602
2015-07-23,-0.0058129914555988815
2015-07-24,-0.016865184920328624
2015-07-27,-0.010521905369347273
2015-07-28,0.007628302516682561
2015-07-29,0.004358922997804715
2015-07-30,0.007337917800323224
2015-07-31,-0.012064951202963692
2015-08-03,0.0
2015-08-04,0.011290273345311519
2015-08-05,0.011620144756111506
2015-08-06,-0.002702536617463336
2015-08-07,0.010614434420695762
2015-08-10,0.011396384205985655
2015-08-11,-0.013035898067586316
2015-08-12,-0.017237600297065447
2015-08-13,-0.0006833293880998959
2015-08-14,0.004559018521111069
2015-08-17,-0.00022674877900419332
2015-08-18,0.006581788915964282
2015-08-19,-0.0038331688706443323
2015-08-20,-0.03123582865023866
2015-08-21,-0.03154195780819691
2015-08-24,-0.06779254418535574
2015-08-25,-0.022256994317007894
2015-08-26,0.0447328759047223
2015-08-27,0.03369642342544066
2015-08-28,-0.0031862799240343076
2015-08-31,-0.02139164649298919
2015-09-01,-0.03668324480816554
2015-09-02,0.017735637419589834
