Date,VST
2016-10-06,0.016129056551357213
2016-10-07,0.00952412009601189
2016-10-10,0.0062891034770791165
2016-10-11,0.021874981507735036
2016-10-12,0.0
2016-10-13,-0.015290620552250389
2016-10-14,0.0
2016-10-17,0.0
2016-10-18,-0.00621106053737841
2016-10-19,-0.0006249878913662243
2016-10-20,-0.005628327596909566
2016-10-21,-0.012578941100272911
2016-10-24,-0.0012737782191772906
2016-10-25,-0.00637751029528566
2016-10-26,-0.008344118704543324
2016-10-27,-0.01618116918985446
2016-10-28,0.0
2016-10-31,0.0
2016-11-01,-0.01315781053118037
2016-11-02,-0.09333341979944187
2016-11-03,0.0
2016-11-04,0.029411576776714243
2016-11-07,0.0071430907337610705
2016-11-08,0.007092244900362088
2016-11-09,-0.010563448784769114
2016-11-10,0.012811324168540583
2016-11-11,0.033731539285908996
2016-11-14,-0.02107404500711496
2016-11-15,-0.005555628111035049
2016-11-16,-0.015363013252593816
2016-11-17,-0.003546122450181044
2016-11-18,0.003558742185740371
2016-11-21,-0.0070924288708141825
2016-11-22,0.00357163800916549
2016-11-23,-0.0035589268108958683
2016-11-25,0.0
2016-11-28,0.010714450816071919
2016-11-29,-0.028268646135821474
2016-11-30,0.014545457632509695
2016-12-01,0.0007169250562750751
2016-12-02,-0.007879503887630701
2016-12-05,0.043321204979174244
2016-12-06,0.0795847580046829
2016-12-07,-0.006410381653952135
2016-12-08,0.02580679171899969
2016-12-09,0.03144641467509146
2016-12-12,-0.009146400777056196
2016-12-13,-0.001230825174856398
2016-12-14,0.0030806551478665956
2016-12-15,0.016475620616179576
2016-12-16,-0.009161507794621548
2016-12-19,0.01209124954961771
2016-12-20,0.008433052156043841
2016-12-21,0.0
2016-12-22,-0.004181497757888564
2016-12-23,0.006648148782302465
2016-12-27,0.042752887080290014
2016-12-28,0.0
2016-12-29,0.033333214702669256
2016-12-30,0.0
2017-01-03,-0.00903219538530009
2017-01-04,0.04817698386879199
2017-01-05,0.005590171521728582
2017-01-06,0.0006177688398716352
2017-01-09,-0.018518602426518704
2017-01-10,-0.003144552026541958
2017-01-11,-0.011356616376812068
2017-01-12,0.021059546687654196
2017-01-13,0.02812498674962849
2017-01-17,0.024316195936909146
2017-01-18,0.011868982401896933
2017-01-19,-0.009970457565283253
2017-01-20,0.003554505648375672
2017-01-23,0.0005902208351631355
2017-01-24,-0.008849468100846858
2017-01-25,-0.002976160134455119
2017-01-26,0.005970353798472994
2017-01-27,-0.007121930671435073
2017-01-30,-0.02570238915518519
2017-01-31,-0.005521375697404407
2017-02-01,0.008636652046406512
2017-02-02,-0.0036696601183762168
2017-02-03,0.025168870839708646
2017-02-06,0.026946029423820628
2017-02-07,-0.0017491753947641575
2017-02-08,0.007593236493788735
2017-02-09,0.0
2017-02-10,0.04057955727805007
2017-02-13,-0.01114188817603079
2017-02-14,-0.0028168101586119043
2017-02-15,-0.0028247041569302578
2017-02-16,-0.014164599767132802
2017-02-17,-0.002873214611464725
2017-02-21,-0.012680444316184314
2017-02-22,-0.020140271427406486
2017-02-23,-0.028894698359385962
2017-02-24,0.01963199016384265
2017-02-27,-0.02707580418150357
2017-02-28,-0.0006183953743943427
2017-03-01,0.008663236443747557
2017-03-02,-0.006134770911557119
2017-03-03,0.0037037754069038087
2017-03-06,-0.005535230511715006
2017-03-07,-0.004329111517643036
2017-03-08,-0.01552772462576768
2017-03-09,-0.02776048527047925
2017-03-10,0.018170038482559825
2017-03-13,0.033779547534815935
2017-03-14,-0.0030825827321747656
2017-03-15,-0.0018551173438065005
2017-03-16,0.0006194068881022474
2017-03-17,-0.004334334922336924
2017-03-20,0.007462762441470483
2017-03-21,-0.012345620531012291
2017-03-22,-0.009375041923306848
2017-03-23,-0.0075711945311642825
2017-03-24,0.0044502059763362745
2017-03-27,0.003164665442865644
2017-03-28,0.0031544714260574036
2017-03-29,0.022012563659062234
2017-03-30,0.0018462582130636118
2017-03-31,0.0012282972916659585
2017-04-03,0.00306759014828617
2017-04-04,0.008562835038955274
2017-04-05,-0.000606597220255134
2017-04-06,-0.004247475600247186
2017-04-07,-0.009750228379606485
2017-04-10,0.0
2017-04-11,-0.006153851839694746
2017-04-12,-0.0092877621699331
2017-04-13,0.01062483434863326
2017-04-17,-0.01175013112788137
2017-04-18,0.0012517047822431238
2017-04-19,-0.012500148577937131
2017-04-20,-0.01582269370404099
2017-04-21,-0.022508164380606765
2017-04-24,0.01842107015353034
2017-04-25,-0.0019378066933647409
2017-04-26,0.01165056622739491
2017-04-27,-0.026231872662760503
2017-04-28,-0.01773979634710876
2017-05-01,0.0020068024174471066
2017-05-02,-0.02603469709091577
2017-05-03,0.00685386262606924
2017-05-04,-0.00476503730438449
2017-05-05,0.028043761080735807
2017-05-08,-0.0019960466806316912
2017-05-09,0.0006667043319024124
2017-05-10,0.009326975014503969
2017-05-11,0.01122116993778266
2017-05-12,0.016971367985326946
2017-05-15,0.009627557643457685
2017-05-16,-0.019707620717899887
2017-05-17,-0.021400548926575502
2017-05-18,-0.01921815202383348
2017-05-19,0.016216232057830737
2017-05-22,-0.005319006155568351
2017-05-23,0.0026737246355790223
2017-05-24,0.0
2017-05-25,-0.00999997182521728
2017-05-26,0.009427617547332012
2017-05-30,-0.004669746740803893
2017-05-31,-0.01005373935907694
2017-06-01,0.009478606608685158
2017-06-02,0.005365681078757456
2017-06-05,0.018011912083225612
2017-06-06,0.017038169768186284
2017-06-07,0.010309214816955015
2017-06-08,0.002550880721997606
2017-06-09,0.005089134313017496
2017-06-12,0.012658380211334919
