Date,MKC
2015-01-05,-0.016903138178254395
2015-01-06,-0.004539265419082006
2015-01-07,0.026668653568076683
2015-01-08,0.016419701350157245
2015-01-09,-0.011784807781561879
2015-01-12,-0.012997695050200764
2015-01-13,0.0025795677631788028
2015-01-14,0.00013525584152995762
2015-01-15,0.0008121769668842926
2015-01-16,0.005952695755841564
2015-01-20,0.01761702666703835
2015-01-21,-0.009118885391031561
2015-01-22,0.0026674966175777026
2015-01-23,-0.013301507734366447
2015-01-26,0.0018875285220192328
2015-01-27,-0.0188371724003511
2015-01-28,-0.014536717396311127
2015-01-29,0.0102981468447636
2015-01-30,-0.016667298616857562
2015-02-02,0.017229509717011426
2015-02-03,0.011016418265979544
2015-02-04,0.0036775177385408586
2015-02-05,0.0031207778118202967
2015-02-06,0.005682189798921211
2015-02-09,-0.007667603462081174
2015-02-10,0.00731995241908634
2015-02-11,-0.004575275221915254
2015-02-12,0.004596304580374078
2015-02-13,0.004441167926366285
2015-02-17,-0.0009380714765340192
2015-02-18,0.016092354090606387
2015-02-19,-0.0063351553832823315
2015-02-20,0.00730484266899234
2015-02-23,-0.006065348077018751
2015-02-24,0.000398575146022484
2015-02-25,0.000662718414246477
2015-02-26,-0.0010604319936060591
2015-02-27,0.0
2015-03-02,0.00026594180901073905
2015-03-03,-0.0019897687792712615
2015-03-04,-0.005448405198837825
2015-03-05,-0.0014700495940827008
2015-03-06,-0.017127827224750036
2015-03-09,0.0051733802338098656
2015-03-10,-0.01774355576340647
2015-03-11,-0.004688397037116765
2015-03-12,0.010529391091568474
2015-03-13,-0.01316152521462799
2015-03-16,0.00889122421367583
2015-03-17,-0.008262297772347882
2015-03-18,0.00652600741373055
2015-03-19,-0.0012417364627526073
2015-03-20,0.006630040082625577
2015-03-23,0.0043904915722901006
2015-03-24,0.02622988223872813
2015-03-25,0.011581375568960661
2015-03-26,0.011317153417770287
2015-03-27,0.006246127136888768
2015-03-30,0.008922418739245153
2015-03-31,-0.011663541603661343
2015-04-01,-0.005605097987216645
2015-04-02,0.007603500758739168
2015-04-06,0.01834496666889618
2015-04-07,-0.004982617817795187
2015-04-08,0.0002564832039551046
2015-04-09,-0.00025641743718929355
2015-04-10,-0.0016695047262053064
2015-04-13,-0.0027007738619266863
2015-04-14,0.003224134508816645
2015-04-15,-0.002956756241853542
2015-04-16,-0.001031827376490435
2015-04-17,-0.01303507821070693
2015-04-20,0.0026157351455615707
2015-04-21,-0.005999954857316747
2015-04-22,0.008922571539917934
2015-04-23,-0.008714129689024741
2015-04-24,-0.0049856565381724005
2015-04-27,-0.0014499383478835393
2015-04-28,0.0031692501238296256
2015-04-29,-0.006713478580196219
2015-04-30,-0.002120536006996576
2015-05-01,0.011421208101210834
2015-05-04,0.004858264167691084
2015-05-05,-0.009276896987262195
2015-05-06,-0.0005282994724107315
2015-05-07,0.010689097078465215
2015-05-08,0.0063977297385844345
2015-05-11,-0.0022056601494432337
2015-05-12,0.007281560951042154
2015-05-13,-0.003485481852359973
2015-05-14,0.02266834026512643
2015-05-15,0.004813315685791686
2015-05-18,-0.004159494274560083
2015-05-19,0.007721269016534915
2015-05-20,-0.00502466660823675
2015-05-21,0.0021466394610252237
2015-05-22,-0.007558720016698439
