Date,ABNB
2020-12-11,-0.03773067832595134
2020-12-14,-0.06642728904847395
2020-12-15,-0.03999997652493992
2020-12-16,0.10568911954221671
2020-12-17,0.06565691135538487
2020-12-18,0.06970418080435037
2020-12-21,0.03636364341850018
2020-12-22,0.0010428055728743946
2020-12-23,-0.031742189209355565
2020-12-24,-0.020062010500279892
2020-12-28,-0.03771632960483051
2020-12-29,0.006711409395973256
2020-12-30,-0.010466715494791612
2020-12-31,-0.010981538128778667
2021-01-04,-0.052111777903548484
2021-01-05,0.06575644668788305
2021-01-06,-0.03728926949089051
2021-01-07,0.0595363153718107
2021-01-08,-0.00991604387938183
2021-01-11,-0.010950119135103686
2021-01-12,0.08553296260922094
2021-01-13,0.057151755391747106
2021-01-14,0.061827131991348594
2021-01-15,-0.06221604281185078
2021-01-19,0.02611211707557337
2021-01-20,-0.06828257495334245
2021-01-21,0.11474999601628966
2021-01-22,0.00814856580065415
2021-01-25,-0.023863179493099795
2021-01-26,0.08567569885907611
2021-01-27,0.04415271487131789
2021-01-28,-0.06896896836180122
2021-01-29,-0.01996045435148719
2021-02-01,-0.017371901958190383
2021-02-02,-0.007038374281076343
2021-02-03,0.0365574768024588
2021-02-04,0.05427526257161697
2021-02-05,-0.0025025816421184732
2021-02-08,0.02621471087598315
2021-02-09,-0.002744039380665031
2021-02-10,0.05893535366983493
2021-02-11,0.024473176727571655
2021-02-12,-0.01918466949071085
2021-02-16,-0.01325931992920748
2021-02-17,-0.03764411452162508
2021-02-18,-0.019409849957512493
2021-02-19,0.015300010809978781
2021-02-22,-0.028497591772047137
2021-02-23,-0.03967441458632148
2021-02-24,0.06722107178699543
2021-02-25,-0.09060938894188986
2021-02-26,0.13341760337607633
2021-03-01,-0.048122159635841766
2021-03-02,-0.0331941978069511
2021-03-03,-0.05002633125506317
2021-03-04,-0.000942340214506121
2021-03-05,-0.0023303455523587813
2021-03-08,0.005561426025124883
2021-03-09,0.012720552418637565
2021-03-10,0.003713574755691562
2021-03-11,0.07660918627454483
2021-03-12,0.04482746548168337
2021-03-15,0.015720227888392335
2021-03-16,-0.047526123745222804
2021-03-17,0.006749693218303099
2021-03-18,-0.04921535375482078
2021-03-19,0.01535650294212898
2021-03-22,0.003138024652846738
2021-03-23,-0.0403076954377003
2021-03-24,-0.044298350503208184
2021-03-25,-0.01504054989994974
2021-03-26,-0.009990972576277013
2021-03-29,0.04644499075110864
2021-03-30,0.0032877046767978424
2021-03-31,0.026433621936387874
2021-04-01,0.0015962703408569645
2021-04-05,-0.008234185117541926
2021-04-06,0.017890600965302816
2021-04-07,-0.05309686050995177
2021-04-08,0.001333723636316675
2021-04-09,-0.0037739632779586474
2021-04-12,-0.016768771625826906
2021-04-13,0.00827237469339126
2021-04-14,-0.00854174935952956
2021-04-15,-0.006121332069940477
2021-04-16,0.019047597500047475
2021-04-19,-0.023000730618375043
2021-04-20,-0.028697413531271643
2021-04-21,-0.014743173273679133
2021-04-22,0.021787270186590657
2021-04-23,0.02073688212118885
2021-04-26,0.0036155230003587224
2021-04-27,0.017497698268273965
2021-04-28,0.011576922166627979
2021-04-29,-0.012888929578993014
2021-04-30,-0.027971556544258536
2021-05-03,-0.026634276675911228
2021-05-04,0.004699264072717924
2021-05-05,-0.03889871108850551
2021-05-06,-0.05353294119007268
2021-05-07,-0.01581614609108739
2021-05-10,-0.029627741468232327
2021-05-11,-0.027260956290270366
2021-05-12,-0.017375434749351437
2021-05-13,-0.03208556149732622
2021-05-14,0.04014730716937165
2021-05-17,-0.061614710596850975
2021-05-18,0.01901890016951646
2021-05-19,0.023477988954499596
2021-05-20,-0.014400502626865763
2021-05-21,-0.01093972296446688
2021-05-24,0.008908001547287103
2021-05-25,-0.01412698195284201
2021-05-26,0.00567202385012755
2021-05-27,0.062486071754696226
2021-05-28,-0.019347658782479238
2021-06-01,0.02784903014306539
2021-06-02,0.046358551414221516
2021-06-03,-0.04509932158009111
2021-06-04,0.04535677353074763
2021-06-07,-0.011676471549945
2021-06-08,-0.013157056439594084
2021-06-09,-0.014692799700906534
2021-06-10,0.008767614498851328
2021-06-11,0.015877411728340896
2021-06-14,0.005187309753412972
2021-06-15,0.01722399269345276
2021-06-16,-0.017327743470579304
2021-06-17,0.010392243480972452
2021-06-18,0.012077022966654916
2021-06-21,-0.01848942594560321
2021-06-22,-0.0001336290772795401
2021-06-23,0.012693808446323285
2021-06-24,-0.005607640145452786
2021-06-25,-0.007032426117159929
2021-06-28,0.0018039972991525932
2021-06-29,-0.025743634437114138
2021-06-30,0.04832966504723091
2021-07-01,-0.00039178241369253186
2021-07-02,-0.018617755875525832
2021-07-06,-0.012381020190700864
2021-07-07,-0.03134052739444826
2021-07-08,-0.008280005784155442
2021-07-09,0.049884239607418834
2021-07-12,-0.019713959905604317
2021-07-13,-0.022360070384531028
2021-07-14,-0.030123472658136086
2021-07-15,-0.011431421236276829
2021-07-16,-0.023200017755681812
2021-07-19,-0.01809241843460796
2021-07-20,0.031922894291815496
2021-07-21,0.023219955523134717
2021-07-22,0.0015799010463419805
2021-07-23,-0.005305839870131224
2021-07-26,0.023570996707035885
2021-07-27,-0.00295773358412188
2021-07-28,0.012148617025415698
2021-07-29,0.001186309597522639
2021-07-30,0.00376380624199002
2021-08-02,0.010277140773433446
2021-08-03,0.001099652191076661
2021-08-04,0.012015105206552468
2021-08-05,0.019810132623105936
2021-08-06,-0.0021953287318761117
2021-08-09,-0.003666931339521007
2021-08-10,-0.009970593340616896
2021-08-11,0.0014194438539978371
2021-08-12,0.020180819117647353
