Date,CNP
2015-01-05,-0.031739128097392544
2015-01-06,-0.022290110850673117
2015-01-07,0.012963714992583864
2015-01-08,0.02383035671467204
2015-01-09,-0.021120370362655128
2015-01-12,0.002201578467736942
2015-01-13,-0.005271962795709184
2015-01-14,-0.000883683221430065
2015-01-15,0.0017681360458141615
2015-01-16,0.015004549187437988
2015-01-20,-0.004782474869058473
2015-01-21,0.011358314156386884
2015-01-22,-0.01123075174980026
2015-01-23,0.003494861253978021
2015-01-26,0.0013060311938630775
2015-01-27,0.0060869226409279165
2015-01-28,-0.016421826007328
2015-01-29,0.02680154061340012
2015-01-30,-0.011981518735565522
2015-02-02,-0.008228426319745519
2015-02-03,-0.002620167645144389
2015-02-04,-0.0017511657863581442
2015-02-05,0.017105301805987905
2015-02-06,-0.041828441263183413
2015-02-09,-0.0013502384915906607
2015-02-10,0.021631221031864767
2015-02-11,-0.03447336599166406
2015-02-12,0.02124706438679458
2015-02-13,-0.01582975521799479
2015-02-17,-0.007353179776062979
2015-02-18,0.015740986576709748
2015-02-19,-0.015041376734047707
2015-02-20,0.005553008915795354
2015-02-23,-0.0023008140055822413
2015-02-24,0.016605046450926864
2015-02-25,-0.021324702469754375
2015-02-26,-0.025498266386100643
2015-02-27,-0.010941998583941515
2015-03-02,-0.004809881986201359
2015-03-03,0.00434979608536179
2015-03-04,-0.0019251547218804843
2015-03-05,0.010607622094367164
2015-03-06,-0.014790306667770925
2015-03-09,0.0038742193871554864
2015-03-10,-0.004341272666947282
2015-03-11,-0.008721197032233508
2015-03-12,0.013685253912449458
2015-03-13,-0.00964295756700928
2015-03-16,0.0077893333907834705
2015-03-17,0.0
2015-03-18,0.03140126340853211
2015-03-19,-0.023887573799460937
2015-03-20,0.015834587908940767
2015-03-23,-0.012281531046656857
2015-03-24,-0.005738514414705076
2015-03-25,-0.010101231733672167
2015-03-26,-0.00777459378674894
2015-03-27,0.009794406355197793
2015-03-30,0.00048490739798734417
2015-03-31,-0.010663983943382083
2015-04-01,0.018128517263385602
2015-04-02,-0.002887370594617189
2015-04-06,0.016408728523922278
2015-04-07,-0.009021467473883993
2015-04-08,-0.008624561998683888
2015-04-09,-0.008216721568030994
2015-04-10,0.011695755023241716
2015-04-13,-0.00963386484708062
2015-04-14,0.007782289079625526
2015-04-15,0.02847481535434504
2015-04-16,-0.021116981799583878
2015-04-17,0.0019175100745063567
2015-04-20,0.010526676921910783
2015-04-21,-0.021780442836045744
2015-04-22,0.008228521973068226
2015-04-23,0.006720654393724601
2015-04-24,0.003815490057275772
2015-04-27,-0.011401664640831588
2015-04-28,0.009610716654268048
2015-04-29,0.005711525017873198
2015-04-30,-0.00757235534747791
2015-05-01,0.004291718029533875
2015-05-04,0.0023749851328342952
2015-05-05,-0.019422692370100636
2015-05-06,-0.016424719989395875
2015-05-07,-0.002947201325948834
2015-05-08,0.020689843554259513
2015-05-11,-0.010617858472936725
2015-05-12,-0.02243863986269834
2015-05-13,0.002424578475964001
2015-05-14,0.018145454896515867
2015-05-15,0.00940560595590001
2015-05-18,0.0014715814111978531
2015-05-19,-0.0014694190414512587
2015-05-20,0.006866321465222702
2015-05-21,-0.0009741011689411438
2015-05-22,-0.0034128099178717397
2015-05-26,-0.008316975139548988
2015-05-27,-0.0014804256348471823
2015-05-28,0.006917340855709275
2015-05-29,-0.000490767612170373
2015-06-01,-0.0073634732920797585
2015-06-02,-0.024233826398803116
2015-06-03,-0.005575201364317439
2015-06-04,-0.016310147449947854
2015-06-05,0.0010366006989226406
2015-06-08,-0.007246596381323744
2015-06-09,0.005735285678439173
2015-06-10,0.0051840108479916935
2015-06-11,0.005157275475978107
2015-06-12,-0.011800679457806829
2015-06-15,-0.0067498640278379485
2015-06-16,-0.002613543281725028
2015-06-17,0.016247121906188378
2015-06-18,0.014440385245751086
2015-06-19,-0.00762558808904823
2015-06-22,0.00973339712807575
2015-06-23,-0.01877217143841048
2015-06-24,-0.008790160164999672
2015-06-25,-0.000521815086211741
2015-06-26,0.009916494860964908
2015-06-29,-0.004650697848658347
2015-06-30,-0.011941948606094543
2015-07-01,0.0026275605513779166
2015-07-02,0.014150440859391766
2015-07-06,-0.006718054196426015
2015-07-07,0.01977092990589302
2015-07-08,-0.019387618656395267
2015-07-09,-0.014047651480970536
2015-07-10,0.008970636428526912
2015-07-13,0.002615051729247808
2015-07-14,0.004695139597849174
2015-07-15,0.0005186061603268399
2015-07-16,-0.001556482006274229
2015-07-17,-0.012473861327678804
2015-07-20,-0.013158120793400396
2015-07-21,-0.008533182624755109
2015-07-22,0.0016135607013874065
2015-07-23,-0.015037546598204332
2015-07-24,-0.002726049359843552
2015-07-27,0.02132300416813737
2015-07-28,0.011242167475505216
2015-07-29,0.010058301158218486
2015-07-30,0.0031443146172489556
2015-07-31,0.010449417851975618
2015-08-03,-0.006204716373956587
2015-08-04,-0.018730295548438747
2015-08-05,0.009543693431743883
2015-08-06,0.0021011573474196688
2015-08-07,0.0031443146172489556
2015-08-10,0.020376132248132173
2015-08-11,-0.008704507086592206
2015-08-12,0.025010607693695786
2015-08-13,0.002551971680890386
2015-08-14,0.014257145387043924
2015-08-17,0.0
2015-08-18,-0.0005021528332095349
2015-08-19,-0.0005023382370221707
2015-08-20,-0.004020190348786312
2015-08-21,-0.025731221084826172
2015-08-24,-0.042465153580769965
2015-08-25,-0.030827581965365503
2015-08-26,0.01729897262666058
2015-08-27,0.028524392562596423
2015-08-28,0.003733133043589243
2015-08-31,-0.010626950153889703
2015-09-01,-0.04189024282100995
