Date,REG
2015-01-05,0.011263886119645683
2015-01-06,0.007171326011790713
2015-01-07,0.025905423721962695
2015-01-08,-0.003544065468299884
2015-01-09,-0.002074794290194304
2015-01-12,0.014998151987932973
2015-01-13,-0.005413071742883857
2015-01-14,0.016916570645697515
2015-01-15,-0.015478036720842359
2015-01-16,0.017484719900134227
2015-01-20,-0.01588433107721532
2015-01-21,-0.0026414854892898854
2015-01-22,0.022068821096436153
2015-01-23,-0.011659686515682721
2015-01-26,0.01689483322393115
2015-01-27,0.0007159438666977103
2015-01-28,-0.002290141799962342
2015-01-29,0.0024388457957116305
2015-01-30,-0.018889611255786698
2015-02-02,-0.001021055729079845
2015-02-03,0.015184662501292578
2015-02-04,-0.00805392098677915
2015-02-05,0.004784628996189255
2015-02-06,-0.027850082054512226
2015-02-09,-0.008905862878860638
2015-02-10,0.00029978082389869876
2015-02-11,-0.002096313453916143
2015-02-12,0.008702341287460058
2015-02-13,-0.0068423997224665856
2015-02-17,-0.005091956349676963
2015-02-18,0.012644682945624597
2015-02-19,-0.021187412371753367
2015-02-20,0.011167146108145065
2015-02-23,0.011195367366272135
2015-02-24,-0.019150112882074244
2015-02-25,0.0006102480411329658
2015-02-26,-0.012957530944634366
2015-02-27,0.013590372514690863
2015-03-02,0.008990129891540466
2015-03-03,-0.0037754224902770694
2015-03-04,-0.01045929500076137
2015-03-05,0.0038297871974604103
2015-03-06,-0.0299101088415753
2015-03-09,0.005191421186641287
2015-03-10,-0.0001566789679563474
2015-03-11,0.0061041467054139265
2015-03-12,0.013223533442191515
2015-03-13,0.0030708683942595183
2015-03-16,0.015765880882397276
2015-03-17,0.0016578878556077203
2015-03-18,0.02407101211993501
2015-03-19,-0.004995139080342992
2015-03-20,0.03203929734876798
2015-03-23,-0.004148776281604594
2015-03-24,-0.014222087496538416
2015-03-25,-0.017342202923484096
2015-03-26,-0.008304795525256203
2015-03-27,0.008822999704084511
2015-03-30,0.01749191997499655
2015-03-31,-0.008741261314117788
2015-04-01,-0.00484994940632022
2015-04-02,0.010338291570256786
2015-04-06,0.01125523042414267
2015-04-07,-0.02182673114641487
2015-04-08,0.0008863739575899476
2015-04-09,-0.02318009307301705
2015-04-10,0.002871563505382202
2015-04-13,-0.005727105386402198
2015-04-14,0.003486630160805637
2015-04-15,-0.00740205978615438
2015-04-16,0.00350034076758976
2015-04-17,-0.009553998371893413
2015-04-20,-0.0026027732381291857
2015-04-21,0.007828954493022788
2015-04-22,-0.0001522460350635857
2015-04-23,0.0027420428646824924
2015-04-24,0.0027348856768163454
2015-04-27,0.005908913853168496
2015-04-28,-0.0063261890566793655
2015-04-29,-0.024859572665350327
2015-04-30,-0.024094734336093437
2015-05-01,0.006531021839738527
2015-05-04,0.00996969313466245
2015-05-05,-0.02538391826580222
2015-05-06,0.003537087038343989
2015-05-07,0.019384826430686175
2015-05-08,0.02090203344843955
2015-05-11,-0.014162583014628027
2015-05-12,0.00608984931055967
2015-05-13,-0.007915405028771083
2015-05-14,0.02362338148300136
2015-05-15,0.007030380899856414
2015-05-18,-0.0002293684056050571
2015-05-19,-0.00489383250169273
2015-05-20,-0.003995531470064706
2015-05-21,-0.003857788052529565
2015-05-22,0.003717843248818742
2015-05-26,-0.011728429713970479
2015-05-27,0.010149962978118099
2015-05-28,-0.010047976389757074
2015-05-29,-0.01405387518893686
2015-06-01,0.01758011184063446
2015-06-02,-0.011673283998640094
2015-06-03,-0.015747919592005055
2015-06-04,-0.004159916487929571
2015-06-05,-0.00771222284436901
2015-06-08,-0.0019429732261879717
2015-06-09,-0.009571556489987088
2015-06-10,0.008845107374046535
2015-06-11,0.0058450985568963
2015-06-12,-0.005165580481488408
2015-06-15,-0.006003463710581358
2015-06-16,0.0027750643774560046
2015-06-17,0.005371902063037837
2015-06-18,0.020239898248491928
2015-06-19,-0.012061788652099947
2015-06-22,-0.010281104127601082
2015-06-23,-0.006167803422356011
2015-06-24,-0.011595529881925803
2015-06-25,-0.01024445359799886
2015-06-26,0.00600973018105444
2015-06-29,-0.01924981626738531
2015-06-30,-0.0020305175227572914
2015-07-01,0.021193614100148972
2015-07-02,0.00464846121865925
2015-07-06,0.008924691665353146
2015-07-07,0.02538897576695165
2015-07-08,-0.003195042842619955
2015-07-09,-0.007852427673998075
2015-07-10,0.007753151672126313
2015-07-13,-0.0012822653443704812
2015-07-14,0.0017655238115503735
2015-07-15,0.0012814703879850953
2015-07-16,0.007519883316980724
2015-07-17,-0.0076225525430551055
2015-07-20,0.0033605936210765464
2015-07-21,-0.003349337857637469
2015-07-22,0.005280869158017953
2015-07-23,-0.013371493938937107
2015-07-24,0.0014516303135929665
2015-07-27,0.001611611717620809
2015-07-28,0.004181907183004263
2015-07-29,0.014736470153628778
2015-07-30,-0.00015784327174372947
2015-07-31,0.009946487520717362
2015-08-03,0.0070344522616636596
2015-08-04,-0.0076062869645571185
2015-08-05,-0.009541869325953911
2015-08-06,-0.0011056903817077135
2015-08-07,0.003952762027696455
2015-08-10,-0.012440602068643725
2015-08-11,0.010683959607559856
2015-08-12,0.003628852112169012
2015-08-13,0.002672279908227937
2015-08-14,0.005331014457917949
2015-08-17,0.005735837162379687
2015-08-18,0.0007811659785501579
2015-08-19,-0.006713577725205533
2015-08-20,-0.006758693793091797
2015-08-21,-0.01930677013445503
2015-08-24,-0.056479105683854613
2015-08-25,-0.02360188203105873
2015-08-26,0.03871094757353655
2015-08-27,0.024957598959999716
2015-08-28,0.0016454652696311634
2015-08-31,-0.025788187568385967
2015-09-01,-0.015680702851044503
