Date,DAY
2018-04-27,-0.022108255269134736
2018-04-30,0.03473130570260996
2018-05-01,-0.0031665732017516213
2018-05-02,0.040343090096292
2018-05-03,0.0317557531458732
2018-05-04,0.008878343561177227
2018-05-07,-0.0029333667842035283
2018-05-08,-0.030597259904997287
2018-05-09,0.01578150062893302
2018-05-10,-0.01015835495033035
2018-05-11,0.03773015272260327
2018-05-14,0.0610819781523706
2018-05-15,0.012883805553751682
2018-05-16,0.006765899724980429
2018-05-17,0.030376372175803912
2018-05-18,-0.03939478382719708
2018-05-21,-0.0450841896026809
2018-05-22,-0.023890789426431636
2018-05-23,-0.010198090828476225
2018-05-24,-0.00765387479797941
2018-05-25,-0.0032631448632174376
2018-05-29,0.01904771528006588
2018-05-30,0.012558308101630056
2018-05-31,-0.0043264412778653005
2018-06-01,0.00028963851102603577
2018-06-04,0.04141327413058482
2018-06-05,0.01084536706278283
2018-06-06,0.049793712497116616
2018-06-07,-0.027515703387293255
2018-06-08,0.007814629769810733
2018-06-11,-0.024331545729548543
2018-06-12,0.030967311631689975
2018-06-13,0.0010632885875347942
2018-06-14,0.014073254950724534
2018-06-15,0.006808121120188471
2018-06-18,0.03459032483659552
2018-06-19,-0.06485666404042623
2018-06-20,-0.005107592406168426
2018-06-21,-0.012429049049835217
2018-06-22,-0.021887804480427264
2018-06-25,-0.026013994550371455
2018-06-26,0.006030990416805437
2018-06-27,-0.01998278540209064
2018-06-28,-0.008447448297687288
2018-06-29,-0.024970689364189447
2018-07-02,-0.011147904404762987
2018-07-03,0.017062808607500646
2018-07-05,0.01647690891136344
2018-07-06,-0.0023578494056919475
2018-07-09,-0.027474160918700807
2018-07-10,0.00607535765685796
2018-07-11,-0.016304260816573324
2018-07-12,0.058317912964958696
2018-07-13,0.005220426553523838
2018-07-16,0.013271756679104518
2018-07-17,-0.006548962107954859
2018-07-18,0.00028667630855383486
2018-07-19,-0.001719236981881589
2018-07-20,0.005453462281195476
2018-07-23,0.0008564828729560325
2018-07-24,-0.002852318451263436
2018-07-25,-0.006864927633139617
2018-07-26,0.005760280564821363
2018-07-27,-0.025773131683094364
2018-07-30,-0.05702523811301885
2018-07-31,0.02119689687237658
2018-08-01,0.024725317911832745
2018-08-02,0.036937792366378286
2018-08-03,0.01982185002837733
2018-08-06,0.04873238147144576
2018-08-07,0.00026865797350117404
2018-08-08,0.010741076615282008
2018-08-09,-0.1097237283497684
2018-08-10,0.05013429989031759
2018-08-13,-0.022733710380237193
2018-08-14,0.004070933182120928
2018-08-15,-0.0199825847408569
2018-08-16,0.026891248324729
2018-08-17,-0.01956835410577784
2018-08-20,-0.0008805042431929699
2018-08-21,0.020564064163116624
2018-08-22,0.017558916700697758
2018-08-23,0.01782181316291842
2018-08-24,0.05169540394707717
2018-08-27,0.016120523464370207
2018-08-28,0.005201580207307321
2018-08-29,-0.009314375061809987
2018-08-30,0.007051461251184721
2018-08-31,-0.0015560521564861318
2018-09-04,0.003376651119876284
2018-09-05,-0.0421952115725055
2018-09-06,0.013783738419816283
2018-09-07,0.0055985846058907995
2018-09-10,-0.005037180149982778
2018-09-11,-0.003996741701584705
2018-09-12,-0.022471913552308598
2018-09-13,0.0175150348553077
2018-09-14,0.1148467031391942
2018-09-17,0.05548852098253709
2018-09-18,0.005714285714285783
2018-09-19,-0.013181859796697393
2018-09-20,-0.009442650039201195
2018-09-21,-0.023250407789468408
2018-09-24,0.007141229796337356
2018-09-25,-0.027416681866249792
2018-09-26,-0.004617313107188048
2018-09-27,0.020263717031413053
2018-09-28,0.005742949473838355
2018-10-01,0.023078782985378687
2018-10-02,0.0
2018-10-03,0.03000002129133361
2018-10-04,-0.05034995475591708
2018-10-05,-0.04232055482348318
2018-10-08,-0.0014895124233367252
2018-10-09,-0.03580314265791251
2018-10-10,-0.07942233402033294
2018-10-11,0.0
2018-10-12,0.014565838841759549
2018-10-15,0.023191610278239017
2018-10-16,0.038046405697877095
2018-10-17,-0.02209519786448355
2018-10-18,-0.03615100076993616
2018-10-19,0.00027584491708387837
2018-10-22,0.025365264883761007
2018-10-23,-0.025275575730564825
2018-10-24,-0.011586156384698287
2018-10-25,0.02651400780612856
2018-10-26,-0.010331627678896615
2018-10-29,-0.01978025248683668
2018-10-30,0.022141281075402475
2018-10-31,0.041129694263582595
2018-11-01,0.02001575710033987
2018-11-02,-0.018848426306853905
2018-11-05,0.0007894415604441374
2018-11-06,-0.0007888188340727798
2018-11-07,0.03289473684210531
2018-11-08,0.00305729762763729
2018-11-09,-0.005333987558292397
2018-11-12,-0.0676711321809168
2018-11-13,-0.009312521726065448
2018-11-14,0.0030412113884485947
2018-11-15,0.02811467729005912
2018-11-16,0.04450401826718453
2018-11-19,-0.08521559991892791
2018-11-20,0.01234574772563124
2018-11-21,0.00720616153931064
2018-11-23,0.0192625415520149
2018-11-26,0.03860691873191402
2018-11-27,-0.0020795900316122884
2018-11-28,0.035425908621355084
2018-11-29,0.0067924643462558
2018-11-30,0.0024987124681976614
2018-12-03,-0.014955096961487002
2018-12-04,-0.0460526233234565
2018-12-06,0.015119354994404866
2018-12-07,-0.0013064864505483165
2018-12-10,-0.016745143098053084
2018-12-11,-0.019425314565321483
2018-12-12,0.00922659882405874
2018-12-13,-0.015057746148760875
2018-12-14,-0.03794702017790463
2018-12-17,-0.041713994060373794
2018-12-18,0.030500407620221992
2018-12-19,-0.0126436389757274
2018-12-20,-0.021827706247887768
2018-12-21,-0.044034499118113746
2018-12-24,-0.004979824134507149
2018-12-26,0.0810135162828931
2018-12-27,0.017939783195839665
