Date,ICE
2015-01-05,0.00546773749370244
2015-01-06,-0.014303305316022419
2015-01-07,0.01414009929232285
2015-01-08,0.012571484614480655
2015-01-09,0.0005866584035765232
2015-01-12,-0.0261695940087322
2015-01-13,-0.02932850464811465
2015-01-14,-0.007160276357819018
2015-01-15,-0.011153511330397325
2015-01-16,0.018085807811194732
2015-01-20,-0.0068284317732087985
2015-01-21,-0.006779978724503977
2015-01-22,0.03693845926340944
2015-01-23,0.011764914256537695
2015-01-26,0.004799319565685911
2015-01-27,-0.02319199994953558
2015-01-28,-0.034132247763415835
2015-01-29,-0.0027744901849079406
2015-01-30,0.004197525267150226
2015-02-02,0.013026695511020536
2015-02-03,0.014202649900354025
2015-02-04,0.017173974283238413
2015-02-05,0.05046513038192679
2015-02-06,0.012707423715684563
2015-02-09,0.0013554321811573011
2015-02-10,0.00991156255354797
2015-02-11,0.0023342125159904192
2015-02-12,0.011171601394839747
2015-02-13,-0.005161234280416815
2015-02-17,0.006817753906830593
2015-02-18,-0.00017047819132665065
2015-02-19,-0.0036630271353572663
2015-02-20,0.004745057220410853
2015-02-23,-0.0025528478846652547
2015-02-24,0.004735014066461041
2015-02-25,0.01409588653826832
2015-02-26,-0.002595344591510673
2015-02-27,-0.012047698783369087
2015-03-02,0.01682540170717206
2015-03-03,-0.015502493177049992
2015-03-04,-0.011289335858875371
2015-03-05,0.004979504690765912
2015-03-06,-0.01576218296101395
2015-03-09,0.01523350236948029
2015-03-10,-0.025562979432852573
2015-03-11,0.00285086565656667
2015-03-12,0.009492911504151325
2015-03-13,-0.004475828974090934
2015-03-16,0.016849143696413993
2015-03-17,0.0024038286543170972
2015-03-18,-0.008736230637233722
2015-03-19,0.02263814399098285
2015-03-20,-4.252576597585378e-05
2015-03-23,-0.005787791628479089
2015-03-24,-0.00433460993591861
2015-03-25,-0.014339818304029861
2015-03-26,-0.005195911879051662
2015-03-27,0.009706277464213375
2015-03-30,0.012932103387848448
2015-03-31,-0.007276962878135063
2015-04-01,-0.010074288205729087
2015-04-02,-0.008877618770903983
2015-04-06,0.002010085957773189
2015-04-07,0.002092894123884026
2015-04-08,0.003002417468287444
2015-04-09,0.0016920575916452574
2015-04-10,0.0044174931712614995
2015-04-13,-0.0048297806536338195
2015-04-14,-0.00827557113988886
2015-04-15,0.003976016046549846
2015-04-16,0.0003917031223374945
2015-04-17,-0.027014000930072557
2015-04-20,0.008941613998798559
2015-04-21,-0.006868387411655963
2015-04-22,0.006648049553972246
2015-04-23,-0.0018614300439203646
2015-04-24,-0.007993510498325307
2015-04-27,-0.0028646624605420667
2015-04-28,0.0069134278874158905
2015-04-29,0.002095237079734913
2015-04-30,-0.0010232281891724426
2015-05-01,0.005745746319557821
2015-05-04,0.0034093830241377354
2015-05-05,0.02462617210715523
2015-05-06,-0.02114855398556581
2015-05-07,0.025653462431040497
2015-05-08,0.022094653395529074
2015-05-11,0.007387555648274091
2015-05-12,-0.00024984511505243834
2015-05-13,0.0005836310915079412
2015-05-14,0.0017907141140403038
2015-05-15,-0.00723412210268104
2015-05-18,-0.004565267472025347
2015-05-19,0.0007151394883322393
2015-05-20,-0.00878724228289507
2015-05-21,-0.0017388707797502123
2015-05-22,0.006458405446743809
2015-05-26,-0.013467524868344016
2015-05-27,0.004279527970772357
2015-05-28,0.00749952867966841
2015-05-29,0.0014379643177402368
2015-06-01,-0.005236837113090864
2015-06-02,0.0015281942892830802
2015-06-03,-0.007036884011134448
2015-06-04,0.004440172806424503
2015-06-05,0.005398021372342798
2015-06-08,-0.004143229892136668
2015-06-09,0.005561103379024379
2015-06-10,0.015155477091801206
2015-06-11,0.0063623037705757834
2015-06-12,-0.011191529400011446
2015-06-15,-0.00519795192880268
2015-06-16,-0.0122628012956012
2015-06-17,-0.0003841963712259977
2015-06-18,-0.002389593129057177
2015-06-19,-0.018695118330493865
2015-06-22,0.006582620653110549
2015-06-23,-0.0044605962205744865
2015-06-24,-0.007831071166371384
2015-06-25,-0.001446741467404311
2015-06-26,-0.006894327272256584
2015-06-29,-0.01711171625567043
2015-06-30,0.0059383480054848725
2015-07-01,0.009525388062660012
2015-07-02,0.005758875369795025
2015-07-06,-0.011760243806137272
2015-07-07,0.01274659807842271
2015-07-08,-0.023631982922499795
2015-07-09,0.011583776148464286
2015-07-10,0.022456763234241395
2015-07-13,-0.0020482988993817397
2015-07-14,-0.0044101462514892775
2015-07-15,0.004078984394013219
2015-07-16,0.01485209119114117
2015-07-17,-0.0025820953698795224
2015-07-20,-0.0009064517646719672
2015-07-21,0.0008203009218039625
2015-07-22,0.006862635413642071
2015-07-23,-0.014788772239250347
2015-07-24,-0.003610862707721707
2015-07-27,-0.010960524696908003
2015-07-28,-0.0006619911983304361
2015-07-29,0.006008595691123553
2015-07-30,0.00588428346824843
2015-07-31,-0.004409088883238654
2015-08-03,0.008068737960192918
2015-08-04,0.0033490655785526346
2015-08-05,0.029872681810335422
2015-08-06,-0.0022739754450433747
2015-08-07,0.001055443573001691
2015-08-10,0.01331904537431905
2015-08-11,-0.014600425493014213
2015-08-12,-0.003038940542765989
2015-08-13,0.006478167340848717
2015-08-14,0.01236781286821853
2015-08-17,0.0014547229636288073
2015-08-18,0.012655476330922788
2015-08-19,-0.0002868556948004697
2015-08-20,0.001270344726252759
2015-08-21,-0.031028329388283482
2015-08-24,-0.049765761859049795
2015-08-25,-0.010714257494853996
2015-08-26,0.030648517439405554
2015-08-27,0.01146803882048375
2015-08-28,0.0018966298870524145
2015-08-31,-0.017210908137645142
2015-09-01,-0.017030739442316478
