Date,OMC
2015-01-05,-0.01791127242012802
2015-01-06,-0.0065706501734412726
2015-01-07,0.003374654135688715
2015-01-08,0.01574060063435967
2015-01-09,-0.008741935352308716
2015-01-12,-0.005879329771853015
2015-01-13,0.0004031268762698659
2015-01-14,0.003359004654631015
2015-01-15,-0.020487304446682564
2015-01-16,0.005878538368538466
2015-01-20,0.002174361215316445
2015-01-21,0.012069228745023475
2015-01-22,0.010853848901712482
2015-01-23,-0.014316004600117727
2015-01-26,0.0030930758211134
2015-01-27,-0.01085966591381582
2015-01-28,-0.005692520704634885
2015-01-29,0.011314137797367563
2015-01-30,-0.018735617252685244
2015-02-02,0.004807599908074778
2015-02-03,0.014900873653556523
2015-02-04,-0.0021548858985224184
2015-02-05,0.015658520617024108
2015-02-06,-0.004917921204701137
2015-02-09,0.012555215472020986
2015-02-10,-0.008178163056895782
2015-02-11,0.005852105602726754
2015-02-12,0.011106473820454488
2015-02-13,0.014254011366869879
2015-02-17,-0.00464182081069997
2015-02-18,0.0016841777629055255
2015-02-19,0.0073710832366205015
2015-02-20,0.0005133064396449782
2015-02-23,-0.0014113883367464775
2015-02-24,0.0038549274585235604
2015-02-25,0.013054997457617956
2015-02-26,0.01326576313100003
2015-02-27,-0.00822962913018066
2015-03-02,0.012320856538937441
2015-03-03,-0.0072030450531974655
2015-03-04,-0.010757906159545638
2015-03-05,-0.0035633025875921875
2015-03-06,-0.015197609022860492
2015-03-09,0.007391736411686223
2015-03-10,-0.014418278867412537
2015-03-11,-0.002612120477404889
2015-03-12,0.017548272406303633
2015-03-13,-0.008236768492400182
2015-03-16,0.012068680272829146
2015-03-17,-0.010899005331288847
2015-03-18,0.012833595260482555
2015-03-19,0.001279987292192697
2015-03-20,0.0010226121974312719
2015-03-23,0.0020428608689184724
2015-03-24,-0.006116361921436497
2015-03-25,-0.009488423545111258
2015-03-26,-0.005177924219065599
2015-03-27,0.002211451813924903
2015-03-30,0.013243823357980355
2015-03-31,-0.0007688778496732773
2015-04-01,-0.003847072037157062
2015-04-02,0.01338821917425781
2015-04-06,0.003810839696041235
2015-04-07,-0.009491304449428584
2015-04-08,0.008176785076710491
2015-04-09,-0.010010925747028665
2015-04-10,0.006399996371876382
2015-04-13,-0.015263500575852351
2015-04-14,0.006845869649400038
2015-04-15,-0.007183792084730745
2015-04-16,0.0
2015-04-17,-0.005814947955126826
2015-04-20,0.012217413787954934
2015-04-21,-0.015921893332226822
2015-04-22,0.01591859728296674
2015-04-23,-0.0007703106965771811
2015-04-24,-0.0038561785931823245
2015-04-27,-0.003097009691791719
2015-04-28,-0.011778281333353569
2015-04-29,-0.0014408812619346456
2015-04-30,-0.0062956839473155
2015-05-01,0.01306771683224306
2015-05-04,0.004169044953128642
2015-05-05,-0.010380106603111838
2015-05-06,-0.006949441510955223
2015-05-07,0.0072620789425863475
2015-05-08,0.010486374917754615
2015-05-11,-0.0025942313308442433
2015-05-12,-0.006112816969865209
2015-05-13,0.0044489153380598
2015-05-14,0.013418682950554928
2015-05-15,0.004370493952419174
2015-05-18,-0.0014075050814740253
2015-05-19,-0.0029481202662988704
2015-05-20,-0.0028282792316073335
2015-05-21,0.00025784555300512046
2015-05-22,-0.007990944108637543
2015-05-26,-0.018968062312893164
2015-05-27,0.0015890657376866901
2015-05-28,-0.0034374068651182865
2015-05-29,-0.011145543602271601
2015-06-01,0.0021467586005030626
2015-06-02,-0.0010709362099767805
2015-06-03,0.004825063045480693
2015-06-04,-0.013205064213441142
2015-06-05,-0.005542191246920791
2015-06-08,-0.002718427078706176
2015-06-09,-0.007632446218730604
2015-06-10,0.012446388446165413
2015-06-11,-0.0012292652065589715
2015-06-12,-0.008479325865159204
2015-06-15,-0.010758552593409743
2015-06-16,0.008505249681058702
2015-06-17,0.004009279511185682
2015-06-18,0.0017902027181040392
2015-06-19,-0.008247652643312176
2015-06-22,0.008593253152099578
2015-06-23,-0.012642512235847225
2015-06-24,-0.012665048412222268
2015-06-25,-0.004510854306582712
2015-06-26,0.0031150997069699926
2015-06-29,-0.02315083226771275
2015-06-30,0.004190701937374364
2015-07-01,0.005900359038880643
2015-07-02,-0.0077256132113965315
2015-07-06,-0.0014414606637421779
2015-07-07,0.018336378876910198
2015-07-08,-0.010917256997040048
2015-07-09,0.017632184642388138
2015-07-10,0.02394689884952661
2015-07-13,-0.0005503462693065009
2015-07-14,0.0
2015-07-15,0.004817447716933376
2015-07-16,0.006164447486993074
2015-07-17,0.004765340633487325
2015-07-20,0.003522868595152051
2015-07-21,-0.012152433855608713
2015-07-22,0.007381509136710651
2015-07-23,-0.008955255405834306
2015-07-24,-0.016429591292594692
2015-07-27,-0.0051501939541285235
2015-07-28,0.01315256433083567
2015-07-29,0.010909894347394644
2015-07-30,-0.004371512427209789
2015-07-31,0.002744118385220151
2015-08-03,-0.004926173058227068
2015-08-04,0.0008251789243907126
2015-08-05,0.015938547607979858
2015-08-06,-0.022585919663007936
2015-08-07,0.0026289679978341862
2015-08-10,0.021114767616528418
2015-08-11,-0.015136863522099309
2015-08-12,0.001783768250300577
2015-08-13,0.0015071716628942688
2015-08-14,0.006291747983569351
2015-08-17,0.00407786309104563
2015-08-18,-0.008258136405609129
2015-08-19,-0.009691334581141131
2015-08-20,-0.02963437819485626
2015-08-21,-0.02116496753890673
2015-08-24,-0.030619896770905375
2015-08-25,-0.009580602534003058
2015-08-26,0.019044626877301463
2015-08-27,0.005488310849930622
2015-08-28,-0.0007378151580357262
2015-08-31,-0.011219497990798466
2015-09-01,-0.02702304739605188
