Date,JBHT
2015-01-05,-0.01646226290036734
2015-01-06,-0.017226510599148925
2015-01-07,-0.0016162904151120205
2015-01-08,0.011829377537111663
2015-01-09,-0.005537596064622674
2015-01-12,-0.011632587919686577
2015-01-13,0.0026292560271401477
2015-01-14,-0.020853854761551438
2015-01-15,-0.0016580278382852809
2015-01-16,0.01967323549231348
2015-01-20,0.020796752734794755
2015-01-21,0.00687263380820724
2015-01-22,0.026694195245838825
2015-01-23,-0.014365873985820676
2015-01-26,-0.003372323093018492
2015-01-27,-0.012932101404138696
2015-01-28,-0.014325885302797547
2015-01-29,-0.004347624142662321
2015-01-30,-0.006737668533647434
2015-02-02,0.020223498943307883
2015-02-03,0.009603783035749824
2015-02-04,0.0
2015-02-05,0.014390235060463441
2015-02-06,-0.013825374665021206
2015-02-09,-0.01048411188664733
2015-02-10,0.0018532380310629648
2015-02-11,-0.0013568862468917864
2015-02-12,0.009753550683798018
2015-02-13,0.013326659562948873
2015-02-17,0.0043438014130174896
2015-02-18,-0.0012012807741798026
2015-02-19,-0.002886743458582086
2015-02-20,0.027140937429487977
2015-02-23,0.007751104496386274
2015-02-24,0.005710031978528374
2015-02-25,-0.0031282102940610734
2015-02-26,-0.0001167692335329873
2015-02-27,-0.006044978199879925
2015-03-02,0.0008189152124109533
2015-03-03,-0.008998340737064514
2015-03-04,-0.010849264420387361
2015-03-05,0.006318561651037058
2015-03-06,0.0018953087451676343
2015-03-09,-0.00047265770990734257
2015-03-10,-0.008991301330565915
2015-03-11,0.03617079154238123
2015-03-12,-0.004493281704880836
2015-03-13,0.004050386185936672
2015-03-16,0.029276439033315782
2015-03-17,-0.006271036075387926
2015-03-18,0.005859784663869494
2015-03-19,-0.007954381741630434
2015-03-20,0.01648773595339681
2015-03-23,-0.012776002231374872
2015-03-24,-0.012379208102726857
2015-03-25,-0.0239288586909292
2015-03-26,-0.003151582066545977
2015-03-27,-0.00702689266590395
2015-03-30,0.0063687295389542875
2015-03-31,0.000820251197868993
2015-04-01,-0.0018736323958811196
2015-04-02,-0.012552464110971218
2015-04-06,0.007128145862794533
2015-04-07,-0.0009436794581274555
2015-04-08,0.01735723283988344
2015-04-09,0.0033659920742039606
