Date,MCHP
2015-01-05,-0.022287147051073042
2015-01-06,-0.0193750038817041
2015-01-07,0.005578884321413291
2015-01-08,0.03189980057195063
2015-01-09,-0.0026880025929759688
2015-01-12,-0.011006165208336971
2015-01-13,-0.0013627809822223114
2015-01-14,0.023652418655481178
2015-01-15,-0.012219456550996544
2015-01-16,0.008547084405786887
2015-01-20,0.009366410579086493
2015-01-21,0.020106229895326955
2015-01-22,0.008013905978160318
2015-01-23,-0.00042989570865370474
2015-01-26,0.005804421882912747
2015-01-27,-0.021372401866414314
2015-01-28,-0.0017472351601452996
2015-01-29,0.0030630904131179193
2015-01-30,-0.01635759772315537
2015-02-02,-0.007317415377769643
2015-02-03,0.01831564058520896
2015-02-04,0.016232032258599594
2015-02-05,0.05849324785811749
2015-02-06,-0.008156442144743759
2015-02-09,-0.015624846075259602
2015-02-10,0.020885167780987812
2015-02-11,-0.00020451365873497274
2015-02-12,0.022713253667556055
2015-02-13,0.014605710208122069
2015-02-17,0.003943962640277965
2015-02-18,-0.003928468905680438
2015-02-19,0.003515234799360778
2015-02-20,0.007916328684526963
2015-02-23,-0.006087140016859616
2015-02-24,0.01797729554257721
2015-02-25,-0.0034930576520167955
2015-02-26,0.00233683763597603
2015-02-27,-0.0038857398892461203
2015-03-02,0.022235190035478913
2015-03-03,-0.018698684818315936
2015-03-04,0.0009720997926918606
2015-03-05,-0.011654865496562028
2015-03-06,-0.0025549822199127936
2015-03-09,0.011428753679167514
2015-03-10,-0.035067304412086275
2015-03-11,-0.01029685085976606
2015-03-12,0.013667765411610633
2015-03-13,-0.0034213262985522963
2015-03-16,0.01837653356000679
2015-03-17,-0.013880744070335682
2015-03-18,0.009652319520712993
2015-03-19,0.00179225837654573
2015-03-20,0.011331991451647871
2015-03-23,-0.009632149173054994
2015-03-24,-0.015085109806770358
2015-03-25,-0.03083470684293088
2015-03-26,0.0024954450150462826
2015-03-27,0.02074257852521333
2015-03-30,0.013818223318747158
2015-03-31,-0.01984372823260694
2015-04-01,-0.012065267657913159
2015-04-02,-0.002691095439312119
2015-04-06,0.0029056398962210572
2015-04-07,0.01262461518560376
2015-04-08,-0.00020448694891839203
2015-04-09,0.00981204139547942
2015-04-10,0.012145781482255869
