Date,SRE
2015-01-05,-0.0182886473788193
2015-01-06,-0.009360095194454465
2015-01-07,0.016145228767946884
2015-01-08,0.008937359049832505
2015-01-09,-0.009037258403627013
2015-01-12,-0.005417403573906854
2015-01-13,0.005991391376303223
2015-01-14,0.005865980029657214
2015-01-15,0.006100716253234051
2015-01-16,0.007223344871636561
2015-01-20,0.0063744126523785916
2015-01-21,0.007301990550924176
2015-01-22,8.720657369254425e-05
2015-01-23,0.004977646363886201
2015-01-26,-0.004779365961801507
2015-01-27,8.75535710900266e-05
2015-01-28,-0.010476943070755418
2015-01-29,0.01411716213164782
2015-01-30,-0.02627444286063174
2015-02-02,0.011258259537050508
2015-02-03,0.005566227213888775
2015-02-04,-0.01564013619340987
2015-02-05,0.012406924672074382
2015-02-06,-0.045935328570747
2015-02-09,-0.0030495015595376485
2015-02-10,0.023173646482193888
2015-02-11,-0.029534139864810238
2015-02-12,-0.004200787708240283
2015-02-13,-0.010406058642999483
2015-02-17,0.006631585631173165
2015-02-18,0.032467250344287324
2015-02-19,-0.004648666407490509
2015-02-20,0.00677687134843441
2015-02-23,0.005548235729228024
2015-02-24,-0.002532957177938
2015-02-25,-0.01478146415744852
2015-02-26,-0.0017494172507803718
2015-02-27,-0.0023051074107411917
2015-03-02,-0.009889092551399803
2015-03-03,0.014375066902208467
2015-03-04,-0.00699340151929051
2015-03-05,0.00834006718643665
2015-03-06,-0.0166346196233782
2015-03-09,0.00934587393040398
2015-03-10,-0.011110989101275281
2015-03-11,-0.006086128443623329
2015-03-12,0.022044366043550534
2015-03-13,-0.019632689233267775
2015-03-16,0.022188490668729965
2015-03-17,0.00496652412363896
2015-03-18,0.027914906929150884
2015-03-19,-0.014513069153877955
2015-03-20,0.01011916219475184
2015-03-23,-0.002414945575169636
2015-03-24,-0.004931776740310756
2015-03-25,-0.007526019533302786
2015-03-26,-0.02083167501306471
2015-03-27,0.012410412198874177
2015-03-30,0.010783467179942496
2015-03-31,-0.005926987822413188
2015-04-01,0.007705267254139114
2015-04-02,0.0010012393377683004
2015-04-06,0.004546901051847518
2015-04-07,-0.005974929507813864
2015-04-08,-0.010927718191448
2015-04-09,-0.006537328065753023
2015-04-10,-0.0004633936564216734
2015-04-13,0.0007419491927240784
2015-04-14,0.0037060206774799376
2015-04-15,0.00212303295528371
2015-04-16,-0.008843222383393856
2015-04-17,-0.008643135236263144
2015-04-20,0.016780926266726892
2015-04-21,-0.00968092555666944
2015-04-22,0.0033517136352294585
2015-04-23,0.007330294600127019
2015-04-24,0.008751145868003407
2015-04-27,-0.009862126429073026
2015-04-28,0.005072219694360669
2015-04-29,-0.012295915692542403
2015-04-30,-0.013656897133342838
2015-05-01,0.005934477250460368
2015-05-04,0.009456526097562756
2015-05-05,-0.03227861968676271
2015-05-06,-0.010639513464335781
2015-05-07,0.005522225036811879
2015-05-08,0.01994410476382802
2015-05-11,-0.008218648431054909
2015-05-12,0.003714793420425133
2015-05-13,-0.010628260018691438
2015-05-14,0.011317980368025005
2015-05-15,0.013467441267987379
2015-05-18,0.005240578420116604
2015-05-19,0.0037236157361772992
2015-05-20,-0.0006495446843999275
2015-05-21,-0.0005566122508208204
2015-05-22,-0.0008359695947813828
2015-05-26,-0.004739364299735649
2015-05-27,0.0028947316708916038
2015-05-28,0.005400272864554578
2015-05-29,-0.004723074092725432
2015-06-01,0.001116614061955179
