Date,BDX
2015-01-05,0.006148899314062595
2015-01-06,-0.0019188550878973532
2015-01-07,0.023424861162250288
2015-01-08,0.01822759956651443
2015-01-09,-0.011820443544881987
2015-01-12,-0.0073981654244587025
2015-01-13,-0.01281725290826119
2015-01-14,-0.0064208411955098965
2015-01-15,-0.0009941503943960983
2015-01-16,-0.002061737024333987
2015-01-20,-0.0007122081573798233
2015-01-21,0.01832053105180842
2015-01-22,0.0162405220508981
2015-01-23,-0.012192425027123699
2015-01-26,0.0006278134163784088
2015-01-27,-0.008851058014281987
2015-01-28,-0.009843521330855864
2015-01-29,-0.003621618984950281
2015-01-30,-0.015893855138270907
2015-02-02,0.010428788620677976
2015-02-03,0.01225644527031089
2015-02-04,-0.009275515309104532
2015-02-05,0.03837877617574148
2015-02-06,-0.013559010683190764
2015-02-09,-0.016536479390060088
2015-02-10,0.006101739349372748
2015-02-11,0.00014092782753793998
2015-02-12,0.008178659697579915
2015-02-13,0.005035373627665596
2015-02-17,0.0007655237823442906
2015-02-18,0.00048670369761261156
2015-02-19,-0.003474999903062548
2015-02-20,0.014784720495095716
2015-02-23,0.009415099573427899
2015-02-24,0.0123914785863386
2015-02-25,-0.003968030386608423
2015-02-26,0.0029034450744285234
2015-02-27,-0.012252625322864086
2015-03-02,0.008996703988876753
2015-03-03,-0.012023273139223245
2015-03-04,0.01435758273615595
2015-03-05,0.007684035166826364
2015-03-06,-0.02699821775911182
2015-03-09,0.0022777484941864934
2015-03-10,-0.019419968070439775
2015-03-11,-0.009832294895656735
2015-03-12,0.014540040711131796
2015-03-13,-0.008319384899211468
2015-03-16,0.003101998477707424
2015-03-17,-0.005200916748327122
2015-03-18,0.020911401092447823
2015-03-19,0.0029064669362122153
2015-03-20,-0.0014488962215432055
2015-03-23,0.00538929735751581
2015-03-24,-0.008934368992776553
2015-03-25,-0.011026508068813001
2015-03-26,0.004207496583928272
2015-03-27,0.00963618052912163
2015-03-30,0.007261894036238559
2015-03-31,-0.014075993237378404
2015-04-01,-0.011421018846670017
2015-04-02,-0.005072379549195594
2015-04-06,0.0016285031329672517
2015-04-07,-0.005302013254260385
2015-04-08,0.004619221578715971
2015-04-09,0.008135739758406313
2015-04-10,0.004911880204330199
2015-04-13,-0.0053070682541265235
2015-04-14,-0.008002755495675196
2015-04-15,-0.0035381054661386413
2015-04-16,0.011220804742625878
2015-04-17,-0.0060397816273943805
2015-04-20,0.019006474393521655
2015-04-21,0.009360882104403334
2015-04-22,-0.008518355579391512
2015-04-23,0.00013873205966619118
2015-04-24,-0.00013871281575150718
2015-04-27,-0.01586620119683224
2015-04-28,0.0086589926163958
2015-04-29,-0.007607810861310571
2015-04-30,-0.009213596790820233
2015-05-01,0.009370475687669577
2015-05-04,0.012307463242327454
2015-05-05,-0.013477900951098354
2015-05-06,-0.006478882094366645
2015-05-07,0.012191728802124713
2015-05-08,-0.005532505134273169
2015-05-11,-0.003027619676519322
2015-05-12,-0.017092880361161855
2015-05-13,-0.0021556083589083785
2015-05-14,0.015698905670831875
2015-05-15,0.003119878033909007
2015-05-18,0.0009188932921562198
2015-05-19,-0.0013418540216700858
2015-05-20,-0.00028285142840611677
2015-05-21,0.007285468882694657
2015-05-22,-0.0033005755617318
2015-05-26,-0.011694914829995295
2015-05-27,0.009053042776856035
2015-05-28,-0.0008477108011304413
2015-05-29,-0.00650454430509062
2015-06-01,0.0022062138610836612
2015-06-02,-0.002201357196323972
2015-06-03,0.0004977255814611059
2015-06-04,-0.0027738754920914044
2015-06-05,0.0031520499046300277
2015-06-08,-0.0032852384512039867
2015-06-09,-0.01175044310638762
2015-06-10,0.015370160585062909
2015-06-11,0.005783840544993701
2015-06-12,-0.008944853133889374
2015-06-15,-0.007306757568175004
2015-06-16,0.004762370738760513
2015-06-17,0.003734810780379405
2015-06-18,0.007512830860577191
2015-06-19,0.007243777671702256
2015-06-22,0.008037488410543414
2015-06-23,0.0013990283887101995
2015-06-24,-0.010267298474426534
2015-06-25,0.0014820459403515063
2015-06-26,0.0009162149723869195
2015-06-29,-0.001830561000372044
2015-06-30,-0.0009172469488919477
2015-07-01,0.01108373059346568
2015-07-02,-0.0002794312092866402
2015-07-06,-0.0037012810737921953
2015-07-07,0.004135852997584122
2015-07-08,-0.01466061671579566
2015-07-09,0.004888716908470814
2015-07-10,0.017203591793005124
2015-07-13,0.01164478483271969
2015-07-14,0.008770005364761468
2015-07-15,-0.0032600602724551786
2015-07-16,0.008518034562174925
2015-07-17,0.0003378240064406679
2015-07-20,0.0007429373165785957
2015-07-21,-0.004387337051343643
2015-07-22,0.0033899547440303657
2015-07-23,0.0010808165962832295
2015-07-24,-0.005871773661934698
2015-07-27,-0.006585067700850988
2015-07-28,0.024260234794302393
2015-07-29,0.01407805611492896
2015-07-30,6.534947586733786e-05
2015-07-31,0.000987219850333787
2015-08-03,0.001840380853314283
2015-08-04,-0.0005248571638718502
2015-08-05,0.009911553826229325
2015-08-06,-0.023853063136060504
2015-08-07,-0.008455501130808396
2015-08-10,0.009266568479475046
2015-08-11,-0.011311090598503104
2015-08-12,-0.004509125775919665
2015-08-13,-0.0022304983614949148
2015-08-14,0.004539307096870893
2015-08-17,0.0022257499731890285
2015-08-18,-0.010228457692808446
2015-08-19,-0.0038756030228495053
2015-08-20,-0.01999891653781205
2015-08-21,-0.011561255283372707
2015-08-24,-0.026211847677430122
2015-08-25,-0.004197024454386855
2015-08-26,0.01685766843579839
2015-08-27,0.021509876026819752
2015-08-28,-0.0008396228372589132
2015-08-31,-0.012672815230317158
