Date,SWK
2015-01-05,-0.02134983934347301
2015-01-06,-0.010003201586962995
2015-01-07,0.01719826819563708
2015-01-08,0.019021784436449085
2015-01-09,-0.01887368188548666
2015-01-12,-0.0063415154766996995
2015-01-13,-0.005744459553407744
2015-01-14,0.001283687567663172
2015-01-15,-0.019873439460716402
2015-01-16,0.001089815854659948
2015-01-20,-0.00021755408006784993
2015-01-21,0.006861640832852789
2015-01-22,0.015469646499056466
2015-01-23,-0.005113500100372814
2015-01-26,0.0009638015848454362
2015-01-27,-0.023320464428266963
2015-01-28,-0.008652558408792421
2015-01-29,0.05590511230974715
2015-01-30,-0.020089854349613523
2015-02-02,0.020181110260099944
2015-02-03,0.009839132810437468
2015-02-04,-0.008291946846505027
2015-02-05,0.005016972992649027
2015-02-06,0.0016637027517749647
2015-02-09,-0.009551323172091286
2015-02-10,0.014779627085949931
2015-02-11,-0.002582489895501583
2015-02-12,0.007456774979287317
2015-02-13,0.009456964506581844
2015-02-17,0.0012220571167604888
2015-02-18,0.0023395342474437086
2015-02-19,-0.002739912438470049
2015-02-20,0.006715741930253483
2015-02-23,-0.0025273912845016344
2015-02-24,0.014996942040247152
2015-02-25,-0.01038244109481401
2015-02-26,-0.004942836577428333
2015-02-27,-0.003041314005999274
2015-03-02,0.01124496493920124
2015-03-03,-0.005458919383244165
2015-03-04,-0.010774373847821206
2015-03-05,0.00308249152072948
2015-03-06,-0.019873040026011757
2015-03-09,0.01630433835456624
2015-03-10,-0.012546292065332754
2015-03-11,-0.009060499283605972
2015-03-12,0.01387283892456237
2015-03-13,-0.0030065524949454137
2015-03-16,-0.012060232835982232
2015-03-17,-0.00578857576942815
2015-03-18,0.0230763695919578
2015-03-19,-0.008070199368023778
2015-03-20,0.0046934647948191355
2015-03-23,-0.003425903956154275
2015-03-24,0.00020845578407580057
2015-03-25,-0.010624125485478197
2015-03-26,-0.0013684009658523344
2015-03-27,0.005797822861730362
2015-03-30,0.008384911661885264
2015-03-31,-0.00883472958022058
2015-04-01,0.0018873651656101664
2015-04-02,0.0007328265215440499
2015-04-06,0.010772806910813948
2015-04-07,-0.004966549654230379
2015-04-08,0.005927629914007859
2015-04-09,-0.003515116522081918
2015-04-10,0.00114113850087727
2015-04-13,-0.005699595517166589
2015-04-14,-0.00020823604746922353
2015-04-15,0.01104954524637769
2015-04-16,0.0018560512093357406
2015-04-17,-0.009468079200125157
2015-04-20,0.011532644148625426
2015-04-21,-0.002876105904933146
2015-04-22,0.010609987114762687
2015-04-23,0.01691976632770742
2015-04-24,0.0002004596710338813
2015-04-27,-0.0008016779800309459
2015-04-28,0.00020048192391808328
2015-04-29,-0.0009027746428020844
2015-04-30,-0.009433605647523602
2015-05-01,0.006079184428097406
2015-05-04,0.012588275479355149
2015-05-05,0.0018891546369548262
2015-05-06,0.01211039916997314
2015-05-07,0.004021398202116888
2015-05-08,0.00937768224305513
2015-05-11,0.0014516022776829285
2015-05-12,-0.0004832292529435289
2015-05-13,0.001933661837727918
2015-05-14,0.003956403837143796
2015-05-15,9.606908677795012e-05
2015-05-18,-0.007592405294547855
2015-05-19,0.003873595347924086
2015-05-20,0.0002897369166088293
2015-05-21,0.0018319463981149031
2015-05-22,-0.0026950222819479563
2015-05-26,-0.011486737383704426
2015-05-27,0.010155477038571004
2015-05-28,-0.0010636400554063785
2015-05-29,-0.008708962759820693
2015-06-01,0.008928909119442663
2015-06-02,0.005542711496665964
2015-06-03,0.004545615420153082
2015-06-04,-0.007701964589584276
2015-06-05,0.0041721617725074545
2015-06-08,0.0013524756791984949
2015-06-09,0.0031839684823466996
2015-06-10,0.023276090413514527
2015-06-11,0.0037598119589519197
2015-06-12,-0.004775715023050631
2015-06-15,-0.005551482727679802
2015-06-16,0.0008516044799031786
2015-06-17,-0.0017020365024972284
2015-06-18,0.009091187171810455
2015-06-19,0.0028152919044033275
2015-06-22,0.004024005402722519
2015-06-23,0.0003730183231038797
2015-06-24,-0.009037479681900606
2015-06-25,-0.006205452103318132
2015-06-26,0.0065278260309988845
2015-06-29,-0.013159204265321356
2015-06-30,0.0023809269302215164
2015-07-01,0.021475088626422556
2015-07-02,0.001953408333513318
2015-07-06,-0.003063747696866237
2015-07-07,0.0025143318094600353
2015-07-08,-0.013562249688083172
2015-07-09,-0.0034845757643652275
2015-07-10,0.00793814523309666
2015-07-13,0.008625430050042349
2015-07-14,9.307123650681426e-05
2015-07-15,-0.0038109396598953182
2015-07-16,0.00027980050670017853
2015-07-17,0.0013060379770502006
2015-07-20,0.005123794504231949
2015-07-21,-0.010287512201977989
2015-07-22,-0.0009366834861513906
2015-07-23,-0.0031867035642162422
2015-07-24,-0.011377184792308537
2015-07-27,-0.004375248113732355
2015-07-28,0.014233706307774874
2015-07-29,0.0188374634432944
2015-07-30,-0.03383533602122646
2015-07-31,0.009376958007251579
2015-08-03,-0.01658915876092193
2015-08-04,0.0022169590831966346
2015-08-05,0.012599712368078775
2015-08-06,-0.0007595384927693294
2015-08-07,-0.004848173495649699
2015-08-10,0.012417884102172039
2015-08-11,-0.009152474456968873
2015-08-12,-0.0031418529266038497
2015-08-13,-0.001814839061555995
2015-08-14,0.00870827638322913
2015-08-17,0.003130504467268924
2015-08-18,0.001039937360109544
2015-08-19,-0.000849579994940286
2015-08-20,-0.011346715668936969
2015-08-21,-0.03261288852439337
2015-08-24,-0.04458728942326362
2015-08-25,-0.020488280920626045
2015-08-26,0.033593776095651284
2015-08-27,0.02953834467014338
2015-08-28,-0.002283592969196002
2015-08-31,0.01014922723811007
