Date,C
2015-01-05,-0.031514828237208525
2015-01-06,-0.035204163104864294
2015-01-07,0.009269783677777976
2015-01-08,0.015047830530047213
2015-01-09,-0.022333097760146026
2015-01-12,-0.00787748716486758
2015-01-13,-0.007145569377513872
2015-01-14,-0.019392380635144923
2015-01-15,-0.037104979408522976
2015-01-16,0.008045921986214344
2015-01-20,-0.007351265531293505
2015-01-21,0.010156116632872525
2015-01-22,0.038332623277655964
2015-01-23,-0.01916455468096545
2015-01-26,0.005553147737366482
2015-01-27,-0.01186332869281359
2015-01-28,-0.024839601805815903
2015-01-29,0.011040537480524693
2015-01-30,-0.014069763675588765
2015-02-02,0.016400551614672798
2015-02-03,0.024308519882835222
2015-02-04,-0.009820434441013992
2015-02-05,0.002892774969043721
2015-02-06,0.012360879548284354
2015-02-09,0.001424503183675041
2015-02-10,0.0036578270037119776
2015-02-11,0.005871597094887937
2015-02-12,0.02435592226390204
2015-02-13,0.006091548924876289
2015-02-17,0.00957062042652912
2015-02-18,-0.005223885488751523
2015-02-19,-0.005834130939609716
2015-02-20,0.012910785001646552
2015-02-23,-0.008883972664429085
2015-02-24,0.011301666934531607
2015-02-25,0.0036613646904755104
2015-02-26,0.006143052863107679
2015-02-27,0.00019056915238313543
2015-03-02,0.020411904028944772
2015-03-03,0.004487083126521574
2015-03-04,-0.001117112738407644
2015-03-05,-0.0020491212438665807
2015-03-06,-0.009335578615808804
2015-03-09,-0.002072773724457355
2015-03-10,-0.03248363278335176
2015-03-11,0.02147200384112935
2015-03-12,0.033441655111151825
2015-03-13,-0.00998557779030207
2015-03-16,0.0028020792777045944
2015-03-17,0.0027935902367606236
2015-03-18,-0.002228909263104595
2015-03-19,-0.024944051591996197
2015-03-20,0.011454697874318187
2015-03-23,-0.009437589462949258
2015-03-24,-0.010289633411874832
2015-03-25,-0.01078168480571673
2015-03-26,-0.003697829186275814
2015-03-27,-0.0037115538785342794
2015-03-30,0.012548792126823693
2015-03-31,-0.00232367108694298
2015-04-01,0.001940968030075485
2015-04-02,0.004649240350746986
2015-04-06,-0.004627724945199585
2015-04-07,-0.0019372079713355639
2015-04-08,0.0071815031852136
2015-04-09,0.004625439400175235
2015-04-10,0.005754766730265759
2015-04-13,0.004386916760082293
2015-04-14,0.001329091508334379
2015-04-15,0.00910302975898647
2015-04-16,0.015222747635048384
2015-04-17,-0.017586125968060307
2015-04-20,0.0024494480332519775
2015-04-21,-0.013533771119247695
2015-04-22,0.011814080650389691
2015-04-23,0.0022600666105847544
2015-04-24,-0.006012810503822519
2015-04-27,-0.001890333868485028
2015-04-28,0.004166438395787564
2015-04-29,0.013957137677976572
2015-04-30,-0.008184546486553423
2015-05-01,0.008252086068592845
2015-05-04,0.0076264429511514464
2015-05-05,-0.015137721138663296
2015-05-06,-0.00993415179978474
2015-05-07,0.010232972189132772
2015-05-08,0.013318394749179951
2015-05-11,-0.0009254428798323167
2015-05-12,-0.004261916670808996
2015-05-13,0.008559846629931256
2015-05-14,0.0073798880572493175
2015-05-15,-0.006593334397460904
2015-05-18,0.007927739552844093
2015-05-19,0.012072640262101864
2015-05-20,-0.007952085323363556
2015-05-21,-0.0009107744758559688
2015-05-22,0.002370172329686726
2015-05-26,-0.01328016402621568
2015-05-27,0.011615242236641565
2015-05-28,-0.005832095428362383
2015-05-29,-0.008615940606163885
2015-06-01,0.006841894374028268
2015-06-02,0.004958668177126979
2015-06-03,0.01663008864591764
2015-06-04,-0.005392773634287473
2015-06-05,0.016446746358273368
2015-06-08,-0.010490960719602982
2015-06-09,0.006289536570879717
2015-06-10,0.018214231582594165
2015-06-11,0.003332013700552805
2015-06-12,-0.00174794651829413
2015-06-15,-0.008054473813184582
2015-06-16,0.007413713729407911
2015-06-17,-0.009286763595376835
2015-06-18,0.0038910870917241436
2015-06-19,-0.009337750083337037
2015-06-22,0.01280477285796433
2015-06-23,0.0077260587900476185
2015-06-24,-0.012719820698656514
2015-06-25,-0.00829499530705824
2015-06-26,0.0026692890503672295
2015-06-29,-0.025913755030209318
2015-06-30,0.006559323302463227
2015-07-01,0.007965500270678216
2015-07-02,-0.005567410473141465
2015-07-06,-0.005237702185140636
2015-07-07,-0.010530285129752515
2015-07-08,-0.031192480928524113
2015-07-09,0.017235106840649106
2015-07-10,0.015825491591761054
2015-07-13,0.01796156165799978
2015-07-14,0.006662040098320388
2015-07-15,0.009837375121596992
2015-07-16,0.03772565289632479
2015-07-17,0.0027312902436094078
2015-07-20,0.0017016971651537816
2015-07-21,0.004248131832452096
2015-07-22,0.020981628636560057
2015-07-23,-0.007789519938628975
2015-07-24,-0.01954225237713847
2015-07-27,-0.012606199256529949
2015-07-28,0.007073642186100626
2015-07-29,0.009422518867975072
2015-07-30,0.0001700389486087861
2015-07-31,-0.007133562991206155
2015-08-03,-0.00034168591474292853
2015-08-04,0.00051326552101294
2015-08-05,0.004617710611496628
2015-08-06,-0.010895490501175553
2015-08-07,-0.003270168406113938
2015-08-10,0.014332548136697154
2015-08-11,-0.01872677200500983
2015-08-12,-0.012664502435198344
2015-08-13,0.0073798777409213034
2015-08-14,0.004535455473439587
2015-08-17,0.0031252213267474183
2015-08-18,-0.0038081545065127287
2015-08-19,-0.009556736103405572
2015-08-20,-0.02929834612352744
2015-08-21,-0.03126696961380804
